Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Edle Matjesfilets Nordische Art,Nadler,"€ 2,79",Kein vorheriger Preis,"€ 8,45 / kg -",je 330-g-Pckg. 10% gratis!,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Besenheide Trio,Keine Marke,"€ 1,19",Kein vorheriger Preis,"€ 1,19 / Stk -","drei versch. Farben im Topf, für die Außenbepflanzung, winterhart, je Topf",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Kaffeepads Crema E Aroma,Lavazza,"€ 2,49",Kein vorheriger Preis,"€ 19,92 / kg -","versch. Sorten, je 125-g-Btl.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Hühnerfrikassee,Frosta,"€ 2,79",Kein vorheriger Preis,"€ 5,58 / kg -","versch. Sorten, tiefgefroren, je 500-g-Btl.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Reiniger,Frosch,"€ 1,79",Kein vorheriger Preis,"€ 3,58 / l -","versch. Sorten, je 500-ml-Fl.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Rinderrouladen,Metzgerei Landbauern,"€ 1,99",Kein vorheriger Preis,"€ 19,90 / kg -","aus der Oberschale, je 100 g",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Taschentücher-Box,Tempo,"€ 1,99",Kein vorheriger Preis,"€ 0,02 / Stk -",je 100-St.-Pckg. oder Taschentücher je 15 x 10-St.-Pckg.,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Frische Entenbrustfilet,Keine Marke,"€ 1,79",Kein vorheriger Preis,"€ 17,90 / kg -","mit Haut, je 100 g",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Strohschwein Schinkenspeck,Schiller,"€ 1,69",Kein vorheriger Preis,"€ 16,90 / kg -",je 100 g,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Hirsch Edelgulasch,Keine Marke,"€ 11,99",Kein vorheriger Preis,"€ 23,98 / kg -",je 500-g-Pckg. ab Di. erhältlich,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Rinder-Roastbeef,Metzgerei Landbauern,"€ 2,79",Kein vorheriger Preis,"€ 27,90 / kg -","am Stück oder in Scheiben, je 100 g",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
