Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Reine Citronensäure,Heitmann,"€ 2,99",,kg- bzw. l-Preis 8.54 bzw. 5.98,,Nein,,,,images_aldi/aldi_offer_121.jpg
Reiskocher,Ambiano,"€ 17,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_122.jpg
Geschirrtücher,Crofton,"€ 3,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_123.jpg
Katzennassfutter,Whiskas,"€ 11,99",,3.53 €/kg,,Nein,,,,images_aldi/aldi_offer_124.jpg
Nic Nac s XL-Fun-Pack,Lorenz,"€ 1,99",,11.71 €/kg,,Nein,,,,images_aldi/aldi_offer_125.jpg
Müritzer Original,Milram,"€ 2,89",,11.12 €/kg,,Nein,,,,images_aldi/aldi_offer_126.jpg
Norwegische Lachsfilet-Portionen,Golden Seafood,"€ 16,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_127.jpg
Norwegischer Räucherlachs,ALMARE,"€ 4,29",,19.50 €/kg,,Nein,,,,images_aldi/aldi_offer_128.jpg
Zwieback,Brandt,"€ 1,99",,kg-Preis 4.83,,Nein,,,,images_aldi/aldi_offer_129.jpg
Hähnchen-Brustfilets,Meine Metzgerei,"€ 12,99",,8.66 €/kg,,Nein,,,,images_aldi/aldi_offer_130.jpg
Butter,Weihenstephan,"€ 1,39",,kg-Preis 5.56,,Nein,,,,images_aldi/aldi_offer_131.jpg
Rahmjoghurt,Weihenstephan,"€ 0,49",,kg-Preis 3.27,,Nein,,,,images_aldi/aldi_offer_132.jpg
Fruchtjoghurt Pfirsich,Landliebe,"€ 1,11",,2.22 €/kg,,Nein,,,,images_aldi/aldi_offer_133.jpg
Pudding,Mövenpick,"€ 0,69",,kg-Preis 4.60,,Nein,,,,images_aldi/aldi_offer_134.jpg
Rainbow Love Hafer-Müsli,Kölln,"€ 2,49",,6.23 €/kg,,Nein,,,,images_aldi/aldi_offer_135.jpg
Kinder Cards,Ferrero,"€ 2,19",,17.11 €/kg,,Nein,,,,images_aldi/aldi_offer_136.jpg
Heurigen Aufschnitt,Wiesbauer,"€ 2,49",,kg-Preis 13.83 bzw. 12.45,,Nein,,,,images_aldi/aldi_offer_137.jpg
Alpenfrischkäse,Almette,"€ 1,11",,kg-Preis 7.40,,Nein,,,,images_aldi/aldi_offer_138.jpg
Mikado,LU,"€ 1,49",,kg-Preis 19.87,,Nein,,,,images_aldi/aldi_offer_139.jpg
Weichspüler Frischer Morgen,Vernel,"€ 2,49",,1-Preis 2.26,,Nein,,,,images_aldi/aldi_offer_140.jpg
Carta Ros,Freixenet,"€ 3,99",,1-Preis 5.32,,Nein,,,,images_aldi/aldi_offer_141.jpg
Powerreiniger,Bref,"€ 2,29",,1-Preis 3.05,,Nein,,,,images_aldi/aldi_offer_142.jpg
Teller Linsen,Müller s Mühle,"€ 1,49",,kg-Preis 2.98,,Nein,,,,images_aldi/aldi_offer_143.jpg
Olivenöl,Bertolli,"€ 5,99",,11.98 €/l,,Nein,,,,images_aldi/aldi_offer_144.jpg
Bull s-Eye-Sauce Spicy Garlic,Heinz,"€ 2,29",,7.63,,Nein,,,,images_aldi/aldi_offer_145.jpg
Limonade Original,Orangina,"€ 0,79",,1 l = 1.58,,Nein,,,,images_aldi/aldi_offer_146.jpg
Filetierte Bratheringe,Appel,"€ 1,89",,9.45/Abtropfgewicht,,Nein,,,,images_aldi/aldi_offer_147.jpg
Natur-Radler,Gösser,"€ 0,89",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_148.jpg
Satin Care Shave Gel Sensitive Skin,Gillette,"€ 1,99",,I-Preis 9.95,,Nein,,,,images_aldi/aldi_offer_149.jpg
Griechische Riesenoliven,Lyttos,"€ 4,99",,5.87 €/kg Abtropfgewicht,,Nein,,,,images_aldi/aldi_offer_150.jpg
Original griechische Schnecke Spinat-Käse,Lyttos,"€ 3,49",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_151.jpg
Griechische Pfefferonen,Lyttos,"€ 0,99",,6.19/Abtropfgewicht,,Nein,,,,images_aldi/aldi_offer_152.jpg
Hirtenkäse in Würfeln,LYTTOS,"€ 2,49",,7.11,,Nein,,,,images_aldi/aldi_offer_153.jpg
Kritharaki-Nudeln,LYTTOS,"€ 0,89",,1.78 €/kg,,Nein,,,,images_aldi/aldi_offer_154.jpg
Griechische Karamellisierte Erdnüsse,LYTTOS,"€ 1,49",,12.42 €/kg,,Nein,,,,images_aldi/aldi_offer_155.jpg
Ouzo of Plomari,Ouzo of Plomari,"€ 8,99",,1-Preis 12.84,,Nein,,,,images_aldi/aldi_offer_156.jpg
Greek Style Natur,Mövenpick,"€ 1,79",,4.48 €/kg,,Nein,,,,images_aldi/aldi_offer_157.jpg
Cevapcici,Meine Metzgerei,"€ 7,99",,kg-Preis 9.99,,Nein,,,,images_aldi/aldi_offer_158.jpg
Original Feta,Salakis,"€ 1,99",,kg-Preis 13.27,,Nein,,,,images_aldi/aldi_offer_159.jpg
Gyros,MEINE METZGEREI,"€ 5,99",,kg-Preis 7.49,,Nein,,,,images_aldi/aldi_offer_160.jpg
Original griechische Pita,LYTTOS,"€ 0,99",,3.67 €/kg,,Nein,,,,images_aldi/aldi_offer_161.jpg
Unterhemden,UP2FASHION,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_162.jpg
Retropants,UP2FASHION,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_163.jpg
Trollinger mit Lemberger,Collection Württemberg,"€ 3,99",,"4,29 €",,Nein,,,,images_aldi/aldi_offer_164.jpg
Dornfelder Spätburgunder QbA,Dornfelder Spätburgunder QbA,"€ 2,69",,"2,79 €",,Nein,,,,images_aldi/aldi_offer_165.jpg
Dornfelder QbA,Dornfelder QbA,"€ 2,29",,"2,39 €",,Nein,,,,images_aldi/aldi_offer_166.jpg
Sekt,STOLZENFELS,"€ 2,99",,"3,29 €",,Nein,,,,images_aldi/aldi_offer_167.jpg
Riesling QbA,Riesling QbA,"€ 2,79",,"2,89 €",,Nein,,,,images_aldi/aldi_offer_168.jpg
Spätburgunder QbA,Baden,"€ 2,49",,"2,69 €",,Nein,,,,images_aldi/aldi_offer_169.jpg
Blended Scotch Whisky,Statesman,"€ 7,99",,"8,29 €",,Nein,,,,images_aldi/aldi_offer_170.jpg
Milchriegel,Choceur,"€ 1,99",,"2,19 €",,Nein,,,,images_aldi/aldi_offer_171.jpg
Schoko-Milch-Riegel,Choceur,"€ 1,99",,"2,19 €",,Nein,,,,images_aldi/aldi_offer_172.jpg
Bourbon Whiskey,Clarke s,"€ 8,99",,"9,49 €",,Nein,,,,
Vegane Falafel,MYVAY,"€ 1,79",,"1,99 €",,Nein,,,,images_aldi/aldi_offer_174.jpg
Finest Selected Irish Whiskey,Blackwood,"€ 10,99",,"11,39 €",,Nein,,,,images_aldi/aldi_offer_175.jpg
Nuss-Frucht-Mix Cranberry,Farmer,"€ 2,39",,"2,49 €",,Nein,,,,images_aldi/aldi_offer_176.jpg
Cashewkerne,Farmer Naturals,"€ 2,89",,"2,99 €",,Nein,,,,images_aldi/aldi_offer_177.jpg
Veganes Cordon Bleu,MyVay,"€ 2,19",,"2,29 €",,Nein,,,,images_aldi/aldi_offer_178.jpg
Apfelschorle,Rio D Oro,"€ 0,99",,"1,29 €",,Nein,,,,images_aldi/aldi_offer_179.jpg
Apfelschorle,Rio D Oro,"€ 3,49",,"3,79 €",,Nein,,,,images_aldi/aldi_offer_180.jpg
Knabber-Box,Sunsnacks,"€ 1,69",,"1,79 €",,Nein,,,,images_aldi/aldi_offer_181.jpg
Apfelschorle,Rio D Oro,"€ 5,94",,"7,74 €",,Nein,,,,images_aldi/aldi_offer_182.jpg
Cashew-Cranberry-Mix,Farmer Naturals,"€ 1,99",,"2,29 €",,Nein,,,,images_aldi/aldi_offer_183.jpg
