Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Calamares la Romana,tegut,"€ 2,99",,"1 kg = 5,98",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_115.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food",,,ref_000109,obs_0000034102,obs_0000034102
Croissants oder Sonntags-Brötchen,Knack Back,"€ 1,69",,"1 kg = 7,04",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_116.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,,ref_000110,obs_0000034188|obs_0000034601|obs_0000010458|obs_0000006476|obs_0000007195|obs_0000007588|obs_0000016615|obs_0000026592|obs_0000011761|obs_0000012818|obs_0000014026|obs_0000014850|obs_0000015824,
Butter,Kerrygold,"€ 1,49",,"1 kg = 5,96",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_117.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_vegetarian,sub_butter_margarine,sub_fleischersatz,sub_gefluegel,sub_kaese,sub_milchprodukte,sub_tk_gemuese,tag_high_protein",,NUTR-0011,ref_000111,obs_0000034970|obs_0000011467|obs_0000013125|obs_0000003591|obs_0000019493|obs_0000031786|obs_0000024620|obs_0000003636|obs_0000002620|obs_0000000107|obs_0000002676|obs_0000010409|obs_0000003267|obs_0000018644|obs_0000026359|obs_0000008456|obs_0000011042|obs_0000018772|obs_0000008556|obs_0000009075|obs_0000027517|obs_0000001425|obs_0000027049|obs_0000017835|obs_0000018391|obs_0000021984|obs_0000000997|obs_0000022502|obs_0000012797|obs_0000009892|obs_0000000170|obs_0000009428|obs_0000016451|obs_0000024152|obs_0000028319|obs_0000023732|obs_0000023253|obs_0000014084|obs_0000025029|obs_0000003593|obs_0000001554|obs_0000023593|obs_0000027188|obs_0000018490|obs_0000018502|obs_0000016977|obs_0000023640|obs_0000007771|obs_0000017501|obs_0000025201,obs_0000003591|obs_0000019493|obs_0000031786|obs_0000024620|obs_0000003636|obs_0000002620|obs_0000000107|obs_0000002676|obs_0000010409|obs_0000034970|obs_0000003267|obs_0000011467|obs_0000018644|obs_0000026359|obs_0000008456|obs_0000011042|obs_0000013125|obs_0000018772|obs_0000008556|obs_0000009075|obs_0000027517|obs_0000001425|obs_0000027049|obs_0000017835|obs_0000018391|obs_0000021984|obs_0000000997|obs_0000022502|obs_0000012797
Loose Harzbube Hausmacher Handkäse oder Quäse,Loose Harzbube Hausmacher Handkäse oder Quäse,"€ 2,49",,"1 kg = 12,45",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_118.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,,ref_000112,obs_0000010529|obs_0000006435|obs_0000005164|obs_0000013357|obs_0000028101|obs_0000015805|obs_0000018510|obs_0000010454|obs_0000000605|obs_0000033777,
Schinken,Abraham,"€ 1,49",,"1 kg = 18,63",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_119.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed",,BLS-V050100,ref_000113,obs_0000034378|obs_0000028387|obs_0000016624|obs_0000017657|obs_0000028343|obs_0000008893|obs_0000011009|obs_0000001026|obs_0000001022|obs_0000026671|obs_0000007217|obs_0000007239|obs_0000031819|obs_0000011866|obs_0000001644|obs_0000014479|obs_0000007844|obs_0000033965|obs_0000011450|obs_0000025276|obs_0000009917|obs_0000027841|obs_0000010447|obs_0000031443|obs_0000009453|obs_0000026362|obs_0000019707|obs_0000029456|obs_0000005410|obs_0000001339|obs_0000027969|obs_0000008017|obs_0000010069|obs_0000013660|obs_0000016222|obs_0000009066|obs_0000027511|obs_0000034179|obs_0000007057|obs_0000008615|obs_0000027058|obs_0000007621|obs_0000031183|obs_0000009687|obs_0000008668|obs_0000019938|obs_0000026101|obs_0000015358|obs_0000001024|obs_0000002056,obs_0000007239|obs_0000034378|obs_0000028387|obs_0000016624|obs_0000017657
Joghurt mit der Ecke,müller,"€ 0,39",,"1 kg = 2,60",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_120.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_ultra_processed",,,ref_000114,obs_0000008461|obs_0000014831|obs_0000023257|obs_0000023683|obs_0000023724|obs_0000031933|obs_0000015791|obs_0000011758|obs_0000026097|obs_0000024096|obs_0000024148|obs_0000000372|obs_0000004499|obs_0000004926|obs_0000004072|obs_0000005142|obs_0000028035|obs_0000032204|obs_0000030520|obs_0000001115|obs_0000027149|obs_0000026710|obs_0000020687|obs_0000020689|obs_0000028966|obs_0000023030|obs_0000008703|obs_0000025171|obs_0000017127|obs_0000023284|obs_0000025392|obs_0000033696|obs_0000009180|obs_0000021506|obs_0000021508|obs_0000025811|obs_0000015673|obs_0000019794|obs_0000009663|obs_0000034580,obs_0000008461|obs_0000014831|obs_0000023257|obs_0000005142|obs_0000023683|obs_0000023724|obs_0000031933|obs_0000028035|obs_0000015791|obs_0000032204|obs_0000011758|obs_0000026097|obs_0000024096|obs_0000024148|obs_0000030520
Knusper Minis Natur,Leerdammer,"€ 2,49",,"1 kg = 16,60",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_121.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_ultra_processed",,,ref_000115,obs_0000012802|obs_0000034379|obs_0000027072|obs_0000028843|obs_0000032557|obs_0000019480|obs_0000015901|obs_0000025627|obs_0000019541|obs_0000012394|obs_0000025800|obs_0000028889|obs_0000024884|obs_0000016191|obs_0000001347|obs_0000011085|obs_0000009644|obs_0000022992|obs_0000013779|obs_0000013309|obs_0000022527,
Salamiaufschnitt,Sorger,"€ 1,49",,"1 kg = 19,87",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_122.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed",,,ref_000116,obs_0000006517|obs_0000007616,obs_0000006517|obs_0000007616
Käse-Scheiben,Meggle,"€ 1,49",,"1 kg = 9,93",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_123.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_milchprodukte",,,ref_000117,obs_0000024408|obs_0000023984|obs_0000005334|obs_0000006985|obs_0000006095|obs_0000021569|obs_0000008883|obs_0000020750|obs_0000030492|obs_0000006457|obs_0000032601|obs_0000029536|obs_0000010631|obs_0000025059|obs_0000006439,obs_0000024408|obs_0000023984
Beisser,Greisinger,"€ 1,99",,"1 kg = 24,88",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/tegut/tegut_offer_124.jpg,"cat_getraenke,diet_vegetarian",,BLS-D610200,ref_000118,,
