Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Gouda mittelalt,Landana,"€ 0,99",,"1,69 €",,Nein,,,,images_tegut/tegut_offer_084.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte"
Bio-Blaue-Kornblume,Bio-Blaue-Kornblume,"€ 2,49",,"3,29 €",,Nein,,,,images_tegut/tegut_offer_085.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Ch vre d Argental,Ch vre d Argental,"€ 2,99",,"3,99 €",,Nein,,,,images_tegut/tegut_offer_086.jpg,cat_molkerei_kaese
Bio-Steinsalzkäse,Bio-Steinsalzkäse,"€ 2,49",,"3,29 €",,Nein,,,,images_tegut/tegut_offer_087.jpg,"cat_molkerei_kaese,diet_vegan,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_ultra_processed"
Sensational Burger,Garden Gourmet,"€ 2,49",,"1 kg = 11,02 €",,Nein,,,,images_tegut/tegut_offer_088.jpg,cat_fleisch_wurst
Monte,Zott,"€ 0,79",,"1 kg = 11,29/5,27 €",,Nein,,,,images_tegut/tegut_offer_089.jpg,"cat_molkerei_kaese,sub_milchprodukte,sub_sahne_creme,tag_ultra_processed"
Bio-Schlagsahne,Andechser Natur,"€ 1,29",,"1,69 €",,Nein,,,,images_tegut/tegut_offer_090.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,sub_sahne_creme,tag_proteinreich"
Rama,Rama,"€ 1,29",,"2,19 €",,Nein,,,,images_tegut/tegut_offer_091.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_butter_margarine,tag_ultra_processed"
Bio-Weidemilch 3 8 Fett,Gläserne Molkerei,"€ 1,69",,"1,99 €",,Nein,,,,images_tegut/tegut_offer_092.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_milchprodukte,tag_whole_food"
Bio-Fingerfood,Soto,"€ 2,79",,"1 kg = 9,30",,Nein,,,,images_tegut/tegut_offer_093.jpg,"cat_obst_gemuese,diet_lactose_free,diet_vegan,diet_vegetarian"
Götterspeise Waldmeister,Dr Oetker,"€ 0,49",,"0,59 €",,Nein,,,,images_tegut/tegut_offer_094.jpg,"cat_grundnahrung,diet_gluten_free,tag_ultra_processed"
Schoko,Müllermilch,"€ 2,00",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_095.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_milchprodukte,tag_ultra_processed"
Bio-Speisequarkzubereitung,Andechser Natur,"€ 1,19",,"1,59 €",,Nein,,,,images_tegut/tegut_offer_096.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte"
Bio-Weidemilch-Joghurt,Alnatura,"€ 1,49",,"1,69 €",,Nein,,,,images_tegut/tegut_offer_097.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_whole_food"
