Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Bauer Biene Maja Joghurt,€ 0.49,"1 kg = 3,92 €","verschiedene Sorten, 125 g Becher, (1 kg = 3,92 €)",2026-02-23,2026-02-28,images_edeka/bauer-biene-maja-joghurt.jpg
Frankenland Haltbare Milch,€ 1.00,"1 l = 1,00 €","verschiedene Fettstufen, 1 Liter Packung, (1 l = 1,00 €)",2026-02-23,2026-02-28,images_edeka/frankenland-haltbare-milch.jpg
Unbekannt_54,?,,,2026-02-23,2026-02-28,
Mövenpick Kaffee Der Himmlische,€ 6.99,"1 kg = 13,98 €","verschiedene Sorten, der Milde oder El Auténtico, 500 g Packung, (1 kg = 13,98 €)",2026-02-23,2026-02-28,images_edeka/m-venpick-kaffee-der-himmlische.jpg
Lavazza Caffè Crema oder Espresso,€ 14.99,"1 kg = 14,99 €","ganze Bohnen, verschiedene Sorten Ausgenommen Qualita Rossa, Espresso Barista und Tierra Organic., 1000 g Packung, (1 kg = 14,99 €)",2026-02-23,2026-02-28,images_edeka/lavazza-caff-crema-oder-espresso.jpg
suchard express Kakao,€ 2.00,"1 kg = 5,00 €","400 g Packung, (1 kg = 5,00 €)",2026-02-23,2026-02-28,images_edeka/suchard-express-kakao.jpg
Knorr Aromat,€ 1.00,,verschiedene Sorten,2026-02-23,2026-02-28,images_edeka/knorr-aromat.jpg
"Knorr Pasta-, Snack Pot, Asia-, Fusion Noodles",€ 1.00,,verschiedene Sorten oder Potato Pot,2026-02-23,2026-02-28,images_edeka/knorr-pasta-snack-pot-asia-fusion-noodles.jpg
Maggi italienische Pastaspezialität,€ 2.00,"1 kg = 2,50 €","verschiedene Sorten, 800 g Dose, (1 kg = 2,50 €)",2026-02-23,2026-02-28,images_edeka/maggi-italienische-pastaspezialit-t.jpg
Gut & Günstig Pinienkerne,€ 2.00,"1 kg = 40,00 €","naturbelassen, 50 g Packung, (1 kg = 40,00 €)",2026-02-23,2026-02-28,images_edeka/gut-g-nstig-pinienkerne.jpg
Barilla italienische Pasta,€ 1.69,"1 kg = 1,69 €","verschiedene Ausformungen Nur solange der Vorrat reicht., 1000 g Packung, (1 kg = 1,69 €)",2026-02-23,2026-02-28,images_edeka/barilla-italienische-pasta.jpg
Kühne Feinkostsauce,€ 1.00,"1 l = 4,00 €","verschiedene Sorten, 250 ml Flasche, (1 l = 4,00 €)",2026-02-23,2026-02-28,images_edeka/k-hne-feinkostsauce.jpg
Monini Natives Olivenöl Extra,€ 5.99,"1 l = 11,98 €","verschiedene Sorten, 500 ml Flasche, (1 l = 11,98 €)",2026-02-23,2026-02-28,images_edeka/monini-natives-oliven-l-extra.jpg
Knorr Delikatess Sauce,€ 0.79,,"verschiedene Sorten, 2/3er",2026-02-23,2026-02-28,images_edeka/knorr-delikatess-sauce.jpg
Coppelia Maiskeimöl,€ 1.29,"1 l = 1,29 €","Nur solange der Vorrat reicht., 1 Liter Flasche, (1 l = 1,29 €)",2026-02-23,2026-02-28,images_edeka/coppelia-maiskeim-l.jpg
Leimer Backerbsen,€ 1.00,"1 kg = 5,00 €","200 g Packung, (1 kg = 5,00 €)",2026-02-23,2026-02-28,images_edeka/leimer-backerbsen.jpg
Pomito Tomaten,€ 1.00,"1 kg = 2,00 €","verschiedene Sorten, 500 g Packung, (1 kg = 2,00 €)",2026-02-23,2026-02-28,images_edeka/pomito-tomaten.jpg
Gut & Günstig MSC Thunfisch Filets,€ 1.00,,verschiedene Sorten oder Stücke mit Gemüse Ausgenommen Filets in Olivenöl.,2026-02-23,2026-02-28,images_edeka/gut-g-nstig-msc-thunfisch-filets.jpg
Oro di Parma Tomatenmark,€ 1.29,"1 kg = 6,45 €","verschiedene Sorten, 200 g Tube, (1 kg = 6,45 €)",2026-02-23,2026-02-28,images_edeka/oro-di-parma-tomatenmark.jpg
Meica Wiener oder Würstchen Frankfurter Art,€ 3.00,"1 kg = 12,00 €","Ausgenommen Geflügel-Wiener., 540 g Glas (Abtropfgewicht 250 g), (1 kg = 12,00 €)",2026-02-23,2026-02-28,images_edeka/meica-wiener-oder-w-rstchen-frankfurter-art.jpg
Spreewaldhof Gurken,€ 1.79,,verschiedene Sorten oder Dill-Schnitten Ausgenommen Cornichons.,2026-02-23,2026-02-28,images_edeka/spreewaldhof-gurken.jpg
Frankenmehl Weizenmehl,€ 1.00,"1 kg = 1,00 €","Type 405, 1000 g Packung, (1 kg = 1,00 €)",2026-02-23,2026-02-28,images_edeka/frankenmehl-weizenmehl.jpg
"Dr. Oetker Backmischung Kastenkuchen, Klassische Kuchenmischung oder Kleingebäck",€ 2.49,,"verschiedene Sorten Ausgenommen Familienkuchen, Schnitten, Maulwurfkuchen und Cheese Cake American Style.",2026-02-23,2026-02-28,images_edeka/dr-oetker-backmischung-kastenkuchen-klassische-kuchenmischung-oder-kleingeb-ck.jpg
Kölln Blütenzarte flocken oder Echte Kernige,€ 1.19,"1 kg = 2,38 €","500 g Packung, (1 kg = 2,38 €)",2026-02-23,2026-02-28,images_edeka/k-lln-bl-tenzarte-flocken-oder-echte-kernige.jpg
Zentis Frühstücks-Konfitüre,€ 1.49,,verschiedene Sorten,2026-02-23,2026-02-28,images_edeka/zentis-fr-hst-cks-konfit-re.jpg
Giovanni Rana Pfannen-Gnocchi,€ 2.29,,verschiedene Sorten,2026-02-23,2026-02-28,images_edeka/giovanni-rana-pfannen-gnocchi.jpg
demeter Tress Brüder Bio Suppe oder Eintopf,€ 2.99,,"verschiedene Sorten, vegan",2026-02-23,2026-02-28,images_edeka/demeter-tress-br-der-bio-suppe-oder-eintopf.jpg
wasa Tasty Snacks oder Sandwich,€ 2.00,,verschiedene Sorten Ausgenommen crackers 150/180 g.,2026-02-23,2026-02-28,images_edeka/wasa-tasty-snacks-oder-sandwich.jpg
Golden Toast,€ 1.19,"1 kg = 2,38 €","verschiedene Sorten Ausgenommen Dinkel 500 g., 500 g Packung, (1 kg = 2,38 €)",2026-02-23,2026-02-28,images_edeka/golden-toast.jpg
Rügenwalder Mühle Veganes Mühlen Pfannengericht,€ 2.49,,verschiedene Sorten,2026-02-23,2026-02-28,images_edeka/r-genwalder-m-hle-veganes-m-hlen-pfannengericht.jpg
Unbekannt_82,?,,,2026-02-23,2026-02-28,
Frosta Fertiggericht,€ 2.79,,"verschiedene Sorten, tiefgefroren",2026-02-23,2026-02-28,images_edeka/frosta-fertiggericht.jpg
"Dr. Oetker Ristorante Pizza, Piccola",€ 1.99,,"verschiedene Sorten oder Bistro Flammkuchen Elsässer Art, tiefgefroren Ausgenommen glutenfrei.",2026-02-23,2026-02-28,images_edeka/dr-oetker-ristorante-pizza-piccola.jpg
iglo MSC Fischstäbchen,€ 2.99,,"verschiedene Sorten, tiefgefroren Ausgenommen Fischstäbchen 300 g und glutenfrei 360 g.",2026-02-23,2026-02-28,images_edeka/iglo-msc-fischst-bchen.jpg
Gustavo Gusto Amore Napoli Pizza,€ 2.99,,"verschiedene Sorten, tiefgefroren",2026-02-23,2026-02-28,images_edeka/gustavo-gusto-amore-napoli-pizza.jpg
Langnese Cremissimo Eis,€ 1.99,,verschiedene Sorten,2026-02-23,2026-02-28,images_edeka/langnese-cremissimo-eis.jpg
Coppenrath & Wiese Unsere Goldstücke kernig & kräftig,€ 2.00,,"verschiedene Sorten, tiefgefroren",2026-02-23,2026-02-28,images_edeka/coppenrath-wiese-unsere-goldst-cke-kernig-kr-ftig.jpg
iglo Spinat,€ 2.00,,"verschiedene Sorten, tiefgefroren",2026-02-23,2026-02-28,images_edeka/iglo-spinat.jpg
Original Wagner Rustipani,€ 1.79,,"verschiedene Sorten, tiefgefroren",2026-02-23,2026-02-28,images_edeka/original-wagner-rustipani.jpg
Cornetto Eis,€ 2.49,"1 l = 4,61 €","verschiedene Sorten, 6er Je nach Verfügbarkeit des Marktes., 540 ml Packung, (1 l = 4,61 €)",2026-02-23,2026-02-28,images_edeka/cornetto-eis.jpg
Gut & Günstig Peanut Ice Cream,€ 2.00,,"verschiedene Sorten, 6er Je nach Verfügbarkeit des Marktes.",2026-02-23,2026-02-28,images_edeka/gut-g-nstig-peanut-ice-cream.jpg
Unbekannt_93,?,,,2026-02-23,2026-02-28,
Dillhappen,€ 1.19,,"Heringshappen und deftige Zwiebeln in sahniger Dilltunke mit Joghurt und Crème fraîche, 100 g",2026-02-23,2026-02-28,images_edeka/dillhappen.jpg
Skreifilet,€ 2.69,,"Winterkabeljau, besonders festes weißes Fleisch, mit Haut, 100 g",2026-02-23,2026-02-28,images_edeka/skreifilet.jpg
Cocktailgarnelen,€ 3.29,,"gekocht, 100 g",2026-02-23,2026-02-28,images_edeka/cocktailgarnelen.jpg
Forelle,€ 1.99,,"geräuchert, 100 g",2026-02-23,2026-02-28,images_edeka/forelle.jpg
Hertford Corned Beef,€ 3.99,"1 kg = 11,74 €","340 g Dose, (1 kg = 11,74 €)",2026-02-23,2026-02-28,images_edeka/hertford-corned-beef.jpg
Bauernschätze Truthahnaufschnitt,€ 1.59,,"bestehend aus: Bierschinken, Lyoner, Paprika-Lyoner, Lyoner mit Ei und Kaiserjagdwurst, 100 g",2026-02-23,2026-02-28,images_edeka/bauernsch-tze-truthahnaufschnitt.jpg
Bauernschätze Wacholderschinken,€ 2.19,,"gegart, saftig, 100 g",2026-02-23,2026-02-28,images_edeka/bauernsch-tze-wacholderschinken.jpg
Schwarzwälder Schinken,€ 1.99,,"kräftig über Tannenreisig geräuchert, 100 g",2026-02-23,2026-02-28,images_edeka/schwarzw-lder-schinken.jpg
Zimmermann Farmlandschinken,€ 1.79,,"gegart, saftige Scheiben, 100 g",2026-02-23,2026-02-28,images_edeka/zimmermann-farmlandschinken.jpg
Heidesülze mit Gurkenstückchen,€ 1.19,,"nach Art einer Schweinskopfsülze, säuerlich-würzig, 100 g",2026-02-23,2026-02-28,images_edeka/heides-lze-mit-gurkenst-ckchen.jpg
Delikatess Zungenwurst,€ 1.59,,100 g,2026-02-23,2026-02-28,images_edeka/delikatess-zungenwurst.jpg
Salami Spianata Romana,€ 2.29,,"langzeitgereifte italienische Salamispezialität, ein Genuss, 100 g",2026-02-23,2026-02-28,images_edeka/salami-spianata-romana.jpg
Geflügelsalami,€ 1.79,,"natur, mit Käse- oder Pfeffermantel, 100 g",2026-02-23,2026-02-28,images_edeka/gefl-gelsalami.jpg
Original italienischer Guanciale,€ 2.59,,"Schweinebacke roh, luftgetrocknet, ideal für Carbonara, 100 g",2026-02-23,2026-02-28,images_edeka/original-italienischer-guanciale.jpg
Pfeffer- oder Paprikabeißer,€ 1.39,,"knackig, mild geräuchert, 100 g",2026-02-23,2026-02-28,images_edeka/pfeffer-oder-paprikabei-er.jpg
Gelb- oder Bierwurst,€ 0.99,,100 g,2026-02-23,2026-02-28,images_edeka/gelb-oder-bierwurst.jpg
Pfälzer Leberwurst,€ 0.99,,"deftig im Geschmack, 100 g",2026-02-23,2026-02-28,images_edeka/pf-lzer-leberwurst.jpg
Bauernschwarzwurst,€ 1.29,,"deftig, herzhaft gewürzt, 100 g",2026-02-23,2026-02-28,images_edeka/bauernschwarzwurst.jpg
Allgäuer Nudelsalat,€ 0.59,,"Nudeln mit grünen Erbsen, Karotten und knackigen Gewürzgurken, in feiner Salatmayonnaise, 100 g",2026-02-23,2026-02-28,images_edeka/allg-uer-nudelsalat.jpg
Schlackwurst,€ 1.99,,"nach überlieferter Rezeptur hergestellt, 100 g",2026-02-23,2026-02-28,images_edeka/schlackwurst.jpg
Abraham Schinken,€ 1.69,,"verschiedene Sorten Ausgenommen Bauern-, Land-, Katen-, und Schwarzwälder Schinken 80 g.",2026-02-23,2026-02-28,images_edeka/abraham-schinken.jpg
Pick Original ungarische Salami,€ 1.69,"1 kg = 20,12 €","Nur solange der Vorrat reicht., 70 g Packung + 20% GRATIS, (1 kg = 20,12 €)",2026-02-23,2026-02-28,images_edeka/pick-original-ungarische-salami.jpg
Tulip Original Bacon Scheiben,€ 1.79,"1 kg = 14,32 €","125 g Packung, (1 kg = 14,32 €)",2026-02-23,2026-02-28,images_edeka/tulip-original-bacon-scheiben.jpg
Ferdi Fuchs Mini Würstchen,€ 1.00,,"verschiedene Sorten, 2-5er Je nach Verfügbarkeit des Marktes.",2026-02-23,2026-02-28,images_edeka/ferdi-fuchs-mini-w-rstchen.jpg
Hackfleisch gemischt,€ 1.00,,"Schwein und Rind, 100 g",2026-02-23,2026-02-28,images_edeka/hackfleisch-gemischt.jpg
Schweinekotelett,€ 0.55,,100 g,2026-02-23,2026-02-28,images_edeka/schweinekotelett.jpg
Deutsches Suppenfleisch,€ 1.29,,"mit Knochen, vom Jungbullen, 100 g",2026-02-23,2026-02-28,images_edeka/deutsches-suppenfleisch.jpg
Lachsrolle,€ 0.66,,"vom Schweinerücken, natur, am Stück, 100 g",2026-02-23,2026-02-28,images_edeka/lachsrolle.jpg
Schweinerückensteaks oder Schmetterlingsschnitzel,€ 0.79,,"natur auch in gewürzt erhältlich, 100 g = 0,89 €, 100 g",2026-02-23,2026-02-28,images_edeka/schweiner-ckensteaks-oder-schmetterlingsschnitzel.jpg
Hähnchenschenkel,€ 0.55,,"natur, mit Rückenstück, Hkl. A auch in gewürzt erhältlich, 100 g = 0,65 €, 100 g",2026-02-23,2026-02-28,images_edeka/h-hnchenschenkel.jpg
Bauernschätze Schweinesaft-/ Krustenbraten,€ 0.99,,"aus der Schulter, 100 g",2026-02-23,2026-02-28,images_edeka/bauernsch-tze-schweinesaft-krustenbraten.jpg
Bauernschätze Fleischspieße,€ 1.29,,"laufend frisch gesteckt, 100 g",2026-02-23,2026-02-28,images_edeka/bauernsch-tze-fleischspie-e.jpg
Bauernschätze Hintere Schweinehaxe,€ 0.77,,"frisch, 100 g",2026-02-23,2026-02-28,images_edeka/bauernsch-tze-hintere-schweinehaxe.jpg
Bauernschätze Putenrollbraten,€ 1.69,,"aus der Brust, natur auch in gewürzt erhältlich, 100 g = 1,79 €, 100 g",2026-02-23,2026-02-28,images_edeka/bauernsch-tze-putenrollbraten.jpg
Gut & Günstig Schnitzel vom Schwein,€ 3.99,"1 kg = 7,98 €","aus dem Schweineschinken, 500 g SB-Packung, (1 kg = 7,98 €)",2026-02-23,2026-02-28,images_edeka/gut-g-nstig-schnitzel-vom-schwein.jpg
Bernard Matthews Puten Steaks,€ 16.90,"1 kg = 16,90 €","mit Joghurt verfeinert, verschiedene Marinaden und Gewichte, z. B. 325 g SB-Packung, (1 kg = 16,90 €)",2026-02-23,2026-02-28,images_edeka/bernard-matthews-puten-steaks.jpg
Grillhähnchen,€ 6.66,"1 kg = 6,66 €","gewürzt, 1 kg SB-Packung, (1 kg = 6,66 €)",2026-02-23,2026-02-28,images_edeka/grillh-hnchen.jpg
"Rotkäppchen Sekt, Fruchtsecco oder Alkoholfrei",€ 3.00,"1 l = 4,00 €","verschiedene Sorten, 0,75 Liter Flasche, (1 l = 4,00 €)",2026-02-23,2026-02-28,images_edeka/rotk-ppchen-sekt-fruchtsecco-oder-alkoholfrei.jpg
Ramazzotti,€ 9.99,"1 l = 14,27 €","verschiedene Sorten oder Aperitivo Alkoholfrei, 0,00-38 % Vol., 0,7 Liter Flasche, (1 l = 14,27 €)",2026-02-23,2026-02-28,images_edeka/ramazzotti.jpg
Bayreuther Hell oder Alkoholfrei,€ 14.99,"1 l = 1,50 €","Je nach Verfügbarkeit des Marktes., 20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,50 €)",2026-02-23,2026-02-28,images_edeka/bayreuther-hell-oder-alkoholfrei.jpg
Residenz Quelle Mineralwasser,€ 5.49,"1 l = 0,46 €","verschiedene Sorten, 12 x 1 Liter Kasten + 3,30 Pfand, (1 l = 0,46 €)",2026-02-23,2026-02-28,images_edeka/residenz-quelle-mineralwasser.jpg
"Coca-Cola*, Mezzo Mix*, Fanta, Sprite oder Lift",€ 11.99,"1 l = 1,00 €","verschiedene Sorten *koffeinhaltige Limonade, 12 x 1 Liter Kasten + 3,30 Pfand, (1 l = 1,00 €)",2026-02-23,2026-02-28,images_edeka/coca-cola-mezzo-mix-fanta-sprite-oder-lift.jpg
JP. Chenet Wein,€ 3.49,"1 l = 4,65 €","aus Frankreich, verschiedene Sorten, 0,75 Liter Flasche, (1 l = 4,65 €)",2026-02-23,2026-02-28,images_edeka/jp-chenet-wein.jpg
