Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Einheit,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
,Chin. Bio-Ingwer,"1.29
*",,1 kg = 6.45,nur,je 200-g-Schale,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_74.jpg
,"Ital. Kohlrabi, lose",0.59,0.69,,-14%,je Stück,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_75.jpg
,Amerik./franz. Walnüsse XXL,4.99,5.99,,-16%,je 1-kg-Beutel,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_76.jpg
,Amerik. Erdnüsse,1.79,2.29,1 kg = 4.48,-21%,je 400-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_77.jpg
,Geschenkstrauß Advent,"9.99
*",,,nur,je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_78.jpg
,Amaryllis,"8.88
*",,,nur,je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_79.jpg
,Chinesische Feige im Keramik-Übertopf,"10.99
*",,,nur,je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_80.jpg
,Flamingoblume,"7.99
*",,,nur,je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_81.jpg
,Hyazinthe im Keramik-Übertopf,"3.79
*",,,nur,je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_82.jpg
,Orchidee im Keramik-Übertopf,"10.99
*",,,nur,je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_83.jpg
,Mini-Weihnachtsstern im Keramik-Übertopf,"2.99
*",,,nur,je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_86.jpg
,Mini Zauberstern im Keramik-Übertopf,"1.99
*",,,nur,je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_87.jpg
,Rentier bepflanzt,"10.99
*",,,nur,je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_88.jpg
,Schirmpalme,"7.99
*",,,nur,je,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_90.jpg
,"Ital./span.Tafeltrauben, hell",1.69,1.99,1 kg = 3.38,-15%,je 500-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_92.jpg
,Dtsch. Speisekartoffeln,1.99,2.99,1 kg = 0.80,-33%,"je 2,5-kg-Sack",Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_93.jpg
,VitaSafe »Ananas«,1.49,1.99,1 kg = 4.97,-25%,je 300-g-Becher,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_95.jpg
K-PURLAND,Grobe Bratwurst,2.19,2.89,1 kg = 5.48,-24%,je 5 St. = 400-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_96.jpg
K-PURLAND,Schweinegulasch,3.29,4.19,1 kg = 6.58,-21%,je 500-g-Packg.,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_97.jpg
K-PURLAND,Schweinerücken,5.49,8.59,,-36%,je kg,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_98.jpg
K-PURLAND,Kasseler Nussschinken,7.29,10.99,,-33%,je kg,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_99.jpg
K-PURLAND,"Gourmetbraten vom Schwein, gefüllt und gewürzt","8.39
*",,,nur,je kg,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_100.jpg
K-PURLAND,Schweinenacken/-kamm XXL ohne Knochen,5.99,8.99,entspr. z. B. für eine 2-kg-Packg. 11.98,-33%,je kg,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_101.jpg
K-PURLAND,Schweinefilet am Stück,8.49,,,nur,je kg,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_102.jpg
K-PURLAND,Beef Brisket,13.99,15.99,"entspr. z. B. für eine 1,3-kg-Packg. 18.19",-12%,je kg,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_103.jpg
K-PURLAND,Entrecôte,"19.99
*",,,nur,je kg,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_104.jpg
K-PURLAND,Burgunder-Braten,"15.99
*",,,nur,je kg,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_105.jpg
K-PURLAND,Rinderschmorbraten aus der Keule vom Jungbullen,15.99,18.99,,-15%,je kg,Nein,Dieses Angebot findest du vom 27.11. bis 03.12. in deiner Kaufland-Filiale.,2025-11-27,2025-12-03,images_kaufland/kaufland_offer_106.jpg
