Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Klapptrittleiter,WORKZONE,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_135.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed",,,ref_000135,obs_0000003669|obs_0000015999|obs_0000015993,obs_0000003669
Kleinflächenstreichset,DECO CRAFT,"€ 4,99",,"pro Einheit = 4,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,,cat_non_food,,,ref_000136,,
Color Waschmittel,Perwoll,"€ 1,39",,"1 l = 3,09",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_137.jpg,cat_drogerie,,,ref_000137,obs_0000033858|obs_0000016462|obs_0000026760|obs_0000033445|obs_0000017352|obs_0000018449|obs_0000034866|obs_0000027703|obs_0000012875|obs_0000020059|obs_0000023646|obs_0000018542|obs_0000024174|obs_0000019568|obs_0000013946|obs_0000025217|obs_0000021665|obs_0000012454|obs_0000002728|obs_0000023748|obs_0000023244|obs_0000025812|obs_0000018152|obs_0000017654|obs_0000015109|obs_0000033069|obs_0000022331|obs_0000022340|obs_0000018794|obs_0000020846|obs_0000019827|obs_0000022410|obs_0000020878|obs_0000012181|obs_0000003486|obs_0000019384|obs_0000025534|obs_0000026568|obs_0000022520|obs_0000025598|obs_0000033859|obs_0000034993,
Mauerfarbe,DECO CRAFT,"€ 9,99",,"pro Einheit = 2,00",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_138.jpg,cat_non_food,,BLS-T600100,ref_000138,,
Profiweiß,DECO CRAFT,"€ 12,99",,"pro Einheit = 1,18",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_139.jpg,cat_non_food,,,ref_000139,obs_0000000540,obs_0000000540
Lesehilfe,Lesehilfe,"€ 1,49",,"pro Einheit = 1,49",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_140.jpg,"cat_non_food,diet_vegetarian",,,ref_000140,obs_0000012522|obs_0000001627,
Cardigan,UP2FASHION,"€ 8,99",,"pro Einheit = 8,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_141.jpg,cat_non_food,,,ref_000141,obs_0000002151|obs_0000003025|obs_0000019562|obs_0000033235|obs_0000020511|obs_0000021924|obs_0000021330,
Homewear-Set,UP2FASHION,"€ 12,99",,"pro Einheit = 12,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_142.jpg,cat_non_food,,,ref_000142,,
Sneaker-Socken,UP2FASHION,"€ 1,99",,"pro Einheit = 1,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_143.jpg,cat_non_food,,,ref_000143,obs_0000012599|obs_0000000758|obs_0000000765|obs_0000001173|obs_0000001375|obs_0000001405|obs_0000001624|obs_0000023153|obs_0000000756|obs_0000000967|obs_0000011300|obs_0000001144|obs_0000023885|obs_0000024304|obs_0000030037,obs_0000012599
Ledergürtel,UP2FASHION,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_144.jpg,cat_non_food,,,ref_000144,obs_0000002221|obs_0000003500|obs_0000013576|obs_0000013697,
Bralette,UP2FASHION,"€ 4,99",,"pro Einheit = 4,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_145.jpg,cat_drogerie,,,ref_000145,,
Sweatjacke,UP2FASHION,"€ 11,99",,"pro Einheit = 11,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_146.jpg,"cat_non_food,tag_ultra_processed",,,ref_000146,obs_0000000085|obs_0000003200|obs_0000004819|obs_0000004392|obs_0000003965|obs_0000002501|obs_0000022022|obs_0000020501|obs_0000016295|obs_0000021050|obs_0000010857|obs_0000025683|obs_0000024269|obs_0000018180|obs_0000020231|obs_0000023845|obs_0000010852|obs_0000021320|obs_0000015219|obs_0000019903|obs_0000021995|obs_0000008490,
Langarmshirt,UP2FASHION,"€ 3,99",,"pro Einheit = 3,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_147.jpg,cat_non_food,,,ref_000147,obs_0000003624|obs_0000019496|obs_0000023103|obs_0000019690|obs_0000013575|obs_0000013696|obs_0000019386|obs_0000010863|obs_0000016491|obs_0000017558|obs_0000012616|obs_0000012622|obs_0000016250,obs_0000000599
Weihrauch Schneegestöber,Gardenline,"€ 3,99",,"pro Einheit = 3,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_148.jpg,"cat_non_food,diet_vegetarian",,,ref_000148,,
Bepflanzter Keramiktopf Hasengesicht,Gardenline,"€ 5,99",,"pro Einheit = 5,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_149.jpg,"cat_non_food,diet_lactose_free,diet_vegetarian",,,ref_000149,,
Eukalyptus,Eukalyptus,"€ 2,99",,"pro Einheit = 2,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_150.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed",,,ref_000150,obs_0000023410|obs_0000019712,
