Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
K-CLASSIC,Cola oder Limonade,"€ 0,25","€ 0,34","1 l = 0,50","1 l = 0,50","versch. Sorten, z. T. koffeinhaltig (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_295.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000084,obs_0000011967|obs_0000015266|obs_0000005628|obs_0000005829|obs_0000006206|obs_0000006361|obs_0000008405|obs_0000013978|obs_0000006363|obs_0000031347|obs_0000016686|obs_0000016754|obs_0000000445|obs_0000008772|obs_0000017032|obs_0000008921|obs_0000000810|obs_0000009023|obs_0000017246|obs_0000009119|obs_0000001014|obs_0000017639|obs_0000009657|obs_0000026058|obs_0000026204|obs_0000026276|obs_0000026287|obs_0000026323|obs_0000026438|obs_0000018375|obs_0000026581|obs_0000026646|obs_0000034850|obs_0000027015|obs_0000027037|obs_0000027047|obs_0000027133|obs_0000019364|obs_0000027567|obs_0000003042|obs_0000027814|obs_0000027972|obs_0000028026|obs_0000028226|obs_0000028310|obs_0000004177|obs_0000020844|obs_0000004604|obs_0000005031|obs_0000021663,,,
Keine Marke,Cookie Salted Caramel,"€ 0,79",,"pro Einheit = 0,79","pro Einheit = 0,79",Keks mit weißen Schokostückchen und mit einem Hauch Meersalz verfeinerter Karamellfüllung,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_228.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000085,obs_0000020012|obs_0000025940|obs_0000001091|obs_0000014547,,,
WILLMS,Cordon Bleu,"€ 3,79","€ 4,99","1 kg = 7,58","1 kg = 7,58","vom Schwein, gefüllt mit Kochschinken und Emmentaler, zum Braten",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_095.jpg,cat_fleisch_wurst,,,ref_000086,obs_0000011833|obs_0000002447|obs_0000001307|obs_0000034131|obs_0000003416|obs_0000029182|obs_0000008314|obs_0000013561|obs_0000006542|obs_0000007442|obs_0000009109|obs_0000007071|obs_0000034095|obs_0000010036|obs_0000006198|obs_0000005435|obs_0000001472|obs_0000008646|obs_0000027334|obs_0000010582|obs_0000012271|obs_0000009586|obs_0000029962|obs_0000020123|obs_0000026397|obs_0000011001|obs_0000029874|obs_0000016575|obs_0000020294|obs_0000020942|obs_0000018384|obs_0000029903|obs_0000025311|obs_0000031204|obs_0000032363|obs_0000021113|obs_0000025465|obs_0000031110|obs_0000030094|obs_0000031126|obs_0000004644|obs_0000000825|obs_0000029132|obs_0000005071|obs_0000032213|obs_0000000478|obs_0000030453|obs_0000004217|obs_0000030974|obs_0000006861,obs_0000002447|obs_0000001307|obs_0000011833|obs_0000034131|obs_0000003416|obs_0000029182,,
Costa,rican peruan Wassermelone lose,"€ 1,49","€ 2,49","pro Einheit = 1,49","pro Einheit = 1,49",Kl. I,Nein,Dieses Angebot findest du vom 27.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-27,2026-04-29,../images/kaufland/kaufland_offer_014.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,,ref_000087,obs_0000013140|obs_0000013139|obs_0000031381,obs_0000013140,x,
TUC,Cracker,"€ 1,99","€ 2,99","1 kg = 6,64","1 kg = 6,64",Original,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_262.jpg,"cat_knabbern_naschen,tag_ultra_processed",,BLS-D050000,ref_000088,obs_0000015892|obs_0000010537|obs_0000012384|obs_0000011380|obs_0000013564|obs_0000003528|obs_0000026987|obs_0000007685|obs_0000031001|obs_0000026025|obs_0000008909|obs_0000006385|obs_0000018964|obs_0000026945|obs_0000020168|obs_0000025546|obs_0000031697|obs_0000014294|obs_0000008024|obs_0000005476|obs_0000027768|obs_0000020987|obs_0000029971|obs_0000007488|obs_0000032244|obs_0000013738|obs_0000012218,obs_0000007685|obs_0000015892|obs_0000010537|obs_0000003528|obs_0000012384|obs_0000026987|obs_0000011380|obs_0000013564,,
BUMBU,Craft Rum Flavour Spirit,"€ 27,59","€ 37,99","1 l = 39,42","1 l = 39,42","The Original, aus 8 Zuckerrohrsorten der Karibik und Südamerikas, ausgewogen und geschmeidig, 40 Vol. %",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_309.jpg,cat_getraenke,,,ref_000089,obs_0000015487|obs_0000017633|obs_0000006555|obs_0000025003|obs_0000027570,obs_0000015487,,
AHEAD,Crazy Hazel,"€ 3,33","€ 4,95","1 kg = 16,65","1 kg = 16,65","Original Nougat-Creme oder White Haselnuss-Creme, ohne Zuckerzusatz > Cremige, samtige Textur",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_246.jpg,"cat_grundnahrung,tag_ultra_processed",,,ref_000090,,,,
Ramazzotti,Crema Cappuccino,"€ 9,99",,"1 l = 14,28","1 l = 14,28","ital. Cremelikör, 17 Vol. %",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_304.jpg,"cat_getraenke,diet_vegetarian,tag_ultra_processed",,,ref_000091,obs_0000016127|obs_0000027211|obs_0000008359|obs_0000027508,obs_0000016127,,x
NIVEA MEN,Creme,"€ 3,29","€ 3,95","1 l = 21,94","1 l = 21,94","für Gesicht, Körper und Hände",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_359.jpg,cat_drogerie,,,ref_000092,obs_0000033360|obs_0000013141|obs_0000020500|obs_0000024612|obs_0000016955|obs_0000020588|obs_0000025213|obs_0000004735|obs_0000027287|obs_0000013470|obs_0000015519|obs_0000033981|obs_0000014536|obs_0000001746|obs_0000004308|obs_0000017627|obs_0000012019|obs_0000000253|obs_0000033544|obs_0000033036|obs_0000008973|obs_0000034582|obs_0000003881|obs_0000021319|obs_0000008596|obs_0000021407|obs_0000017363|obs_0000028116|obs_0000025569|obs_0000026595|obs_0000024571|obs_0000021008|obs_0000030750|obs_0000011311|obs_0000034863|obs_0000015412|obs_0000012853|obs_0000020029|obs_0000033352|obs_0000033353|obs_0000034875|obs_0000012902|obs_0000026747|obs_0000024200|obs_0000026774|obs_0000015525|obs_0000001705|obs_0000020189|obs_0000014566|obs_0000023784,obs_0000033360|obs_0000013141,,
Keine Marke,Crunchy Chicken Patties XXL,"€ 4,99",,"1 kg = 9,98","1 kg = 9,98","knusprige Hähnchen-Patties American Style, Classic oder Hot",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_113.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_gefluegel,tag_ultra_processed,tag_whole_food",,,ref_000093,obs_0000011429|obs_0000012763|obs_0000023578|obs_0000015445|obs_0000013967,obs_0000011429,,
DR OETKER,Cr me fra che l g re oder Vega,"€ 0,99","€ 1,39","1 kg = 6,60 - 7,92","1 kg = 6,60 - 7,92","natur oder z. T. auch mit Kräutern, 15 - 30 % Fett",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_160.jpg,"cat_molkerei_kaese,tag_ultra_processed",,,ref_000094,obs_0000011881|obs_0000013569|obs_0000015796|obs_0000034695|obs_0000007332|obs_0000032481|obs_0000001813|obs_0000009151|obs_0000023029|obs_0000021547|obs_0000020728|obs_0000016170,obs_0000011881|obs_0000013569|obs_0000015796,,
DENVER,DAB FM-Tischradio DAB-57K,"€ 19,99","€ 49,95","pro Einheit = 19,99","pro Einheit = 19,99","Mit TFT-Farbdisplay 40 voreingestellte Sender 3 Favoriten-Sender-Knöpfe Wecker mit Schlummerfunktion Bluetooth-Funktion AUX-Eingang und Kopfhöreranschluss USB-C-Ladeanschluss Akkulaufzeit bis zu 12 h Ausgangsleistung 10 W (1 W RMS) Größe ca. B 16 x H 9 x T 4,5 cm (ca. 350 g)",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_368.jpg,cat_non_food,,,ref_000095,,,,
Crivit,Damen-Funktionsradler,"€ 3,99",,"pro Einheit = 3,99","pro Einheit = 3,99","Aus recyceltem, GRS-zertifiziertem Polyester und Elastan (LYCRA®) Schnelltrocknend und feuchtigkeitsableitend In modischer Ripp-Qualität Ohne störende Seitennähte (seamless) Größen 36/38 - 44/46 (S - L)",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_486.jpg,cat_non_food,,,ref_000096,,,,x
Crivit,Damen-Funktionsshirt,"€ 4,99",,"pro Einheit = 4,99","pro Einheit = 4,99","Aus recyceltem, GRS-zertifiziertem Polyester Schnelltrocknend und feuchtigkeitsableitend Mit Rundhalsausschnitt Größen 36/38 - 44/46 (S - L)",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_472.jpg,cat_non_food,,,ref_000097,obs_0000019056|obs_0000025766|obs_0000018010|obs_0000018665|obs_0000014777|obs_0000022000|obs_0000025765|obs_0000023846|obs_0000024270|obs_0000018659|obs_0000021996|obs_0000023152|obs_0000023154,obs_0000018665|obs_0000014777|obs_0000019056|obs_0000025766|obs_0000022000|obs_0000018010,,x
Crivit,Damen-Sportbustier,"€ 4,49",,"pro Einheit = 4,49","pro Einheit = 4,49","Aus recyceltem, GRS-zertifiziertem Polyamid und Elastan (LYCRA®) Schnelltrocknend und feuchtigkeitsableitend Gerippt, leicht unterstützend Ohne störende Seitennähte (seamless) Mit herausnehmbaren Pads Ideal für Yoga, Pilates, Wandern etc. Größen 36/38 - 44/46 (S - L)",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_478.jpg,cat_non_food,,,ref_000098,,obs_0000016857,,x
Crivit,Damen-Sportschuhe,"€ 9,99",,"pro Einheit = 9,99","pro Einheit = 9,99","Obermaterial aus atmungsaktivem Mesh Futter aus Textil Leichte, flexible EVA-Laufsohle Komfortable Zungen- und Schaftrandpolsterung Mit praktischer Anziehschlaufe Größen 37 - 41",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_460.jpg,cat_non_food,,,ref_000099,obs_0000000494|obs_0000000602,,,x
DELI REFORM,Das Original,"€ 1,29","€ 1,99","1 kg = 2,87","1 kg = 2,87","Margarine, rein pflanzlich, ohne Palmöl",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_175.jpg,"cat_molkerei_kaese,tag_high_protein,tag_ultra_processed",,,ref_000100,obs_0000013045|obs_0000011027|obs_0000010427|obs_0000016821|obs_0000009346|obs_0000017856|obs_0000027710|obs_0000028786|obs_0000006308|obs_0000017604|obs_0000028730|obs_0000030812|obs_0000020611|obs_0000012423|obs_0000006283|obs_0000026772|obs_0000006293|obs_0000026832|obs_0000028896|obs_0000035052|obs_0000027005|obs_0000027048|obs_0000021000|obs_0000008777|obs_0000021117|obs_0000008906|obs_0000015051|obs_0000029444|obs_0000006977|obs_0000021430|obs_0000025547|obs_0000033763|obs_0000017384|obs_0000013325|obs_0000019505|obs_0000031800|obs_0000025705|obs_0000009334|obs_0000015502|obs_0000027791|obs_0000007350|obs_0000033975|obs_0000021758|obs_0000009525|obs_0000021868|obs_0000017799|obs_0000005548|obs_0000026035|obs_0000032208|obs_0000022184,obs_0000030812|obs_0000010427|obs_0000016821|obs_0000013045|obs_0000029444|obs_0000011027|obs_0000009346|obs_0000017856|obs_0000032208,,
HENGSTENBERG,Delikatess-Essig,"€ 2,49","€ 3,29","1 l = 4,98","1 l = 4,98","Weißwein-, Rotwein- oder Kräuter-Essig",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_219.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,,ref_000101,obs_0000008263|obs_0000015851|obs_0000015850,obs_0000008263|obs_0000015851,,
Aus eigener Herstellung,Delikatess-Leberwurst,"€ 0,99","€ 1,39","pro Einheit = 100,00","pro Einheit = 100,00",fein,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_145.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed",,BLS-W214000,ref_000102,obs_0000010608|obs_0000007228|obs_0000005791|obs_0000034952|obs_0000033967|obs_0000006341|obs_0000005420|obs_0000008560|obs_0000029607|obs_0000032360|obs_0000006868|obs_0000029961|obs_0000030218|obs_0000031246|obs_0000003643|obs_0000014468|obs_0000024223|obs_0000011436|obs_0000023801|obs_0000013053|obs_0000026900|obs_0000028438|obs_0000026452|obs_0000028508|obs_0000010597|obs_0000012655|obs_0000013762|obs_0000028622|obs_0000026066|obs_0000031720|obs_0000019440,obs_0000007228|obs_0000005791|obs_0000034952|obs_0000033967|obs_0000006341|obs_0000005420|obs_0000008560|obs_0000010608|obs_0000029607,,
THOMY,Delikatess-Senf,"€ 0,99",,"1 l = 4,95","1 l = 4,95",mittelscharf oder scharf,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_214.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,BLS-W214000,ref_000103,obs_0000009072|obs_0000015847|obs_0000034414|obs_0000014015|obs_0000030294|obs_0000032488|obs_0000031812,obs_0000030294|obs_0000032488|obs_0000009072|obs_0000015847,,
REXONA,Deo-Spray oder -Roll-On,"€ 4,98",,"1 l = 11,07 - 33,20","1 l = 11,07 - 33,20",versch. Sorten,Nein,Dieses Angebot findest du vom 27.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-27,2026-04-29,../images/kaufland/kaufland_offer_629.jpg,cat_drogerie,,,ref_000104,obs_0000014681|obs_0000010782|obs_0000012028|obs_0000031854|obs_0000034449|obs_0000012472|obs_0000010004|obs_0000009543|obs_0000007295|obs_0000006769|obs_0000029053|obs_0000032801|obs_0000033847|obs_0000012900|obs_0000031921|obs_0000012471|obs_0000013582|obs_0000013151|obs_0000014190|obs_0000011176,obs_0000007295|obs_0000014681,,
AXE,Deodorant Bodyspray,"€ 3,49",,"1 l = 23,27","1 l = 23,27",versch. Sorten,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_356.jpg,cat_drogerie,,,ref_000105,obs_0000009737|obs_0000012184|obs_0000009273|obs_0000015975|obs_0000028961|obs_0000008357|obs_0000034660|obs_0000032873|obs_0000026738|obs_0000006944|obs_0000005855|obs_0000006389|obs_0000010777|obs_0000026156|obs_0000010160,obs_0000009737|obs_0000012184|obs_0000006944|obs_0000009273|obs_0000005855|obs_0000015975|obs_0000006389,,
Keine Marke,Dinkel-Vollkornbrot,"€ 1,29","€ 1,65","1 kg = 2,58","1 kg = 2,58",mit Natursauerteig,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_231.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,NUTR-0006,ref_000106,obs_0000015242,obs_0000015242,,
Keine Marke,Dipladenie,"€ 3,99",,"pro Einheit = 3,99","pro Einheit = 3,99","versch. Farben und Formen, Topf Ø 10,5 - 17 cm, ab 3,99€",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_072.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000107,,,,
BAUER,Diplomat Kümmel oder Jalape o-Chili,"€ 0,89","€ 1,79","pro Einheit = 100,00","pro Einheit = 100,00","Schnittkäse, herzhaft, vollmundig, 55 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 27.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-27,2026-04-29,../images/kaufland/kaufland_offer_006.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese",,,ref_000108,obs_0000010917|obs_0000008835,obs_0000010917,,
KIRI,Dippi,"€ 1,99","€ 2,99","1 kg = 18,96","1 kg = 18,96","Schmelzkäsezubereitung, Doppelrahmstufe, und Grissini, 3 Portionen",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_171.jpg,cat_molkerei_kaese,,,ref_000109,obs_0000008065|obs_0000012803|obs_0000018916|obs_0000021607|obs_0000011473|obs_0000011026|obs_0000020788|obs_0000013592|obs_0000022330|obs_0000029535,obs_0000008065|obs_0000012803|obs_0000018916|obs_0000021607|obs_0000011473|obs_0000011026|obs_0000020788|obs_0000013592|obs_0000022330|obs_0000029535,,
ALWAYS,Discreet,"€ 2,99","€ 3,95","pro Einheit = 24,00","pro Einheit = 24,00","Hygieneeinlagen bei Blasenschwäche, versch. Sorten",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_344.jpg,cat_drogerie,,,ref_000110,obs_0000011382|obs_0000012705|obs_0000033282|obs_0000009686|obs_0000009207|obs_0000028652|obs_0000000495|obs_0000028535|obs_0000022336|obs_0000033857|obs_0000020421|obs_0000033495|obs_0000021240|obs_0000008446|obs_0000000639|obs_0000030723|obs_0000032145|obs_0000032280|obs_0000034867|obs_0000007924|obs_0000032144|obs_0000032281|obs_0000030780|obs_0000006242|obs_0000005483|obs_0000030060|obs_0000032767,obs_0000012705|obs_0000011382,,
Nescaf,Dolce Gusto Kapseln,"€ 3,99",,"1 kg = 15,59 - 45,35","1 kg = 15,59 - 45,35",versch. Sorten,Nein,Dieses Angebot findest du vom 27.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-27,2026-04-29,../images/kaufland/kaufland_offer_044.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000111,obs_0000019502|obs_0000005557|obs_0000006639|obs_0000022967|obs_0000027159,obs_0000005557|obs_0000006639,,x
OREO,Doppelkekse,"€ 1,29","€ 1,89","1 kg = 8,22 - 8,38","1 kg = 8,22 - 8,38","mit Cremefüllung, versch. Sorten",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_289.jpg,"cat_knabbern_naschen,tag_ultra_processed",,,ref_000112,obs_0000014621|obs_0000013154|obs_0000015475|obs_0000012407|obs_0000022999,obs_0000008327|obs_0000014621|obs_0000013154|obs_0000015475|obs_0000012407,,
STAEDTLER,Dopperfasermaler-Set Design Journey,"€ 3,99","€ 6,85","pro Einheit = 12,00","pro Einheit = 12,00","2-Spitzen-Modell mit 3,0 und 0,5 - 0,8 mm Stabile, eindrücksichere Spitzen Aus den meisten Textilien leicht auswaschbar",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_402.jpg,cat_non_food,,,ref_000113,,,,
FISH FROM EVIA BAY,Dorade,"€ 11,98",,"pro Einheit = 9,59","pro Einheit = 9,59","ganz, ausgenommen, mit Kopf, 2 Stück",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_149.jpg,"cat_fisch_meeresfruechte,tag_ultra_processed",,,ref_000114,obs_0000006853|obs_0000005405|obs_0000008996|obs_0000010182|obs_0000015374|obs_0000011023|obs_0000028219|obs_0000011870|obs_0000023721|obs_0000024139,obs_0000006853|obs_0000005405,,
ESCAL,Dorade Royal,"€ 10,99",,"1 kg = 10,62","1 kg = 10,62","mit Gewürzmischung zum Marinieren, perfekt für den Grill",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_191.jpg,"cat_tiefkuehl,tag_ultra_processed",,,ref_000115,obs_0000015374|obs_0000011023|obs_0000008996|obs_0000011870|obs_0000023721|obs_0000024139|obs_0000005405|obs_0000006853,obs_0000015374|obs_0000011023|obs_0000008996|obs_0000028219|obs_0000010182|obs_0000011870,,
Keine Marke,Dtsch Basilikum XXL,"€ 1,49","€ 1,99","pro Einheit = 1,49","pro Einheit = 1,49",Topf: 17 cm Ø,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_061.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000116,obs_0000008013|obs_0000014427|obs_0000010564|obs_0000014809|obs_0000013162|obs_0000015239|obs_0000011394|obs_0000011396|obs_0000011407|obs_0000013599|obs_0000015727|obs_0000012763|obs_0000013967,,,
Keine Marke,Dtsch Cherryrispentomaten rot,"€ 2,99",,"1 kg = 14,95","1 kg = 14,95","Sorte laut Auszeichnung, Kl. I",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_088.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000117,obs_0000011408|obs_0000013159|obs_0000014384|obs_0000009888|obs_0000009425|obs_0000008462,obs_0000011408|obs_0000013159,,
Keine Marke,Dtsch Chicor e,"€ 1,79","€ 2,29","1 kg = 3,58","1 kg = 3,58",Kl. I,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_067.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_ultra_processed,tag_whole_food",,,ref_000118,obs_0000010977|obs_0000012240|obs_0000031471|obs_0000034113,obs_0000010977|obs_0000012240,,
Keine Marke,Dtsch Cocktailrispentomaten,"€ 2,99",,"1 kg = 8,55","1 kg = 8,55",Kl. I,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_068.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000119,obs_0000011821|obs_0000014429|obs_0000010972|obs_0000013160|obs_0000015723|obs_0000012237|obs_0000015316|obs_0000000693,obs_0000011821|obs_0000014429|obs_0000010972|obs_0000013160|obs_0000015723|obs_0000012237|obs_0000015316,,
Keine Marke,Dtsch Erdbeeren,"€ 3,99",,"1 kg = 7,98","1 kg = 7,98",Kl. I,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_055.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,,ref_000120,obs_0000015717|obs_0000031261|obs_0000006265|obs_0000030915|obs_0000031462|obs_0000032512|obs_0000006408|obs_0000027419|obs_0000029494|obs_0000031576|obs_0000030564|obs_0000000875|obs_0000022919|obs_0000030617|obs_0000024529,,,
K-CLASSIC,Dtsch Hähnchenschenkel,"€ 3,49","€ 4,99","pro Einheit = 1,00","pro Einheit = 1,00","gewürzt, küchenfertig zubereitet, ca. 3 - 5 Stück",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_184.jpg,"cat_tiefkuehl,diet_lactose_free,sub_gefluegel,tag_proteinreich,tag_ultra_processed,tag_whole_food",,,ref_000121,obs_0000004368|obs_0000000293|obs_0000006537|obs_0000004795|obs_0000027468|obs_0000031837|obs_0000007635|obs_0000003941|obs_0000026472|obs_0000034752,obs_0000010525|obs_0000012213,,
Keine Marke,Dtsch Mini-Romanasalat,"€ 0,99","€ 1,29","pro Einheit = 2,00","pro Einheit = 2,00",Kl. I,Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_064.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_salate,tag_whole_food",,,ref_000122,obs_0000006422|obs_0000007141|obs_0000007519|obs_0000007531|obs_0000028060|obs_0000009645|obs_0000005695|obs_0000026246|obs_0000015719|obs_0000012328|obs_0000006379|obs_0000010932|obs_0000017530|obs_0000026024|obs_0000018128|obs_0000016216,,,
Keine Marke,Dtsch Miniromarispe rot,"€ 2,99",,"1 kg = 14,95","1 kg = 14,95","Sorte laut Auszeichnung, Kl. I",Nein,Dieses Angebot findest du vom 23.04. bis 29.04. in deiner Kaufland-Filiale.,2026-04-23,2026-04-29,../images/kaufland/kaufland_offer_089.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000123,obs_0000011408|obs_0000013159,,,
