Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Milram Käse,Keine Marke,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,"deutscher Schnittkäse, verschiedene Sorten und Fettstufen, 100 g",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/milram-k-se.jpg
Der scharfe oder freche Maxx,Keine Marke,"€ 2,79",Kein vorheriger Preis,Kein Mengenpreis,"schweizer Schnittkäse mit Rohmilch, Rahmstufe, 58 % Fett i. Tr., 100 g",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/der-scharfe-oder-freche-maxx.jpg
EDEKA Genussmomente Käsefondue,Keine Marke,"€ 3,33",Kein vorheriger Preis,"1 kg = 8,33 €","aus schweizer Käse, mit Alkohol, 400 g Packung, (1 kg = 8,33 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/edeka-genussmomente-k-sefondue.jpg
Salakis Schafkäse,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 9,95-14,21 €","verschiedene Sorten und Fettstufen, 140-200 g Packung/Becher, (1 kg = 9,95-14,21 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/salakis-schafk-se.jpg
Alle Angebote finden Sie im Prospekt,Keine Marke,"€ ,00",Kein vorheriger Preis,Kein Mengenpreis,,Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt_36,Keine Marke,"€ ,00",Kein vorheriger Preis,Kein Mengenpreis,"Normalpreise: Kühne: € 1,69, 1l = € 6,76; Maggi: € 1,49, 1l = € 2,98",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,
Mövenpick Kaffee Der Himmlische,Keine Marke,"€ 6,99",Kein vorheriger Preis,"1 kg = 13,98 €","verschiedene Sorten, Der Milde oder El Auténtico, 500 g Packung, (1 kg = 13,98 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/m-venpick-kaffee-der-himmlische.jpg
Dallmayr d’Oro,Keine Marke,"€ 14,99",Kein vorheriger Preis,"1 kg = 19,99/14,99 €","verschiedene Sorten, Crema prodomo oder Bio Gran Verde ganze Bohnen, 750/1000 g Packung, (1 kg = 19,99/14,99 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/dallmayr-d-oro.jpg
Nescafé Dolce Gusto Kapseln,Keine Marke,"€ 4,49",Kein vorheriger Preis,Kein Mengenpreis,"verschiedene Sorten, 16er",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/nescaf-dolce-gusto-kapseln.jpg
Starbucks by Nespresso Kaffeekapseln,Keine Marke,"€ 3,69",Kein vorheriger Preis,"1 kg = 64,74-69,62 €","verschiedene Sorten, 10er Für die Verwendung in Nespresso?* Kaffeemaschinen geeignet. *Markenzeichen eines Dritt-Unternehmens., 53-57 g Packung, (1 kg = 64,74-69,62 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/starbucks-by-nespresso-kaffeekapseln.jpg
Dallmayr Gold,Keine Marke,"€ 7,49",Kein vorheriger Preis,"1 kg = 37,45 €","löslicher Kaffee, 200 g Glas, (1 kg = 37,45 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/dallmayr-gold.jpg
"Lavazza Qualità Rossa, Caffè Crema Barista, Espresso Barista oder Bio ¡Tierra!",Keine Marke,"€ 16,99",Kein vorheriger Preis,"1 kg = 16,99 €","verschiedene Sorten, ganze Bohnen, 1 kg Packung, (1 kg = 16,99 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/lavazza-qualit-rossa-caff-crema-barista-espresso-barista-oder-bio-tierra.jpg
EDEKA Genussmomente Pasta,Keine Marke,"€ 1,69",Kein vorheriger Preis,"1 kg = 3,38 €","verschiedene Ausformungen Nur solange der Vorrat reicht., 500 g Packung, (1 kg = 3,38 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/edeka-genussmomente-pasta.jpg
Maggi 5 Minuten Terrine oder Magic Asia Noodle Cup,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 13,20-24,15 €","verschiedene Sorten, 41-75 g Becher, (1 kg = 13,20-24,15 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/maggi-5-minuten-terrine-oder-magic-asia-noodle-cup.jpg
Knorr Suppenliebe Suppe,Keine Marke,"€ 0,69",Kein vorheriger Preis,Kein Mengenpreis,verschiedene Sorten,Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/knorr-suppenliebe-suppe.jpg
EDEKA Genussmomente Fond,Keine Marke,"€ 1,29",Kein vorheriger Preis,"1 l = 3,23 €","verschiedene Sorten, 400 ml Glas, (1 l = 3,23 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/edeka-genussmomente-fond.jpg
Alwins Beste Wurstkonserve,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 9,93 €","verschiedene Sorten, 150 g Dose, (1 kg = 9,93 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/alwins-beste-wurstkonserve.jpg
Bonduelle Goldmais oder Hülsenfrüchte,Keine Marke,"€ 1,11",Kein vorheriger Preis,"1 kg = 3,89-4,44 €","verschiedene Sorten, 300-400 g Dose (Abtropfgewicht 250-285 g), (1 kg = 3,89-4,44 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/bonduelle-goldmais-oder-h-lsenfr-chte.jpg
Bonduelle Gemüse,Keine Marke,"€ 1,11",Kein vorheriger Preis,"1 kg = 3,96-5,05","verschiedene Sorten, 400 g Dose (Abtropfgewicht 220-280 g), (1 kg = 3,96-5,05)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/bonduelle-gem-se.jpg
Barebells Protein Bar Riegel,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 36,18 €","verschiedene Sorten, 55 g Packung, (1 kg = 36,18 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/barebells-protein-bar-riegel.jpg
