Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Akku-Tischleuchte,CASALUX,"€ 7,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_079.jpg,cat_non_food
Sensible-Relax-Kissen,IRISETTE,"€ 24,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_080.jpg,cat_non_food
Jersey-Spannbetttuch,Novitesse,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_081.jpg,cat_non_food
Retro-Sneaker,ALDIMANIA,"€ 9,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_082.jpg,cat_non_food
Einkaufstasche,ALDIMANIA,"€ 5,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_083.jpg,cat_non_food
Trainingsjacke,Aldimania,"€ 6,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_084.jpg,cat_non_food
Pullover Damen,Aldimania,"€ 6,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_085.jpg,cat_non_food
ALDImaniac Schlüsselanhänger,ALDImaniac,"€ 5,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_086.jpg,cat_non_food
Basic-Shirts,UP2FASHION,"€ 7,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_087.jpg,cat_non_food
Socken,UP2FASHION,"€ 3,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_088.jpg,cat_non_food
Retropants,Retropants,"€ 7,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_089.jpg,cat_non_food
Kapuzenpullover oder Sweatshirt,UP2FASHION,"€ 9,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_090.jpg,cat_non_food
Laufschuhe,CRANE,"€ 16,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_091.jpg,cat_non_food
Unterhemden,UP2FASHION,"€ 6,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_092.jpg,cat_non_food
Frühlingsbeetpflanzen,Gardenline,"€ 1,89",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_093.jpg,cat_non_food
Pullover,UP2FASHION,"€ 9,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_094.jpg,cat_non_food
Jeans,UP2FASHION,"€ 12,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_095.jpg,cat_non_food
Frühjahrsblüher-Ample,Frühjahrsblüher-Ample,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_096.jpg,cat_non_food
2-in-1-Pullover,UP2FASHION,"€ 7,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_097.jpg,cat_non_food
Kalanchoe,Kalanchoe,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_098.jpg,"cat_fleisch_wurst,tag_ultra_processed"
Mikrofaser-Geschirrtücher,Crofton,"€ 3,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_099.jpg,cat_non_food
Aluguss-Topf,Crofton,"€ 17,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_100.jpg,cat_non_food
Allzweck- Gefrierbeutel,Power Force,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_101.jpg,cat_non_food
Aluguss-Pfanne,Crofton,"€ 14,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_102.jpg,cat_non_food
Bambus-Pfandflaschen-Sammelbehälter,HOME CREATION,"€ 19,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_103.jpg,cat_non_food
Wokpfanne,Crofton,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_104.jpg,cat_non_food
Profi-Müllsäcke,Power Force,"€ 7,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_105.jpg,cat_non_food
Fettarmer Joghurt,Milsani,"€ 0,79",,1.58 €/kg,,Nein,,,,images_aldi/aldi_offer_106.jpg,cat_molkerei_kaese
BiACtiv fettarmer Joghurt Vanille,Milsani,"€ 0,39",,kg-Preis 1.95,,Nein,,,,images_aldi/aldi_offer_107.jpg,cat_molkerei_kaese
Premium-Joghurt,Milsani,"€ 0,49",,kg-Preis 2.45,,Nein,,,,images_aldi/aldi_offer_108.jpg,cat_molkerei_kaese
Sahnejoghurt,Milsani,"€ 0,39",,2.60 €/kg,,Nein,,,,images_aldi/aldi_offer_109.jpg,cat_molkerei_kaese
High-Protein-Pudding Schoko,Milsani,"€ 0,89",,kg-Preis 4.45,,Nein,,,,images_aldi/aldi_offer_110.jpg,cat_molkerei_kaese
Cr me la Cuisine,Milsani,"€ 0,89",,1 l = 3.56,,Nein,,,,images_aldi/aldi_offer_111.jpg,cat_molkerei_kaese
Joghurt 3 5 Fett,Milsani,"€ 0,89",,kg-Preis 1.78,,Nein,,,,images_aldi/aldi_offer_112.jpg,cat_molkerei_kaese
