Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market
Katzentrockennahrung,Perfect Fit,"€ 2,99",,"1 kg = 3,99","versch. Sorten, je 750-g-Btl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_233.jpg,"cat_tiernahrung,tag_ultra_processed",bamberg
8in1 Delights Kauknochen L,Keine Marke,"€ 3,99",,"1 kg = 46,94",je 85-g-Pckg,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_234.jpg,"cat_tiernahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
8in1 Delights Kauknochen XS,Keine Marke,"€ 3,99",,"1 kg = 47,50",je 84-g-Pckg,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_235.jpg,"cat_tiernahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
GLUBSCHIS Kinder Pyjama-Set,Keine Marke,"€ 14,99",,Kein Mengenpreis,"100% Baumwolle Größen: 110/116-134/140, je Set",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_236.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegetarian,sub_exoten,tag_ultra_processed,tag_whole_food",bamberg
GLUBSCHIS 3D Kuschelsocken,Keine Marke,"€ 3,99",,Kein Mengenpreis,"98% Polyester, 2% Elasthan Größen: 27/30-35/38 mit ABS-Sohle, je Paar",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_237.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,tag_whole_food",bamberg
GLUBSCHIS Plüschtier,Keine Marke,"€ 6,99",,Kein Mengenpreis,"versch. Ausführungen, je St",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_238.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg
Steinbrech,Keine Marke,"€ 2,29",,Kein Mengenpreis,"versch. Farben, für die kreative Gartendekoration, je Topf",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_239.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg
Blumenstrauß Charm,Keine Marke,"€ 9,99",,Kein Mengenpreis,"mit Floralife Schnittblumen- nahrung, je Bund",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_240.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Narzisse Primel oder Vergissmeinnicht,Keine Marke,"€ 1,00",,Kein Mengenpreis,"versch. Farben, je Topf",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_241.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",bamberg
Hornveilchen Duo,Keine Marke,"€ 3,99",,Kein Mengenpreis,"in dekorativem Balkonkasten, je St",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_242.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Spee Color Gel,Keine Marke,"€ 3,49",,"1 WL = 0,17",je 20-WL-Fl,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_230.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg
Gugelhupfform,Keine Marke,"€ 4,99",,Kein Mengenpreis,"Ø ca. 22,5 cm, je St",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_215.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg
Osterservietten,Keine Marke,"€ 1,99",,Kein Mengenpreis,"Cocktailservietten ca. 24 x 24 cm 1,99 Lunchservietten ca. 33 x 33 cm 2,49 Silhouette 2,99, Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_214.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg
VIVESS Eierkocher,Keine Marke,"€ 12,99",,Kein Mengenpreis,"für 1-6 Eier Messbecher mit Härte­gradskalierung und Ei-Pick Signal­ton bei Beendigung ca. 210 W, je St",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_213.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Chiemseer Hell,Keine Marke,"€ 14,99",,"1 l = 1,50","je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_186.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg
Tucher Urbräu Hell oder Pils,Keine Marke,"€ 11,99",,"1 l = 1,20","je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_187.jpg,cat_getraenke,bamberg
Maisel s Weisse Original,Keine Marke,"€ 14,99",,"1 l = 1,50","je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_188.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_tk_fertiggerichte,tag_high_protein,tag_ultra_processed,tag_whole_food",bamberg
Bitburger Pils oder alkoholfrei,Keine Marke,"€ 11,99",,"1 l = 1,20","versch. Sorten, je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_189.jpg,cat_getraenke,bamberg
Hasseröder Premium Pils,Keine Marke,"€ 9,99",,"1 l = 1,00","je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_190.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegetarian",bamberg
Corona Mexican Beer oder Cero alkoholfrei,Keine Marke,"€ 6,49",,"1 l = 3,05","versch. Sorten, je 6 x 0,355-l-Fl.-Sixpack, zzgl. 0,48 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_191.jpg,"cat_getraenke,diet_vegan,diet_vegetarian",bamberg
Schöfferhofer Weizen,Keine Marke,"€ 4,29",,"1 l = 2,17","versch. Sorten, je 6 x 0,33-l-Fl.-Sixpack, zzgl. 0,48 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_192.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Karlsberg Mixery Vod Flav Iced Blue,Keine Marke,"€ 0,99",,"1 l = 1,98","je 0,5-l-Dose, zzgl. 0,25 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_193.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Jever Pilsener oder Fun,Keine Marke,"€ 12,49",,"1 l = 1,25","versch. Sorten, je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_194.jpg,"cat_getraenke,diet_lactose_free,diet_vegan,tag_ultra_processed",bamberg
Henkell Sekt,Keine Marke,"€ 3,99",,"1 l = 5,32","trocken, je 0,75-l-Fl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_195.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Blanc de Blanc,Blanchet,"€ 2,99",,"1 l = 3,99","trocken, je 0,75-l-Fl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_196.jpg,cat_getraenke,bamberg
Jameson Irish Whiskey,Keine Marke,"€ 14,99",,"1 l = 21,41","40% Vol., je 0,7-l-Fl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_197.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Underberg,Keine Marke,"€ 7,99",,"1 l = 33,29","44% Vol., je 12 x 20-ml-Fl.-Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_198.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Osborne Solaz,Keine Marke,"€ 4,49",,"1 l = 5,99","trocken, je 0,75-l-Fl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_199.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Faustino Rivero Ulecia,Keine Marke,"€ 3,99",,"1 l = 5,32","trocken, je 0,75-l-Fl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_200.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Freixenet Sekt,Keine Marke,"€ 1,99",,"1 l = 9,95","je 0,2-l-Fl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_201.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Weinfreunde Steitz Beck,Keine Marke,"€ 3,99",,"1 l = 5,32","versch. Sorten, trocken, je 0,75-l-Fl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_202.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Moselland Akzente Riesling Qualitätswein,Keine Marke,"€ 3,99",,"1 l = 5,32","halbtrocken, je 0,75-l-Fl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_203.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegetarian,tag_whole_food",bamberg
Eckes Edelkirschlikör,Keine Marke,"€ 6,99",,"1 l = 13,98","20% Vol., je 0,5-l-Fl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_204.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Reiniger Bad Dusche,Viss,"€ 1,99",,"1 l = 2,65","Anti-Kalk, je 750-ml-Fl",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_205.jpg,cat_drogerie,bamberg
MYU 3D Tasse,Keine Marke,"€ 7,99",,Kein Mengenpreis,"versch. Ausführungen, je St",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_206.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",bamberg
MYU Mini Backhelfer,Keine Marke,"€ 1,99",,Kein Mengenpreis,"versch. Ausführungen, je St",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_207.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg
MYU Backform Silikon,Keine Marke,"€ 5,99",,Kein Mengenpreis,je St,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_208.jpg,"cat_non_food,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
MYU Kinderschürze und Kochmütze 2er-Set,Keine Marke,"€ 7,99",,Kein Mengenpreis,"Länge ca. 58 cm, je Set",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_209.jpg,"cat_non_food,tag_ultra_processed",bamberg
MYU 3D Schüssel,Keine Marke,"€ 7,99",,Kein Mengenpreis,je St,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_210.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
VIVESS Schüsseln mit Deckel,Keine Marke,"€ 7,99",,Kein Mengenpreis,"ca. 0,3 l, 0,7 l, 2 l und 4 l, je Set",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_211.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Muffinform 12er,Keine Marke,"€ 4,99",,Kein Mengenpreis,"ca. 35,5 x 26,5 x 3 cm, je St",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_212.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg
Franziskaner Weissbier,Keine Marke,"€ 13,99",,"1 l = 1,40","versch. Sorten, je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 Pfand",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_184.jpg,"cat_getraenke,diet_lactose_free,diet_vegan,diet_vegetarian",bamberg
Steinofenbaguette,Demeter,"€ 1,99",,"1 kg = 7,96",je 250-g-St,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_122.jpg,"cat_grundnahrung,diet_gluten_free,diet_vegetarian",bamberg
gefüllte Eier mit Karamellgebäckcreme,REWE Beste Wahl,"€ 1,79",,"1 kg = 17,90",je 100-g-Btl,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_162.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Eiweißbrot,REWE Bio,"€ 1,99",,"1 kg = 7,96","mit Erbsen, je 250-g-Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_120.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Frisches Schweinefilet,Keine Marke,"€ 0,99",,Kein Mengenpreis,je 100 g,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_033.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,sub_schwein,tag_high_protein,tag_proteinreich,tag_whole_food",bamberg
Schiller GQB Strohschwein Bierkugel,Keine Marke,"€ 1,11",,Kein Mengenpreis,je 100 g,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_034.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed",bamberg
Schiller GQB Strohschwein Rauchkringel,Keine Marke,"€ 1,49",,Kein Mengenpreis,je 100 g,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_035.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed",bamberg
Höhenrainer Putenbrust,Keine Marke,"€ 1,59",,Kein Mengenpreis,"mit Paprika, je 100 g",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_036.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_gefluegel,tag_ultra_processed,tag_whole_food",bamberg
Höhenrainer Putenschnitzel oder Cordon bleu,Keine Marke,"€ 1,69",,Kein Mengenpreis,"paniert, je 100 g",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_037.jpg,"cat_fleisch_wurst,sub_gefluegel,tag_ultra_processed",bamberg
Kalbssteaks,Keine Marke,"€ 3,99",,Kein Mengenpreis,"aus dem Rücken, je 100 g",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_038.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_rind,tag_ultra_processed,tag_whole_food",bamberg
Strohschweinbraten -Gulasch oder -Schnitzel,Keine Marke,"€ 0,88",,Kein Mengenpreis,"aus dem Schinken, je 100 g",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_039.jpg,"cat_fleisch_wurst,sub_schwein,tag_ultra_processed,tag_whole_food",bamberg
Hähnchensteaks Pollo Fino Hähnchenoberkeule,Keine Marke,"€ 0,99",,Kein Mengenpreis,"ohne Knochen, natur oder mariniert, je 100 g",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_040.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_proteinreich,tag_whole_food",bamberg
Würzig scharfe Schweinefilet medaillons,Keine Marke,"€ 1,11",,Kein Mengenpreis,"am Spieß, je 100 g",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_041.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_schwein,tag_proteinreich,tag_ultra_processed",bamberg
Rinderbrust,Keine Marke,"€ 1,69",,Kein Mengenpreis,"ohne Knochen, je 100 g",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_042.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_rind,tag_proteinreich,tag_ultra_processed,tag_whole_food",bamberg
Entrec te,Keine Marke,"€ 2,99",,Kein Mengenpreis,"vom Rind, je 100 g",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_043.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg
Böhnlein Krakauer,Keine Marke,"€ 1,29",,Kein Mengenpreis,"gekocht, je 100 g",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_044.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg
Orangen,Keine Marke,"€ 2,49",,Kein Mengenpreis,"Sorte: siehe Etikett, Kl. I, je 1 kg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_032.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg
Toggenburger Sonntagskäse,Keine Marke,"€ 1,99",,Kein Mengenpreis,"Schweizer Hartkäse, 45% Fett i.Tr., je 100 g",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_045.jpg,"cat_getraenke,sub_kaese",bamberg
Scamorza Affumicata,Keine Marke,"€ 1,59",,Kein Mengenpreis,"ital. Pasta Filata Käse, mind. 40% Fett i.Tr., je 100 g",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_047.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg
Ostermeier GQB Strohschwein Domschinken,Keine Marke,"€ 1,79",,Kein Mengenpreis,je 100 g,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_048.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed",bamberg
Schiller Currywurst,Keine Marke,"€ 0,99",,Kein Mengenpreis,je 100 g,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_049.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_wurst,tag_ultra_processed,tag_whole_food",bamberg
Käsescheiben,Leerdammer,"€ 1,59",,"1 kg = 11,36","versch. Sorten, je 140-g-Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_050.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",bamberg
Oatly Haferdrink Barista,Keine Marke,"€ 1,79",,Kein Mengenpreis,"versch. Sorten, je 1-l-Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_051.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Feine Butter oder Streichzart,Meggle,"€ 1,49",,"1 kg = 5,96","versch. Sorten, je 250-g-Becher/Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_052.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_vegetarian,sub_butter_margarine,sub_milchprodukte",bamberg
Rügenwalder Vegane Mühlen Cordon Bleu,Keine Marke,"€ 2,49",,"1 kg = 12,45",je 2 x 100-g-Pckg,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_053.jpg,"cat_molkerei_kaese,diet_lactose_free,diet_vegan,diet_vegetarian,sub_fleischersatz,tag_ultra_processed",bamberg
Philadelphia,Philadelphia,"€ 1,19",,"1 kg = 6,10","versch. Sorten, je 195-g-Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_054.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_milchprodukte,sub_sahne_creme,tag_ultra_processed",bamberg
Grand Dessert,Ehrmann,"€ 0,55",,"1 kg = 2,89","versch. Sorten, je 190-g-Becher",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_055.jpg,"cat_molkerei_kaese,sub_milchprodukte",bamberg
High Protein Pudding oder High Protein Joghurt,Ehrmann,"€ 0,99",,"1 kg = 4,95","versch. Sorten, je 200-g-Becher",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_056.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_high_protein,tag_proteinreich,tag_ultra_processed",bamberg
Sahnepudding,Landliebe,"€ 0,49",,"1 kg = 3,27","Schokolade, je 150-g-Becher",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_057.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_milchprodukte,sub_sahne_creme,tag_ultra_processed",bamberg
Exquisa Quark Genuss,Keine Marke,"€ 1,49",,"1 kg = 2,98","versch. Sorten, je 500-g-Becher",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_058.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_whole_food",bamberg
Kartoffelsalat,Keine Marke,"€ 0,59",,Kein Mengenpreis,je 100 g,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_046.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_kartoffeln,sub_salate,tag_ultra_processed,tag_whole_food",bamberg
Braune Champignons,Keine Marke,"€ 1,49",,"1 kg = 5,96","Kl. I, je 250-g-Schale",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_031.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_pilze,tag_ultra_processed,tag_whole_food",bamberg
Rote Bio Speisezwiebeln,Keine Marke,"€ 1,19",,"1 kg = 2,38","Kl. II, je 500-g-Netz",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_030.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",bamberg
Grüne Bio Kiwis,Keine Marke,"€ 1,99",,Kein Mengenpreis,"Kl. I, je 4-St.-Schale",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_029.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",bamberg
Bio Jogurt mild,Andechser Natur,"€ 1,29",,"1 kg = 2,58","3,8% Fett, je 500-g-Becher",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_005.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_kaese,sub_milchprodukte,tag_proteinreich",bamberg
Wholey Acai Bowl,Keine Marke,"€ 2,99",,"1 kg = 11,96","tiefgefroren, je 250-g-Pckg",Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_008.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg
Caff Latte,REWE Bio,"€ 0,79",,"1 l = 3,16",je 250-ml-Becher,Nein,2026-03-09 bis 2026-03-15,2026-03-09,2026-03-15,images_rewe/bamberg_offer_009.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_whole_food",bamberg
