Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,source_market
Berchtesgadener Land Frischer Schlagrahm,Keine Marke,"0,99 €",,"1 kg = 4,95","32% Fett, je 200-g-Becher",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_058.jpg,bamberg
Loose Hausmacher Handkäse mit Kümmel,Keine Marke,"2,49 €",,"1 kg = 12,45",je 200-g-Pckg,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_059.jpg,bamberg
Berchtesgadener Land Frische Schokoladen Milch,Keine Marke,"0,79 €",,"1 kg = 1,98","3,7% Fett, je 400-g-Fl",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_060.jpg,bamberg
Andechser Natur Bio Käse,Keine Marke,"2,49 €",,"1 kg = 16,60","versch. Sorten, je 150-g-Pckg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_061.jpg,bamberg
Goldsteig Mascarpone,Keine Marke,"1,99 €",,"1 kg = 7,96",je 250-g-Becher,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_048.jpg,bamberg
Andechser Natur Bio Almbutter,Keine Marke,"2,99 €",,"1 kg = 11,96",je 250-g-Pckg,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_062.jpg,bamberg
Obatzter,Keine Marke,"1,49 €",,,je 100 g,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_032.jpg,bamberg
Schiller GQB Strohschwein Mettwurst,Keine Marke,"1,59 €",,,je 100 g,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_030.jpg,bamberg
Rote Bio Tafeläpfel,Keine Marke,"2,22 €",,,"Sorte: siehe Etikett, Kl. II, je 1-kg-Netz",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_002.jpg,bamberg
Grüne Kiwi,Keine Marke,"0,29 €",,,"Kl. I, je St",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_003.jpg,bamberg
Bio Mandarinen,Keine Marke,"1,99 €",,"1 kg = 2,65","Sorte: siehe Etikett, Kl. II, je 750-g-Netz",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_004.jpg,bamberg
Mini Gurken,Keine Marke,"4,44 €",,,"Kl. I, je 1 kg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_005.jpg,bamberg
Glatte Petersilie,Keine Marke,"1,19 €",,"1 kg = 5,95","Ursprung: siehe Etikett, je 200-g-Bund",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_006.jpg,bamberg
Bio Schalotten,Keine Marke,"1,19 €",,"1 kg = 5,95","Kl. II, je 200-g-Netz",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_007.jpg,bamberg
Porree,Keine Marke,"0,49 €",,,"Kl. I, je St",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_008.jpg,bamberg
Kohlrabi,Keine Marke,"0,55 €",,,"Kl. I, je St",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_009.jpg,bamberg
Grüner Spargel,Keine Marke,"3,99 €",,"1 kg = 9,98","Kl. I, je 400-g-Bund",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_010.jpg,bamberg
Bio Limette,Keine Marke,"0,39 €",,,"Sorte: siehe Etikett, Kl. II, je St",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_011.jpg,bamberg
Speisekartoffeln,Keine Marke,"0,99 €",,"1 kg = 0,66","»Air Fryer«, Kocheigenschaft: festkochend, Sorte: siehe Etikett, Qualität I, je 1,5-kg-Btl",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_012.jpg,bamberg
Mix Tafeltrauben,Keine Marke,"2,22 €",,"1 kg = 4,44","Sorte: siehe Etikett, Kl. I, je 500-g-Schale",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_013.jpg,bamberg
Buschbohnen,Keine Marke,"2,29 €",,"1 kg = 5,73","Kl. I, je 400-g-Pckg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_014.jpg,bamberg
Gustavo Gusto Pizza Salame,Keine Marke,"3,49 €",,"1 kg = 7,59","tiefgefroren, je 460-g-Pckg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_126.jpg,bamberg
Rucola,Keine Marke,"0,79 €",,"1 kg = 6,32","Kl. I, je 125-g-Schale",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_015.jpg,bamberg
Ostermaier GQB Strohschwein Bayrische Kantsalami,Keine Marke,"1,49 €",,,je 100 g,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_017.jpg,bamberg
Ostermaier GQB Strohschwein Klosterschinken,Keine Marke,"1,79 €",,,je 100 g,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_018.jpg,bamberg
Putenbrust,Keine Marke,"1,99 €",,,je 100 g,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_019.jpg,bamberg
Bayr. Leberkäse,Keine Marke,"1,49 €",,,"grob, je 100 g",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_020.jpg,bamberg
Duroc Serrano-Schinken,Keine Marke,"2,49 €",,,"18 Monate gereift, je 100 g",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_021.jpg,bamberg
Bayrische Kochsalami,Keine Marke,"1,79 €",,,je 100 g,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_022.jpg,bamberg
Landbauern Hähnchenbrustfilet,Keine Marke,"1,59 €",,,je 100 g,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_023.jpg,bamberg
Rinderroastbeef,Keine Marke,"2,99 €",,,"am Stück oder in Scheiben, je 100 g",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_024.jpg,bamberg
Kalbs-Vorderhaxe,Keine Marke,"1,29 €",,,je 100 g,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_025.jpg,bamberg
Cevapcici,Keine Marke,"1,22 €",,,"gewürztes  Hackfleischröllchen aus Rind und Schweinefleisch, je 100 g",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_026.jpg,bamberg
"Strohschweinbraten, -Gulasch oder -Schnitzel",Keine Marke,"0,99 €",,,"aus dem Schinken, je 100 g",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_027.jpg,bamberg
Strohschwein Ofenrippe,Keine Marke,"0,77 €",,,je 100 g,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_028.jpg,bamberg
Rote Hexe,Keine Marke,"2,69 €",,,"Schweizer Schnittkäse, mind. 55% Fett i.Tr., je 100 g",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_029.jpg,bamberg
Hackfleisch gemischt,Keine Marke,"1,11 €",,,"vom Rind und Schwein, je 100 g",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_016.jpg,bamberg
Billie Green Veganer Bacon oder vegane Schinkenwürfel,Keine Marke,"1,59 €",,"1 kg = 17,67",je 90-g-Pckg,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_063.jpg,bamberg
Schiller GQB Strohschwein Pfefferbeisser,Keine Marke,"1,69 €",,,je 100 g,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_031.jpg,bamberg
Alpro Soya Cooking,Keine Marke,"0,99 €",,"1 l = 3,96","versch. Sorten, je 250-ml-Pckg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_065.jpg,bamberg
Loose Quäse mild,Keine Marke,"2,49 €",,"1 kg = 11,32",je 220-g-Pckg,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_097.jpg,bamberg
REWE Regional Rinderbrust,Keine Marke,"17,90 €",,,"ohne Knochen, SB-verpackt, je 1 kg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_098.jpg,bamberg
REWE Regional Schweine-Schnitzel Oberschale,Keine Marke,"6,49 €",,"1 kg = 10,82",je 600-g-Pckg,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_099.jpg,bamberg
Dr. Oetker Sahne Pudding,Keine Marke,"1,99 €",,"1 kg = 3,98","Schoko, je 500-g-Becher",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_100.jpg,bamberg
Tarczynski Polnischer Kesselschinken,Keine Marke,"1,79 €",,,je 100 g,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_102.jpg,bamberg
REWE Beste Wahl Naturjoghurt mild,Keine Marke,"1,49 €",,,"versch. Fettstufen, je 1-kg-Eimer",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_103.jpg,bamberg
REWE Beste Wahl Räucherlachs oder Graved Lachs,Keine Marke,"2,89 €",,"1 kg = 28,90",je 2 x 50-g-Pckg,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_104.jpg,bamberg
Burgis Bayerischer Knödelteig oder Rohe Klöße,Keine Marke,"1,79 €",,"1 kg = 2,39",je 750-g-Btl,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_105.jpg,bamberg
Meica Kohlkönig,Keine Marke,"2,79 €",,"1 kg = 6,98",je 400-g-Schale,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_106.jpg,bamberg
Florette Kopfsalat,Keine Marke,"1,79 €",,"1 kg = 11,93",je 150-g-Btl,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_107.jpg,bamberg
Florette Salat Wintergenuss,Keine Marke,"1,79 €",,"1 kg = 17,90",je 100-g-Btl,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_108.jpg,bamberg
J*st Food Trinkmahlzeit,Keine Marke,"2,99 €",,"1 l = 5,98","versch. Sorten, je 500-ml-Fl, zzgl. 0,25 Pfand",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_109.jpg,bamberg
REWE Regional Frisches Hähnchen-Geschnetzeltes,Keine Marke,"5,55 €",,"1 kg = 13,88",je 400-g-Pckg,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_096.jpg,bamberg
REWE Beste Wahl Dark Orange,Keine Marke,"1,99 €",,,"100% Direktsaft, mit Fruchtfleisch, je 1-l-Fl, zzgl. 0,25 Pfand",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_111.jpg,bamberg
Meica Volle Kelle Lauch-Käse-Eintopf,Keine Marke,"2,79 €",,"1 kg = 6,20",je 450-g-Schale,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_113.jpg,bamberg
REWE Beste Wahl Family-Mix,Keine Marke,"1,59 €",,"1 kg = 5,30",je 300-g-Btl,Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_114.jpg,bamberg
Gustavo Gusto Pizza Margherita,Keine Marke,"3,49 €",,"1 kg = 8,51","tiefgefroren, je 410-g-Pckg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_115.jpg,bamberg
Original Wagner Steinofen Pizza Salami,Keine Marke,"1,79 €",,"1 kg = 5,59","tiefgefroren, je 320-g-Pckg",Nein,2026-02-23 bis 2026-03-01,2026-02-23,2026-03-01,images_rewe/bamberg_offer_116.jpg,bamberg
