Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Bauernschätze Putenschnitzel,Keine Marke,"€ 1,66",,"1 kg = 17,70 €","auch in gewürzt erhältlich, 100 g = 1,77 €, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/bauernsch-tze-putenschnitzel.jpg,"cat_fleisch_wurst,sub_gefluegel"
Bauernschätze Putensteaks,Keine Marke,"€ 1,77",,"1 kg = 16,60 €","pfannenfertig gewürzt auch in natur erhältlich, 100 g = 1,66 €, 100 g",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/bauernsch-tze-putensteaks.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_gefluegel"
Geschnetzeltes Gyros Art,Keine Marke,"€ 6,66",,"1 kg = 8,33 €","vom Schwein, 800 g XXL SB-Packung, (1 kg = 8,33 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/geschnetzeltes-gyros-art.jpg,"cat_fleisch_wurst,diet_lactose_free,diet_vegetarian,tag_whole_food"
Hackfleisch gemischt,Keine Marke,"€ 8,88",,"1 kg = 11,10 €","800 g XXL SB-Packung, (1 kg = 11,10 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/hackfleisch-gemischt.jpg,"cat_fleisch_wurst,diet_lactose_free,diet_vegetarian,sub_hackfleisch,sub_rind,sub_schwein,tag_proteinreich,tag_ultra_processed"
Rinderbeinscheiben,Keine Marke,"€ 6,29",,"1 kg = 12,58 €","verschiedene Gewichte, z. B. 503 g SB-Packung, (1 kg = 12,58 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/rinderbeinscheiben.jpg,"cat_fleisch_wurst,diet_vegan,diet_vegetarian,sub_rind,tag_proteinreich,tag_ultra_processed,tag_whole_food"
Weingenuss Wein,Keine Marke,"€ 1,49",,"1 l = 1,99 €","aus Deutschland, verschiedene Sorten, 0,75 Liter Flasche, (1 l = 1,99 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/weingenuss-wein.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Martini aromatisiertes weinhaltiges Getränk oder Alkoholfrei,Keine Marke,"€ 7,99",,"1 l = 10,65 €","verschiedene Sorten, 14,5/15 % Vol., 0,75 Liter Flasche, (1 l = 10,65 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/martini-aromatisiertes-weinhaltiges-getr-nk-oder-alkoholfrei.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed"
Tullamore D E W Irish Whiskey,Keine Marke,"€ 12,99",,"1 l = 19,99 €","verschiedene Sorten, 35/40 % Vol., 0,7 Liter Flasche, (1 l = 19,99 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/tullamore-d-e-w-irish-whiskey.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food"
albi Saft Nektar oder Fruchtsaftgetränk,Keine Marke,"€ 1,49",,"1 l = 1,49 €","verschiedene Sorten, 1 Liter Packung, (1 l = 1,49 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/albi-saft-nektar-oder-fruchtsaftgetr-nk.jpg,"cat_getraenke,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed"
The real cola oder Limonade,Keine Marke,"€ 0,39",,"1 l = 1,18 €","verschiedene Sorten *koffeinhaltige Limonade., 0,33 Liter Dose + 0,25 Pfand, (1 l = 1,18 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/the-real-cola-oder-limonade.jpg,"cat_getraenke,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed"
Max Balance Vitamin Water,Keine Marke,"€ 0,59",,"1 l = 1,18 €","verschiedene Sorten, 0,5 Liter Flasche + 0,25 Pfand, (1 l = 1,18 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/max-balance-vitamin-water.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food"
Spezi oder Limonade,Paulaner,"€ 9,99",,"1 l = 1,10 €","verschiedene Sorten Je nach Verfügbarkeit des Marktes. *koffeinhaltige Limonade, 20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,10 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/paulaner-spezi-oder-limonade.jpg,"cat_getraenke,tag_ultra_processed"
Franziskaner Weissbier,Keine Marke,"€ 13,49",,"1 l = 1,45 €","verschiedene Sorten, 20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,45 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/franziskaner-weissbier.jpg,"cat_getraenke,diet_lactose_free,diet_vegan,diet_vegetarian"
