Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Butterschmalz,Milbona,"5,49 €",,1 kg = 10.98,,Nein,,,,images_lidl/lidl_offer_107.jpg
Cremosano Creme zum Kochen,Milbona,"0,89 €",,1 l = 3.56,,Nein,,,,images_lidl/lidl_offer_108.jpg
Skyr Natur,Milbona,"1,19 €",,1 kg = 2.38,,Nein,,,,images_lidl/lidl_offer_109.jpg
Fettarmer Kefir,Milbona,"0,79 €",,1 kg = 1.58,,Nein,,,,images_lidl/lidl_offer_110.jpg
"Laktosefreier Joghurt, mild",Milbona,"0,89 €",,1 kg = 1.78,,Nein,,,,images_lidl/lidl_offer_111.jpg
Fruchtgummi Bunte Mäuse,Sweet Corner,"0,99 €",,"1,39 €",,Nein,,,,images_lidl/lidl_offer_112.jpg
Gummibonbons,Sweet Corner,"0,89 €",,"1,19 €",,Nein,,,,images_lidl/lidl_offer_113.jpg
3D Fruchtgummi,Sweet Corner,"0,99 €",,1 kg = 15.23,,Nein,,,,images_lidl/lidl_offer_114.jpg
Frucht-Kaubonbons,Sweet Corner,"1,69 €",,"1,99 €",,Nein,,,,images_lidl/lidl_offer_115.jpg
Kaubo Mix,Sweet Corner,"1,79 €",,"2,29 €",,Nein,,,,images_lidl/lidl_offer_116.jpg
Kaubo Cubyys,Sweet Corner,"0,79 €",,"0,99 €",,Nein,,,,images_lidl/lidl_offer_117.jpg
Hustenbonbons,Amanie,"1,25 €",,"1,39 €",,Nein,,,,images_lidl/lidl_offer_118.jpg
Apfelringe oder Saure Würmer,Sweet Corner,"1,19 €",,"1,49 €",,Nein,,,,images_lidl/lidl_offer_119.jpg
Party Mix Minis,Sweet Corner,"1,99 €",,"2,49 €",,Nein,,,,images_lidl/lidl_offer_120.jpg
Mega Bärchen,Sweet Corner,"0,79 €",,"0,99 €",,Nein,,,,images_lidl/lidl_offer_121.jpg
Bonbons Japanische Minze,Amanie,"0,89 €",,"0,99 €",,Nein,,,,images_lidl/lidl_offer_122.jpg
Eukalyptus Menthol Bonbons,Amanie,"1,59 €",,"1,79 €",,Nein,,,,images_lidl/lidl_offer_123.jpg
Früchtchen,Sweet Corner,"1,11 €",,"1,39 €",,Nein,,,,images_lidl/lidl_offer_124.jpg
Mega Mix Fruity & Sour,Sweet Corner,"3,49 €",,"4,29 €",,Nein,,,,images_lidl/lidl_offer_125.jpg
Mega Bärchen,Sweet Corner,"0,99 €",,"1,29 €",,Nein,,,,images_lidl/lidl_offer_126.jpg
Overshirt,Esmara,"14,99 €",,,,Nein,,,,images_lidl/lidl_offer_127.jpg
Feinstrick-Pullover,Esmara,"7,99 €",,"9,99 €",,Nein,,,,images_lidl/lidl_offer_128.jpg
Jeans,Esmara,"14,99 €",,,,Nein,,,,images_lidl/lidl_offer_129.jpg
