Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market
Blumenstrauß Coffeetime,Keine Marke,"€ 8,50",,Kein Mengenpreis,"versch. Zusammenstellungen, mit Floralife Schnittblumennahrung, je Strauß",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_276.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Blumenstrauß My Time,Keine Marke,"€ 5,00",,Kein Mengenpreis,"mit Floralife Schnittblumennahrung, je Strauß",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_275.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",bamberg
Strauß Power Lady,Keine Marke,"€ 20,00",,Kein Mengenpreis,"mit Floralife Schnittblumennahrung, je Strauß",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_274.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Blumentopf in Tierform,Keine Marke,"€ 2,99",,Kein Mengenpreis,"aus Metall Katze oder Hund ca. 12 x 8 x 10/14 cm, je St",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_280.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Allgäuer Büble Edelbräu,Keine Marke,"€ 14,99",,"1 l = 1,50","je 20 x 0,5-l-Fl.-Kasten, zzgl. 4,50 Pfand",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_218.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Zewa Toilettenpapier,Keine Marke,"€ 3,99",,Kein Mengenpreis,"Ultra Soft, 4-lagig, je 8 x 150-Blatt-Pckg",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_254.jpg,cat_drogerie,bamberg
Tischläufer ca 40 x 140 cm,Keine Marke,"€ 4,99",,Kein Mengenpreis,je St,Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_252.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Käfer Hugo Aperitivo,Keine Marke,"€ 2,49",,"1 l = 3,32","versch. Sorten, teilw. alkoholfrei, je 0,75-l-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_233.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Hettinger Qualitätswein,Keine Marke,"€ 2,99",,Kein Mengenpreis,"versch. Sorten, trocken, halbtrocken, je 1-l-Fl, Einzelpreis 3,33 € je 1-l-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_232.jpg,"cat_getraenke,diet_vegetarian",bamberg
Castellani Primitivo IGT,Keine Marke,"€ 3,99",,"1 l = 5,32","trocken, je 0,75-l-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_231.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Käfer Pinot Grigio oder Chardonnay,Keine Marke,"€ 3,49",,"1 l = 4,65","je 0,75-l-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_230.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",bamberg
Vineyards Cabernet Sauvignon oder Barefoot Moscato,Gallo Family,"€ 3,99",,"1 l = 5,32","versch. Sorten, je 0,75-l-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_229.jpg,"cat_getraenke,tag_ultra_processed",bamberg
Lamberti Pinot Grigio DOC,Keine Marke,"€ 3,99",,"1 l = 5,32","trocken, je 0,75-l-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_228.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Black Tower Fruity White Rivaner,Keine Marke,"€ 2,99",,"1 l = 3,99","je 0,75-l-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_234.jpg,"cat_getraenke,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",bamberg
Bourbon Whiskey Cola,Jim Beam,"€ 1,99",,"1 l = 6,03","koffeinhaltig, 10% Vol. oder Suntory -196 Vodka Lemon, je 0,33-l-Dose, zzgl. 0,25 Pfand",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_227.jpg,"cat_getraenke,tag_ultra_processed",bamberg
Fernet Branca Kräuterlikör,Keine Marke,"€ 11,99",,"1 l = 17,13","35% Vol., je 0,7-l-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_225.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Tullamore Dew Irish Whiskey,Keine Marke,"€ 13,99",,"1 l = 19,99","40% Vol., je 0,7-l-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_224.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Chantr Weinbrand,Keine Marke,"€ 5,99",,"1 l = 8,56","36% Vol., je 0,7-l-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_223.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Sekt,MM Extra,"€ 2,99",,"1 l = 3,99","je 0,75-l-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_222.jpg,cat_getraenke,bamberg
Mionetto Prosecco Spumante DOC,Keine Marke,"€ 6,49",,"1 l = 8,65","je 0,75-l-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_221.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Blanc oder Ros Aperitif,Lillet,"€ 10,99",,"1 l = 14,65","17% Vol., je 0,75-l-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_220.jpg,cat_getraenke,bamberg
Bacardi Carta Blanca Superior,Keine Marke,"€ 9,99",,"1 l = 14,27","37,5% Vol. oder Razz 27% Vol., je 0,7-l-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_226.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",bamberg
Emaille Schale 2er-Set,Keine Marke,"€ 6,99",,Kein Mengenpreis,je Set,Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_253.jpg,cat_non_food,bamberg
Casal Garcia Vinho Verde DOC,Keine Marke,"€ 3,49",,"1 l = 4,65","halbtrocken, je 0,75-l-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_235.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg
Weinfreunde Granbeau,Keine Marke,"€ 4,99",,"1 l = 6,65","versch. Sorten, trocken, je 0,75-l-Fl",Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_237.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
VIVESS Batterien Micro AAA,Keine Marke,"€ 5,99",,Kein Mengenpreis,je 20-St.-Box,Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_251.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
Vivess Knopfzellen CR2032 4er-Pack,Keine Marke,"€ 2,49",,Kein Mengenpreis,je 4-St.-Pckg,Nein,2026-03-02 bis 2026-03-08,2026-03-02,2026-03-08,images_rewe/bamberg_offer_250.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg
