Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Longlife Rose,,6.99 €,,,"haltbare Rose in modernem Dekogestell, ca. 18 cm hoch, min. 12 Monate haltbar",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_062.png
Orchidee,,9.99 €,,,"ca. 50 – 70 cm hoch versch. Farben, Ø = 12 cm",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_063.png
Amaryllis,,4.99 €,,,"2er mit Kiefer, ca. 50 cm lang",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_064.png
Anthurie,,4.49 €,,,"ca. 30 cm hoch, versch. Ausführungen, Ø = 10 cm",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_065.png
Kalanchoe,,2.99 €,,,"ca. 25 cm hoch, versch. Farben, Ø = 12 cm",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_066.png
geglitterter Weihnachtsstern,,3.49 €,,,"ca. 30 cm hoch, Ø = 12 cm",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_067.png
Christrosen Arrangement,,6.99 €,,,"Helleborus ca. 30 cm hoch, Ø = 13 cm",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_068.png
True Fruits Smoothie,,2.99 €,statt 4.69,3.99 / l,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_069.png
Galbani Mascarpone,,4.44 €,,8.88 / kg,,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_070.png
Müller Doppeldecker oder Wackelpudding,,0.99 €,UVP 1.59,1.98 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_071.png
Weihenstephan Cremig & Quarkig,,0.49 €,statt 0.69,3.27 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_072.png
Dahlhoff Aioli-Creme,,1.79 €,,7.16 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_073.png
Meggle Reibekäse,,1.79 €,,11.93 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_074.png
Mozzarella Stange,,2.49 €,,6.23 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_075.png
Pizzateig XXL,,1.29 €,statt 1.29,1.82 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_076.png
Frische Vollmilch,,2.70 €,statt 2.70,1.-,"gekühlt, 3,8% Fett Einzelpreis: 1.35",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_077.png
Woerle Gourmet Bergkäse Stück,,2.99 €,,14.95 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_078.png
Ehrmann Grand Dessert,,0.59 €,statt 1.19,3.11 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_079.png
Rama,,1.99 €,,2.74 / kg,,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_080.png
Berchtesgadener Land Topfen,,1.19 €,,2.38 / kg,"gekühlt, Bayerischer Speisequark",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_081.png
Frosty Peach oder Mango Ice Cream,,1.99 €,UVP 2.99,28.43 / kg,tiefgekühlt,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_082.png
Dessert Ei,,1.49 €,,21.29 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_083.png
"Kinder Maxi King, Milchschnitte und Kinder Pingui",,1.49 €,statt 1.89,10.64 - 14.19 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_084.png
Schokolierte Früchte,,6.98 €,statt 6.98,23.08 / kg,"tiefgekühlt, versch. Sorten Einzelpreis: 3.49 (26.85 / kg)",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_085.png
Iglo Spinat,,1.99 €,,2.65 - 3.98 / kg,"tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_086.png
Wagner Steinofen Pizza oder Flammkuchen,,1.89 €,,5.40 - 6.30 / kg,"tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_087.png
Langnese Cremissimo Eis,,1.79 €,statt 3.99,1.38 – 2.17 / l,"tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_088.png
Wildlachsfilet,,5.99 €,UVP 6.99,8.56 / kg,"versch. Sorten, tiefgekühlt",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_089.png
Französische Käseplatte,,6.99 €,,23.30 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_090.png
