Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Alta Badia,Keine Marke,"€ 1,99",,Kein Mengenpreis,"ital. Hartkäse, mind. 50% Fett i.Tr., je 100-g-",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_042.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,ref_000156,obs_0000027684|obs_0000028921|obs_0000004935,obs_0000027684|obs_0000028921
Pustertaler,Keine Marke,"€ 1,79",,Kein Mengenpreis,"ital. Schnittkäse, 50% Fett i. Tr., je 100-g-",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_041.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,ref_000157,obs_0000029006|obs_0000010932|obs_0000013025,obs_0000010932|obs_0000013025|obs_0000029006
Böhnlein Weißwurst,Keine Marke,"€ 1,11",,Kein Mengenpreis,je 100-g-,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_040.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_wurst,tag_ultra_processed,tag_whole_food",bamberg,,ref_000158,obs_0000028581|obs_0000030048|obs_0000007426|obs_0000008486|obs_0000010041|obs_0000011732|obs_0000026366,obs_0000028581|obs_0000030048
Wasner Pikante Käsebierwurst,Keine Marke,"€ 1,99",,Kein Mengenpreis,je 100-g-,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_039.jpg,"cat_getraenke,diet_lactose_free,diet_vegetarian,sub_wurst,tag_ultra_processed",bamberg,,ref_000159,obs_0000027317|obs_0000029379,obs_0000027317
Maxi King,Kinder,"€ 1,49",,"1 kg = 14,19 €",je 3 x 35-g-Pckg.,Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_045.jpg,"cat_molkerei_kaese,tag_ultra_processed",bamberg,,ref_000160,obs_0000022692|obs_0000022268|obs_0000025615|obs_0000009952|obs_0000029999|obs_0000023354|obs_0000007498|obs_0000029128,obs_0000022692|obs_0000022268
Cremig Quarkig,Weihenstephan,"€ 1,69",,"1 kg = 3,38 €","versch. Sorten, je 500-g-Becher",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_054.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte",bamberg,,ref_000161,obs_0000025608|obs_0000031632|obs_0000032254|obs_0000002976|obs_0000002408|obs_0000029555,obs_0000025608|obs_0000031632|obs_0000032254|obs_0000002976|obs_0000002408
Bresso Kräuter der Provence,Keine Marke,"€ 1,29",,"1 kg = 8,60 €","60% Fett i.Tr., je 150-g-Pckg.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_055.jpg,"cat_molkerei_kaese,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese,sub_kraeuter,sub_milchprodukte,sub_sahne_creme",bamberg,,ref_000162,obs_0000028608|obs_0000029439|obs_0000030009|obs_0000025416|obs_0000000636|obs_0000001352|obs_0000002060|obs_0000002629|obs_0000008952|obs_0000009413|obs_0000010500|obs_0000012260|obs_0000032087,obs_0000028608|obs_0000029439|obs_0000030009
Endor Vegane Chicken Sticks,Keine Marke,"€ 2,49",,"1 kg = 13,83 €","versch. Sorten, je 180-g-Schale",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_056.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_fleischersatz,sub_frisches_gemuese,sub_gefluegel,tag_high_protein,tag_proteinreich,tag_ultra_processed,tag_whole_food",bamberg,,ref_000163,obs_0000027573|obs_0000028084|obs_0000013329|obs_0000014410|obs_0000022103,obs_0000027573|obs_0000028084
Minus L H-Milch,Keine Marke,"€ 1,29",,Kein Mengenpreis,"1,5/3,5% Fett, laktosefrei, je 1-l-Pckg.",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_071.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_milchprodukte,tag_ultra_processed,tag_whole_food",bamberg,,ref_000164,obs_0000030025|obs_0000006254|obs_0000000796|obs_0000003400|obs_0000024305|obs_0000005328,obs_0000030025
Götterspeise,Dr Oetker,"€ 0,69",,"1 kg = 4,31 €","Waldmeister mit Bourbon-Vanillesoße, je 160-g-Becher",Nein,2026-03-16 bis 2026-03-22,2026-03-16,2026-03-22,images_rewe/bamberg_offer_070.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_vegetarian,tag_ultra_processed",bamberg,,ref_000165,obs_0000024465|obs_0000020645|obs_0000016567|obs_0000031232|obs_0000028992,obs_0000020645|obs_0000016567|obs_0000024465
