Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Doppelzonen-Heißluftfritteuse,Silvercrest,"€ 59,99",,"84,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_238.jpg,cat_non_food,,ref_000238,obs_0000016655|obs_0000021227|obs_0000021243|obs_0000017444|obs_0000017425|obs_0000008288|obs_0000002156|obs_0000022653|obs_0000024845|obs_0000004377|obs_0000015042|obs_0000004804|obs_0000000770|obs_0000002968|obs_0000023997|obs_0000022061|obs_0000022230|obs_0000003950|obs_0000020608|obs_0000019262|obs_0000020081,
Gläser-Set 4-tlg,Spiegelau,"€ 7,99",,"24,90 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_239.jpg,cat_non_food,,ref_000239,obs_0000018382|obs_0000008291|obs_0000022861|obs_0000022906|obs_0000014715|obs_0000014904|obs_0000007670|obs_0000018117|obs_0000001876|obs_0000018303|obs_0000022438|obs_0000001964|obs_0000022480|obs_0000018090,obs_0000018382
Smoothie-Maker,Silvercrest,"€ 17,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_240.jpg,cat_non_food,,ref_000240,obs_0000016406|obs_0000020534|obs_0000012391|obs_0000010394|obs_0000010403|obs_0000008466|obs_0000004384|obs_0000000440|obs_0000012920|obs_0000004811|obs_0000003248|obs_0000032013|obs_0000011856|obs_0000001853|obs_0000003957|obs_0000010264,
Tafelbesteck,Silvercrest,"€ 17,99",,"24,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_241.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,ref_000241,obs_0000022904|obs_0000022482,
Wasserkocher,Silvercrest,"€ 14,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,,cat_non_food,,ref_000242,obs_0000020625|obs_0000018625|obs_0000016824|obs_0000019444|obs_0000021655|obs_0000031006|obs_0000020928|obs_0000016963|obs_0000000766|obs_0000017221|obs_0000032410|obs_0000022093|obs_0000001720|obs_0000016093|obs_0000031316|obs_0000025575|obs_0000013666|obs_0000014070|obs_0000024372|obs_0000014720|obs_0000016215|obs_0000015051|obs_0000012379|obs_0000010648|obs_0000008835|obs_0000009296|obs_0000008013,obs_0000020625|obs_0000018625|obs_0000031006|obs_0000016824|obs_0000020928|obs_0000016963|obs_0000000766|obs_0000017221|obs_0000019444|obs_0000021655|obs_0000032410|obs_0000022093|obs_0000001720|obs_0000016093
Tafelservice 12-tlg,Creatable,"€ 44,99",,"UVP
139,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_243.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000243,obs_0000001956|obs_0000017356|obs_0000015848,
Doppelschlitztoaster,Silvercrest,"€ 14,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_244.jpg,"cat_non_food,tag_ultra_processed",,ref_000244,,obs_0000016659|obs_0000021659|obs_0000016201
7-Zonen-1 000er-Taschenfederkern-Matratze,Livarno,"€ 129,00",,"149,00 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_245.jpg,cat_non_food,,ref_000245,obs_0000021021|obs_0000017116|obs_0000020732|obs_0000021251|obs_0000022845|obs_0000016717|obs_0000022423|obs_0000017528|obs_0000018606|obs_0000023392|obs_0000019425,obs_0000015580|obs_0000014824
Kaltschaum-Matratze,BeCo,"€ 115,00",,"UVP
299,00 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_246.jpg,cat_non_food,,ref_000246,obs_0000018173|obs_0000021254,
4K-Ultra-HD-Smart-TV,TCL,"€ 269,00",,"UVP
499,00 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_247.jpg,cat_non_food,,ref_000247,obs_0000021450,
Jersey-Spannbettuch,Looks by Wolfgang Joop,"€ 12,99",,"UVP
32,95 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_248.jpg,cat_non_food,,ref_000248,,obs_0000000258|obs_0000004100|obs_0000004527|obs_0000000690|obs_0000020659|obs_0000002893|obs_0000003673|obs_0000000739|obs_0000016889|obs_0000003323
Samtvorhang-Set,Looks by Wolfgang Joop,"€ 29,99",,"UVP
149,95 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_249.jpg,cat_non_food,,ref_000249,obs_0000021685|obs_0000024057,obs_0000016403|obs_0000020662|obs_0000021685|obs_0000024057
Mako-Satin-Bettwäsche,Looks by Wolfgang Joop,"€ 34,99",,"UVP
109,95 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_250.jpg,cat_drogerie,,ref_000250,obs_0000020657|obs_0000016698|obs_0000021664|obs_0000018158|obs_0000009800|obs_0000017092|obs_0000020951|obs_0000001767|obs_0000022835|obs_0000009573|obs_0000022412|obs_0000024539,obs_0000009800|obs_0000021664|obs_0000020657|obs_0000018158|obs_0000016698
Orange Drehtürenschrank,Rauch,"€ 479,00",,"UVP
1.299,00 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_251.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,ref_000251,obs_0000021857|obs_0000029200|obs_0000001318|obs_0000000709,
