Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Keine Marke,Costa-rican ecuador Ananas lose,"€ 1,79",2.29,Kein Mengenpreis,"»Extra Sweet«, Kl. I",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_054.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food"
Keine Marke,Costa-rican panam Honigmelone lose,"€ 1,99",2.99,Kein Mengenpreis,Kl. I,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_053.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food"
LEIBNIZ,Cream,"€ 1,49",2.69,1 kg = 6.54 - 7.85,"Butterkekse mit Cremefüllung, versch. Sorten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_280.jpg,"cat_knabbern_naschen,tag_ultra_processed"
AMARULA,Cream Marula Fruit,"€ 9,99",13.99,1 l = 14.28,"Likör aus Südafrika, hergestellt aus der Frucht des Marula-Baumes und Sahne, 17 Vol. %",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_297.jpg,"cat_getraenke,tag_ultra_processed"
K-CLASSIC,Cremige Scheiben,"€ 2,29",2.89,1 kg = 11.45,"fein-würzig oder würzig-aromatisch, 60 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_140.jpg,cat_molkerei_kaese
LANGNESE,Cremissimo,"€ 1,79",,1 l = 1.99 - 2.17,"Premium-Eis, versch. Sorten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_156.jpg,"cat_tiefkuehl,sub_fleischersatz,sub_tk_eis,sub_tk_fertiggerichte,tag_high_protein,tag_ultra_processed"
7 DAYS,Croissants,"€ 1,79",2.99,1 kg = 7.46) / (1 kg = 6.63)**,"mit Cremefüllung, versch. Sorten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_229.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed"
MEICA,Curry King,"€ 1,79",,1 kg = 8.14,"Currywurst, versch. Sorten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_189.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed"
PANASONIC,DECT-Telefon KX-TGC420GW,"€ 24,99",UVP 35.99,Kein Mengenpreis,Beleuchtetes Display Freisprechfunktion Anrufbeantworter bis zu 18 min Blockieren unerwünschter Rufnummern Gesprächszeit/Standby bis zu 18/200 h Eco-Funktion,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_371.jpg,cat_non_food
NEUTROGENA,Deep Moisture Bodylotion,"€ 3,99",4.95,1 l = 9.98,"feuchtigkeitsspendende Körperpflege, Sofort einziehend oder Sensitive",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_346.jpg,cat_drogerie
HENGSTENBERG,Delikatess-Essig,"€ 2,49",3.99,1 l = 4.98,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_213.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed"
NOTHWANG,Delikatess-Schinkenspeck,"€ 1,49",2.19,Kein Mengenpreis,"über Buchenholz geräucherter Rohschinken, von Hand gesalzen",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_114.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed"
NISSIN,Demae Ramen,"€ 0,59",0.89,1 kg = 5.90,"Instant-Ramen-Nudelsuppe, versch. Sorten",Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_677.jpg,cat_non_food
Keine Marke,Demeter dtsch Tafeläpfel,"€ 1,99",2.49,1 kg = 3.62,Kl. II,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_052.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food"
NIVEA,Deo Roll-on,"€ 2,79",,1 l = 55.80,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_347.jpg,cat_drogerie
REXONA,Deo-Spray oder -Roll-On,"€ 1,99",,1 l = 13.27 - 39.80,versch. Sorten,Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_693.jpg,cat_drogerie
BRANDT,Der Markenzwieback,"€ 1,69",2.09,1 kg = 5.00,gebacken mit Sonnenblumenöl,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_226.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food"
ORIGINAL WAGNER,Die Backfrische oder Big City Pizza,"€ 1,99",,1 kg = 4.53 - 6.22) / (1 kg = 4.07 - 5.60)**,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_169.jpg,"cat_tiefkuehl,sub_tk_pizza,tag_ultra_processed"
WEIHENSTEPHAN,Die Extrazarte,"€ 1,99",,1 kg = 4.98,"aus Butter und Rapsöl, ungesalzen",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_130.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_vegetarian,sub_milchprodukte"
GWF,Die jungen Frank n Qualitätswein,"€ 3,99",5.49,1 l = 5.32,"Franken, versch. Sorten, z. B. Rotling: Aromen von Erd- und Waldbeeren, passt zu Nudelgerichten, Geflügel und Salaten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_309.jpg,cat_getraenke
NESCAF,Dolce Gusto Kapseln,"€ 3,79",,1 kg = 14.81 - 43.07,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_256.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed"
Antipasti-Creme,Doppelrahmstufe,"€ 0,89",,Kein Mengenpreis,"Frischkäsecreme, Doppelrahmstufe, versch. Sorten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_215.jpg,"cat_grundnahrung,sub_frisches_gemuese"
PATTEX,Doppelseitiges Klebeband,"€ 3,99",4.99,1 m = 2.66,"Für einfache und schnelle Befestigungen Bis zu 120 kg pro Rolle Gleicht Unebenheiten des Untergrundes aus Feuchtigkeits-, UV- und weichmacherbeständig Temperaturbeständig von -40 bis +120 °C Für innen und außen Breite ca. 19 mm",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_413.jpg,cat_non_food
REBENBLICK,Dornfelder,"€ 1,99",2.29,1 l = 2.66,"Qualitätswein, Rheinhessen/Pfalz, halbtrocken oder lieblich, z. B. htr.: fruchtige Nuancen von Beeren, passt zu dunklem Fleisch, Pasta und Käse",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_305.jpg,"cat_getraenke,tag_ultra_processed"
Keine Marke,Dtsch Speisekartoffeln,"€ 1,99",2.99,1 kg = 0.80,"verschiedene Kocheigenschaften, ausgewählte Sorten laut Auszeichnung, Qualität I",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_057.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_kartoffeln,tag_whole_food"
Keine Marke,Dtsch franz kleine Speisekartoffeln,"€ 1,49",1.99,Kein Mengenpreis,"festkochend, Sorte laut Auszeichnung, Qualität I",Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_666.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_kartoffeln,tag_whole_food"
Keine Marke,Dtsch ital Tafeläpfel Kanzi,"€ 1,99",2.99,1 kg = 2.22,"»Nicoter«,süß-säuerlich, Kl. I",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_055.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Keine Marke,Dtsch ital Tafeläpfel XXL,"€ 4,44",,1 kg = 0.89,"Sorte laut Auszeichnung, Kl. I",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_049.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food"
Keine Marke,Dtsch niederl Zwiebeln rot,"€ 0,99",1.29,Kein Mengenpreis,Kl. I,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_060.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
SWITCH ON,Dual-USB-Ladegerät,"€ 5,99",9.99,Kein Mengenpreis,"Zur Akku-Aufladung/Stromversorgung per Steckdose Für Mobiltelefone, Tablets, E-Book-Reader etc. Paralleles Laden von bis zu 2 Geräten möglich Anschlüsse: USB-A und USB-C USB-C-Anschluss mit Power Delivery (PD) Mit Überstrom- und Kurzschluss-Schutz Gesamtleistung 35 W (15 + 20 W) 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_365.jpg,cat_non_food
ORIGINAL SOURCE,Duschgel,"€ 1,11",1.59,1 l = 4.44,"mit natürlichem Duft, versch. Sorten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_345.jpg,"cat_drogerie,tag_high_protein,tag_ultra_processed"
Keine Marke,Ecuador kolumb Bananen lose,"€ 0,99",1.29,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_661.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food"
KULMBACHER,Edelherb,"€ 10,99",15.99,1 l = 1.10,"Pils, nach Originalrezept gebraut (+ 3.10 Pfand)",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_315.jpg,cat_getraenke
SETTELE,Eier-Spätzle,"€ 2,99",4.29,Kein Mengenpreis,Knöpfle oder geschabt,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_178.jpg,"cat_grundnahrung,diet_vegetarian,sub_nudeln"
ERASCO,Eintopf,"€ 1,49",1.99,1 kg = 3.73,"versch. Sorten, für eine Portion",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_204.jpg,"cat_grundnahrung,diet_vegetarian"
WILKINSON SWORD,Einwegrasierer Xtreme3,"€ 3,99",,pro Stück = 0.50,Sensitiv for Men oder Beauty for Women,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_344.jpg,cat_drogerie
K-PURLAND,Eisbein,"€ 3,89",4.99,Kein Mengenpreis,"vom Schwein, für die deftige Mahlzeit",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_079.jpg,cat_fleisch_wurst
KRÜGER,Eiskaffee,"€ 1,99",2.99,1 kg = 7.24,"Classic, Pulver zum Anrühren",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_255.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian"
PARKSIDE,Elektriker-Werkzeug-Set,"€ 17,99",,Kein Mengenpreis,"2 Schraubendreher SL 0,6 x 3,5 und 1,0 x 5,5 mm Schraubendreher PZ2 x 125 mm Seitenschneider Flachrundzange Phasenprüfer 125 - 250 V Isoliert nach IEC 60900 (für sicheres Arbeiten an spannungsführenden Teilen bis 1.000 V) 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_410.jpg,cat_non_food
GOLDSTEIG,Emmentaler oder Almdammer,"€ 1,49",1.99,1 kg = 11.92,"in hauchdünnen Scheiben, 45 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_145.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte"
K-CLASSIC,Emmentaler XXL,"€ 3,33",,1 kg = 6.66,"gerieben, 45 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_148.jpg,cat_molkerei_kaese
GÖNRGY,Energy Drink by MontanaBlack,"€ 1,29",,1 l = 2.58,"versch. Sorten, mit und ohne Zucker, taurin- und koffeinhaltig (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_285.jpg,"cat_getraenke,tag_ultra_processed"
RED BULL,Energy Drink oder Erfrischungsgetränk,"€ 0,99",,1 l = 3.00 - 3.96) / (1 l = 2.58 - 3.40)**,"versch. Sorten, z. T. taurin- und koffeinhaltig (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_320.jpg,"cat_getraenke,tag_ultra_processed"
K-CLASSIC,Erdbeeren XXL,"€ 3,99",,Kein Mengenpreis,erntefrisch tiefgefroren,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_159.jpg,cat_tiefkuehl
NIVEA,Expert Filler Cellular,"€ 12,99",16.45,1 l = 259.80,"Anti-Age-Tagespflege (LSF 30) oder -Nachtpflege, mit Hyaluron- und Folsäure",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_339.jpg,"cat_drogerie,tag_ultra_processed"
LINDT,Exquisite Vielfalt,"€ 5,99",,1 kg = 47.92,"Pralinés, versch. Sorten, oder Spezialitäten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_272.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
HOMANN,Feinkostsalat,"€ 1,79",,1 kg = 4.48,Pellkartoffelsalat mit Ei & Gurke oder Nudelsalat mit Schinkenwurst & Ei,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_192.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food"
K-CLASSIC,Feinzucker,"€ 0,79",0.99,Kein Mengenpreis,Raffinade,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_244.jpg,cat_grundnahrung
K-CLASSIC,Fertiggericht,"€ 1,99",2.69,1 kg = 4.98,"für die Mikrowelle, versch. Sorten, z. B. Broccoligratin",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_188.jpg,cat_grundnahrung
GRECO,Feta g U,"€ 1,99",2.99,1 kg = 13.27,"griech. Weichkäse, 48 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_020.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte"
MEDIASHOP,Fett- und Schmutzlöser Grease Police,"€ 7,99",UVP 29.90,1 l = 15.98,"Zur Reinigung in Küche, Bad, Garage und Garten Entfernt mühelos Fett, Kalk, Wasserflecken etc. Für alle Oberflächen, Geräte, Gitter und mehr Inkl. Mikrofasertuch",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_533.jpg,cat_non_food
SHEBA,Filets,"€ 0,99",1.25,1 kg = 16.50,"Katzenfutter, versch. Sorten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_352.jpg,cat_drogerie
MERCI,Finest Selection Großpackung,"€ 5,99",8.49,1 kg = 14.98,"große Vielfalt, zarte Schokoladenstäbchen",Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_683.jpg,cat_non_food
EXQUISA,Fitline Protein Skyr Vanille oder Zero,"€ 1,49",,1 kg = 3.73,"Frischkäsezubereitung oder Quark-Joghurt-Creme, versch. Sorten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_131.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_high_protein,tag_proteinreich,tag_ultra_processed"
PARKSIDE,Flachmeißel abgewinkelt,"€ 2,99",,Kein Mengenpreis,Zum Entfernen von Wand- und Bodenfliesen Meißelschneide 40 mm Schneide im Winkel von 30° zum Schaft Länge 250 mm Aufnahme gemäß SDS-plus-System,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_402.jpg,cat_non_food
KAUFFER S,Flammkuchen,"€ 1,99",3.29,1 kg = 7.66,"aus dem Elsass, Original mit Rahm, Speck und Zwiebel",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_168.jpg,"cat_tiefkuehl,sub_tk_pizza,tag_ultra_processed"
Keine Marke,Flammkuchenwelle,"€ 0,79",,Kein Mengenpreis,"halboffenes Buttercroissant mit würziger Füllung nach Flammkuchen-Art, mit Schinken, Frühlingszwiebeln und Käse",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_217.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_tk_fertiggerichte,sub_tk_pizza,tag_ultra_processed,tag_whole_food"
Aus eigener Herstellung,Fleischwurst,"€ 1,11",,Kein Mengenpreis,"mild geräuchert, herzhaft gewürzt",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_109.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed"
PARKSIDE,Fliesenmeißel,"€ 2,99",,Kein Mengenpreis,Zum Entfernen von Wand- und Bodenfliesen Länge 250 mm Meißelschneide 20 mm Aufnahme gemäß SDS-plus-System,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_405.jpg,cat_non_food
PARKSIDE,Fliesenmeißel extra,"€ 2,99",,Kein Mengenpreis,Zum Entfernen von Wand- und Bodenfliesen Extra langlebig Meißelschneide 40 mm Länge 250 mm Aufnahme gemäß SDS-plus-System,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_406.jpg,cat_non_food
LANGNESE,Flotte Biene Honig,"€ 2,49",,1 kg = 9.96,"Wildblüten-, Linden-, Sonnenblumen- oder Sabienchens Honig",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_242.jpg,"cat_grundnahrung,diet_vegetarian,sub_tk_eis,tag_ultra_processed"
MAMMUT,Formel 90 Protein,"€ 8,99",10.99,1 kg = 19.55,Chocolate,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_349.jpg,"cat_drogerie,tag_high_protein,tag_proteinreich,tag_ultra_processed"
TANTE FANNY,Frischer Dinkel-Pizzateig,"€ 1,99",2.79,1 kg = 4.98,"aus 100 % Dinkelmehl, mit 2 % Olivenöl extra vergine, backfertig auf Backpapier",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_185.jpg,cat_grundnahrung
EXQUISA,Frischkäsezubereitung,"€ 0,99",1.89,1 kg = 4.95,"versch. Sorten, Magerstufe - Doppelrahmstufe",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_150.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_ultra_processed"
MÜLLER,Frucht-Buttermilch,"€ 0,89",,1 kg = 1.78) / (1 kg = 1.38)**,versch. Sorten (+ 0.25 Pfand),Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_126.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_butter_margarine,sub_milchprodukte,tag_ultra_processed"
ZUM DORFKRUG,Fruchtgrütze,"€ 1,99",2.79,1 kg = 5.31 - 5.53,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_121.jpg,"cat_molkerei_kaese,tag_ultra_processed"
HARIBO,Fruchtgummi,"€ 5,99",7.99,1 kg = 4.44 - 5.00,versch. Sorten,Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_684.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
TROLLI,Fruchtgummis,"€ 0,75",,1 kg = 5.00,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_278.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
WEIDEGLÜCK,Fruchtjoghurt,"€ 1,99",2.99,1 kg = 1.99 - 2.49,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_119.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_ultra_processed"
BEBIVITA,Fruchtpüree-Quetschbeutel,"€ 2,22",2.65,1 kg = 6.17,"ab dem 5. oder 12. Monat, versch. Sorten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_333.jpg,"cat_drogerie,tag_ultra_processed"
VALENSINA,Fruchtsaft,"€ 1,49",2.49,1 l = 1.49 - 2.13,versch. Sorten (+ 0.25 Pfand),Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_295.jpg,cat_getraenke
SANPELLEGRINO,Fruchtsaftgetränk,"€ 0,89",1.39,1 l = 2.70,"aus Italien, mit Kohlensäure, versch. Sorten (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_289.jpg,"cat_getraenke,diet_vegetarian,tag_ultra_processed"
ESCAL,Frutti di Mare Classic,"€ 4,99",6.65,1 kg = 11.09,"edle Meeresfrüchte-Mischung, vorgekocht",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_177.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed"
