Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Crema E Aroma,Lavazza,"€ 13,99",Kein vorheriger Preis,"€ 13,99 / kg -","ganze Kaffeebohnen, versch. Sorten 1 kg",Nein,04.10. - 04.10.,2025-10-04,2025-10-04
Bio-Weizenbrötchen,BioBio,"€ 1,00",Kein vorheriger Preis,"€ 0,33 / kg -","3 Stück, Einzelpreis: 0.49",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Original Jamón Serrano,Las Cuarenta,"€ 3,00",Kein vorheriger Preis,"€ 15,00 / kg -","11 Monate gereift, mit Meersalz 2 x 100 g, Einzelpreis: 1.89",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Trinkflasche,Sigg,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
XXL Götter Speise,Dr. Oetker,"€ 3,00",Kein vorheriger Preis,"€ 3,00 / kg -","gekühlt versch. Sorten 2 x 500 g, Einzelpreis: 1.69",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Damen Softshelljacke,Spirit of Colours,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",Details im Prospekt,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Weichkäse,Géramont,"€ 5,00",Kein vorheriger Preis,"€ 33,33 / kg -","gekühlt, versch. Sorten 2 x 150 – 200 g Einzelpreis: 3.49",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Activia Fruchtmix XXL,Danone,"€ 3,00",Kein vorheriger Preis,"€ 3,26 / kg -","gekühlt, versch. Sorten 8 x 115 g",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Fischstäbchen XXL,Seagold,"€ 5,00",Kein vorheriger Preis,"€ 5,56 / kg -","900 g, tiefgekühlt, 30 Stück",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Gouda XXL,Der Käsemeister,"€ 3,49",Kein vorheriger Preis,"€ 6,98 / kg -","500 g, gekühlt, gerieben, versch. Sorten",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Weine,Le Sweet Filou,"€ 20,00",Kein vorheriger Preis,"€ 3,33 / l -",6 x 1 l versch. Sorten,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Damen Thermounterwäsche-Set,Spirit of Colours,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -",Details im Prospekt,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Thermo-Sitzkissen,Keine Marke,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",Details im Prospekt,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Original Irish Cream Likör,Baileys,"€ 12,99",Kein vorheriger Preis,"€ 18,56 / l -","HINWEIS: MIT PAYBACK 8.99 € 0,7 l Likör, 17% Vol",Nein,02.10. - 02.10.,2025-10-02,2025-10-02
Cerealien,Nestlé,"€ 5,00",Kein vorheriger Preis,"€ 12,50 / kg -","versch. Sorten, 2 x 200 – 480 g Einzelpreis: 3.79 – 3.99",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Duplo,Ferrero,"€ 4,00",Kein vorheriger Preis,"€ 10,99 / kg -",2 x 182 g versch. Sorten,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Zwiebeln,Heimat,"€ 2,00",Kein vorheriger Preis,"€ 0,67 / kg -","Deutschland, Kl. II 3 kg Sack",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Transportabler Stall,Keine Marke,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",Details im Prospekt,Nein,02.10. - 02.10.,2025-10-02,2025-10-02
Krapfen,Netto Backstube,"€ 2,00",Kein vorheriger Preis,"€ 4,76 / kg -","versch. Sorten 420 g, 6 Stück",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Coffee Balls,CoffeeB,"€ 10,00",Kein vorheriger Preis,"€ 49,02 / kg -",4 x 51 g versch. Sorten,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Hefe-Weißbier Naturtrüb,Paulaner,"€ 12,99",Kein vorheriger Preis,"€ 1,30 / l -","oder Zitrone Alkoholfrei 0,0% 20 x 0,5 Liter Kiste zzgl. Pfand 3.10",Nein,04.10. - 04.10.,2025-10-04,2025-10-04
Würstchen Dog,Netto Backstube,"€ 2,00",Kein vorheriger Preis,"€ 1,00 / Stk -","2 Stück, Einzelpreis: 1.29",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Filterkaffee,Eduscho,"€ 3,99",Kein vorheriger Preis,"€ 14,25 / kg -",versch. Sorten 208 g 3.99 Eduscho Caffe Crema mild 1 kg 13.99 Eduscho Filterkaffee Klassisch oder ...,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Himbeeren,Driscoll's,"€ 1,99",Kein vorheriger Preis,"€ 15,92 / kg -","125 g Marokko/Portugal, Kl. I",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Mozzarella Kugel XXL,Mondo Italiano,"€ 3,00",Kein vorheriger Preis,"€ 6,00 / kg -","gekühlt 2 x 250 g, Einzelpreis: 1.70",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Toilettenpapier,Favora,"€ 6,99",Kein vorheriger Preis,"€ 0,35 / Stk -",3-lagig 20 x 200 Blatt,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Franken Silvanerdurst,Keine Marke,"€ 4,99",Kein vorheriger Preis,"€ 6,65 / l -","0,75 Liter",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Cola,Coca-Cola,"€ 1,11",Kein vorheriger Preis,"€ 0,89 / l -","HINWEIS: MIT NETTO APP 0.99 € 1,25 l teilw. koffeinhaltig, versch. Sorten zzgl. Pfand 0.25",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Mineralwasser,Brandenburger Quell,"€ 4,49",Kein vorheriger Preis,"€ 0,53 / l -","Original oder Medium 12 x 0,7 / 12 x 0,75 Liter Kiste zzgl. Pfand 3.30",Nein,01.10. - 04.10.,2025-10-01,2025-10-04
Damen Trekkinghose,Spirit of Colours,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",Details im Prospekt,Nein,01.10. - 04.10.,2025-10-01,2025-10-04
