Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
PARKSIDE,Transporthilfe,"€ 24,99",,Kein Mengenpreis,Zum sicheren Transport von schweren Gegenständen Mit Tragegriff und klappbarem Ziehgriff Einsetzbar auf robusten Böden Auflagefläche ca. 70 x 37 cm Mit Anti-Rutsch-Oberfläche Belastbarkeit max. 250 kg 4 Rollen (2 davon feststellbar) 3 Jahre Garantie,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_365.jpg,cat_non_food
K-FAVOURITES,Trauben-Direktsaft,"€ 1,19",1.49,Kein Mengenpreis,100 % Direktsaft,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_280.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Keine Marke,Tulpe,"€ 2,79",,Kein Mengenpreis,"3er-Tuff, versch. Farben, Topf Ø 10.5 cm",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_077.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food"
Keine Marke,Tulpenstrauß,"€ 5,99",,Kein Mengenpreis,"XL, versch. Farben, ohne Vase",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_091.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food"
Keine Marke,Türk Aprikosen getrocknet,"€ 2,49",3.49,1 kg = 12.45,,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_860.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food"
SAF DOGA,Türk Olivenöl,"€ 5,99",7.99,1 l = 11.98,extra nativ,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_214.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
FRISIA,Ufonauten,"€ 1,49",1.99,1 kg = 19.11 - 21.29,"bunte, süß-sauer prickelnde Brause-Ufos, versch. Sorten",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_269.jpg,"cat_knabbern_naschen,diet_vegetarian"
JULISKA,Ungar Salami,"€ 3,99",4.99,1 kg = 10.64,mit charakteristischem Edelschimmel,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_123.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed"
COUNTRYSIDE,Universal-Blumenerde,"€ 2,99",3.99,1 l = 0.08,Für Grün- und Blühpflanzen innen und außen Gebrauchsfertig aufgedüngtes Kultursubstrat Gute Wasseraufnahme Hohe Wasserspeicherkraft 100 % torffrei,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_491.jpg,cat_non_food
PARKSIDE,Universal-Schere,"€ 1,99",4.99,Kein Mengenpreis,"Schneidklinge aus Edelstahl Gummierte, rutschsichere Komfortgriffe Öffnungsweite einstellbar Einhand-Sicherheitsverschluss Mit Handschlaufe Für Schneidgut bis Ø 6 mm Ideal für Haushalt und Garten 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_498.jpg,cat_non_food
