Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Franken Qualitätswein,"€ 2,99","1 l = 2,99 €","aus Franken, verschiedene Sorten Ausgenommen Fränkischer Hausschoppen weiß und rot., 1 Liter Flasche, (1 l = 2,99 €)",2026-01-26,2026-01-31,images_edeka/franken-qualit-tswein.jpg
Captain Morgan Rum,"€ 9,99","1 l = 14,27 €","verschiedene Sorten, 0,00-40 % Vol. Je nach Verfügbarkeit des Marktes., 0,7 Liter Flasche, (1 l = 14,27 €)",2026-01-26,2026-01-31,images_edeka/captain-morgan-rum.jpg
Sechsämter Likör,"€ 7,99","1 l = 11,41 €","verschiedene Sorten, 21-33 % Vol., 0,7 Liter Flasche, (1 l = 11,41 €)",2026-01-26,2026-01-31,images_edeka/sechs-mter-lik-r.jpg
Alkoholisches Mischgetränk Jack Daniel s,"€ 1,85","1 l = 5,61 €","verschiedene Sorten, 10 % Vol., 0,33 Liter Dose + 0,25 Pfand, (1 l = 5,61 €)",2026-01-26,2026-01-31,images_edeka/alkoholisches-mischgetr-nk-jack-daniel-s.jpg
Ballantine s Finest Blended Scotch Whisky,"€ 10,99","1 l = 15,70 €","40 % Vol., 0,7 Liter Flasche, (1 l = 15,70 €)",2026-01-26,2026-01-31,images_edeka/ballantine-s-finest-blended-scotch-whisky.jpg
Novantaceppi Rosso Puglia Appassimento Primitivo Puglia Bio Rosato IGT Pinot oder Grigio,"€ 4,99","1 l = 6,65 €","aus Italien, 0,75 Liter Flasche, (1 l = 6,65 €)",2026-01-26,2026-01-31,images_edeka/novantaceppi-rosso-puglia-appassimento-primitivo-puglia-bio-rosato-igt-pinot-oder-grigio.jpg
Käfer Cocktail,"€ 2,29","1 l = 3,05 €","verschiedene Sorten, Hugo Alkoholfrei oder Wild Berry Je nach Verfügbarkeit des Marktes., 0,75 Liter Flasche, (1 l = 3,05 €)",2026-01-26,2026-01-31,images_edeka/k-fer-cocktail.jpg
Volvic Tee oder Touch,"€ 1,19","1 l = 0,79 €","verschiedene Sorten, 1,5 Liter Flasche + 0,25 Pfand, (1 l = 0,79 €)",2026-01-26,2026-01-31,images_edeka/volvic-tee-oder-touch.jpg
albi Saft oder Nektar,"€ 1,29","1 l = 1,72 €","verschiedene Sorten, 0,75 Liter Flasche + 0,25 Pfand, (1 l = 1,72 €)",2026-01-26,2026-01-31,images_edeka/albi-saft-oder-nektar.jpg
Active O,"€ 0,99","1 l = 1,32 €","verschiedene Sorten, 0,75 Liter Flasche + 0,25 Pfand, (1 l = 1,32 €)",2026-01-26,2026-01-31,images_edeka/active-o.jpg
Coca-Cola,"€ 1,49","1 l = 0,75 €","verschiedene Sorten, Mezzo Mix*, Fanta oder Sprite *koffeinhaltige Limonade, 2 Liter Flasche + 0,25 Pfand, (1 l = 0,75 €)",2026-01-26,2026-01-31,images_edeka/coca-cola.jpg
effect Energy Drink,"€ 0,69","1 l = 2,09 €","verschiedene Sorten, 0,33 Liter Dose + 0,25 Pfand, (1 l = 2,09 €)",2026-01-26,2026-01-31,images_edeka/effect-energy-drink.jpg
The real cola oder Limonade,"€ 0,49","1 l = 1,48 €","verschiedene Sorten *koffeinhaltige Limonade., 0,33 Liter Dose + 0,25 Pfand, (1 l = 1,48 €)",2026-01-26,2026-01-31,images_edeka/the-real-cola-oder-limonade.jpg
Beck s Bier,"€ 3,99","1 l = 2,02 €","verschiedene Sorten, 6 x 0,33 Liter Packung + 0,48 Pfand, (1 l = 2,02 €)",2026-01-26,2026-01-31,images_edeka/beck-s-bier.jpg
Paulaner Weißbier,"€ 13,99","1 l = 1,40 €","verschiedene Sorten, 20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,40 €)",2026-01-26,2026-01-31,images_edeka/paulaner-wei-bier.jpg
EKU Bier,"€ 10,99","1 l = 1,10 €","verschiedene Sorten, 20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,10 €)",2026-01-26,2026-01-31,images_edeka/eku-bier.jpg
Ratskrone Bier,"€ 6,99","1 l = 0,70 €","verschiedene Sorten, 20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 0,70 €)",2026-01-26,2026-01-31,images_edeka/ratskrone-bier.jpg
Budweiser Budvar Original Czech Imported Lager,"€ 13,99","1 l = 1,40 €","20 x 0,5 Liter Kasten + 3,10 Pfand, (1 l = 1,40 €)",2026-01-26,2026-01-31,images_edeka/budweiser-budvar-original-czech-imported-lager.jpg
Unbekannt 149,"€ ,00",Kein Mengenpreis,,2026-01-26,2026-01-31,
Ritter Sport Bunte Vielfalt Schokolade,"€ 1,29","1 kg = 12,90 €","verschiedene Sorten, 100 g Tafel, (1 kg = 12,90 €)",2026-01-26,2026-01-31,images_edeka/ritter-sport-bunte-vielfalt-schokolade.jpg
Haribo Fruchtgummi,"€ 0,99",Kein Mengenpreis,verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/haribo-fruchtgummi.jpg
Pringles,"€ 1,99","1 kg = 12,06 €","verschiedene Sorten, 165 g Dose, (1 kg = 12,06 €)",2026-01-26,2026-01-31,images_edeka/pringles.jpg
funny-frisch Chitos Cornados,"€ 1,29",Kein Mengenpreis,"verschiedene Sorten, Jumpys, Ringli, Zwiebli Ringe, Paprika Ecken oder Frit-Sticks",2026-01-26,2026-01-31,images_edeka/funny-frisch-chitos-cornados.jpg
Ferrero duplo,"€ 2,49","1 kg = 13,68 €","verschiedene Sorten, 10er, 182 g Packung, (1 kg = 13,68 €)",2026-01-26,2026-01-31,images_edeka/ferrero-duplo.jpg
kinder Riegel,"€ 2,49","1 kg = 11,86 €","10er, 210 g Packung, (1 kg = 11,86 €)",2026-01-26,2026-01-31,images_edeka/kinder-riegel.jpg
Ferrero hanuta,"€ 2,49","1 kg = 11,32 €","10er, 220 g Packung, (1 kg = 11,32 €)",2026-01-26,2026-01-31,images_edeka/ferrero-hanuta.jpg
Pick Up,"€ 2,29",Kein Mengenpreis,5er oder minis verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/pick-up.jpg
Milka Kekse oder Kleinkuchen,"€ 1,99",Kein Mengenpreis,verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/milka-kekse-oder-kleinkuchen.jpg
Nestl Smarties Riesenrolle,"€ 1,79",Kein Mengenpreis,verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/nestl-smarties-riesenrolle.jpg
Celebrations,"€ 2,99","1 kg = 16,08 €","186 g Packung, (1 kg = 16,08 €)",2026-01-26,2026-01-31,images_edeka/celebrations.jpg
funny-frisch Linsen Chips,"€ 1,49","1 kg = 18,63/16,56 €","vegetarisch oder Popchips verschiedene Sorten, 80/90 g Packung, (1 kg = 18,63/16,56 €)",2026-01-26,2026-01-31,images_edeka/funny-frisch-linsen-chips.jpg
Ricola Schweizer Kräuterbonbon,"€ 1,79","1 kg = 23,87 €","ohne Zucker, verschiedene Sorten, 75 g Packung, (1 kg = 23,87 €)",2026-01-26,2026-01-31,images_edeka/ricola-schweizer-kr-uterbonbon.jpg
Lays Kartoffelchips,"€ 1,19","1 kg = 7,93 €","verschiedene Sorten, 150 g Packung, (1 kg = 7,93 €)",2026-01-26,2026-01-31,images_edeka/lays-kartoffelchips.jpg
Milka Tafelschokolade Extra,"€ 2,39","1 kg = 12,58 €","verschiedene Sorten, 190 g Tafel, (1 kg = 12,58 €)",2026-01-26,2026-01-31,images_edeka/milka-tafelschokolade-extra.jpg
Unbekannt 165,"€ ,00",Kein Mengenpreis,,2026-01-26,2026-01-31,
Guhl Shampoo oder Spülung,"€ 3,29",Kein Mengenpreis,verschiedene Sorten Ausgenommen Kraft & Fülle.,2026-01-26,2026-01-31,images_edeka/guhl-shampoo-oder-sp-lung.jpg
Weißer Riese oder Spee Vollwaschmittel,"€ 3,79",Kein Mengenpreis,verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/wei-er-riese-oder-spee-vollwaschmittel.jpg
Tempo Taschentücher,"€ 2,99",Kein Mengenpreis,"verschiedene Sorten, 24 x 9-30 x 10er Packung/Duo-Box",2026-01-26,2026-01-31,images_edeka/tempo-taschent-cher.jpg
Axe Deodorant Bodyspray,"€ 3,49","1 l = 23,27 €","verschiedene Sorten Ausgenommen Premium., 150 ml Dose, (1 l = 23,27 €)",2026-01-26,2026-01-31,images_edeka/axe-deodorant-bodyspray.jpg
Axe Duschgel,"€ 2,49","1 l = 9,96 €","verschiedene Sorten, 250 ml Flasche, (1 l = 9,96 €)",2026-01-26,2026-01-31,images_edeka/axe-duschgel.jpg
Pril Geschirrspülmittel,"€ 1,39",Kein Mengenpreis,verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/pril-geschirrsp-lmittel.jpg
Vernel Weichspüler,"€ 1,49",Kein Mengenpreis,verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/vernel-weichsp-ler.jpg
Drano Rohrfrei Gel,"€ 2,99",Kein Mengenpreis,verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/drano-rohrfrei-gel.jpg
Nivea Haarspray oder Schaumfestiger,"€ 2,99",Kein Mengenpreis,verschiedene Sorten,2026-01-26,2026-01-31,images_edeka/nivea-haarspray-oder-schaumfestiger.jpg
Zewa bewährt Toilettenpapier,"€ 2,99",Kein Mengenpreis,"verschiedene Sorten, 3-lagig Je nach Verfügbarkeit des Marktes., 8 x 150 Blatt Packung",2026-01-26,2026-01-31,images_edeka/zewa-bew-hrt-toilettenpapier.jpg
Unbekannt 176,"€ ,00",Kein Mengenpreis,,2026-01-26,2026-01-31,
Purina felix Katzennahrung,"€ 3,99",Kein Mengenpreis,"verschiedene Sorten, 10/12er",2026-01-26,2026-01-31,images_edeka/purina-felix-katzennahrung.jpg
Zwiebelbrot,"€ 1,99","1 kg = 2,52 €","Abbildung ähnlich., 750 g Laib, (1 kg = 2,52 €)",2026-01-26,2026-01-31,images_edeka/zwiebelbrot.jpg
Kartoffelbrötchen,"€ 0,35",Kein Mengenpreis,"dunkel oder hell Abbildung ähnlich., Stück",2026-01-26,2026-01-31,images_edeka/kartoffelbr-tchen.jpg
Laugenstange,"€ 0,45",Kein Mengenpreis,"mit Käse Abbildung ähnlich., Stück",2026-01-26,2026-01-31,images_edeka/laugenstange.jpg
Pizza,"€ 0,69",Kein Mengenpreis,"verschiedene Sorten Abbildung ähnlich., Stück",2026-01-26,2026-01-31,images_edeka/pizza.jpg
Apfeltasche,"€ 0,45",Kein Mengenpreis,"Abbildung ähnlich., Stück",2026-01-26,2026-01-31,images_edeka/apfeltasche.jpg
