Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Tante Fanny Frischer Blech Pizzateig,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 4,48 €","backfertig auf Backpapier, 400 g Packung, (1 kg = 4,48 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/tante-fanny-frischer-blech-pizzateig.jpg
Boboli Focaccia,Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,verschiedene Sorten,Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/boboli-focaccia.jpg
EDEKA Herzstücke Dips,Keine Marke,"€ 1,79",Kein vorheriger Preis,Kein Mengenpreis,verschiedene Sorten Ausgenommen EDEKA Herzstücke Hummus 175/200 g.,Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/edeka-herzst-cke-dips.jpg
Dermaris Mini Brötchen,Keine Marke,"€ 1,39",Kein vorheriger Preis,"1 kg = 5,56 €","verschiedene Sorten, zum Fertigbacken Nur solange der Vorrat reicht., 250 g Packung, (1 kg = 5,56 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/dermaris-mini-br-tchen.jpg
Knack Back Sonntags- Mehrkorn -Brötchen oder Croissants,Keine Marke,"€ 1,69",Kein vorheriger Preis,Kein Mengenpreis,"6/8er, vegan *Je nach Verfügbarkeit des Marktes.",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/knack-back-sonntags-mehrkorn-br-tchen-oder-croissants.jpg
Gut Günstig Berliner,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 4,42 €","mit Vierfrucht-Konfitüre Extra, 6er, 450 g Packung, (1 kg = 4,42 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/gut-g-nstig-berliner.jpg
EDEKA Herzstücke Dips,Keine Marke,"€ 1,79",Kein vorheriger Preis,Kein Mengenpreis,verschiedene Sorten Ausgenommen EDEKA Herzstücke Hummus 175/200 g.,Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/edeka-herzst-cke-dips.jpg
EDEKA Herzstücke Mini Brioch Buns,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 8,95 €","200 g Packung, (1 kg = 8,95 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/edeka-herzst-cke-mini-brioch-buns.jpg
Gemüsemix,Keine Marke,"€ 1,19",Kein vorheriger Preis,Kein Mengenpreis,"in Aspik, 100 g",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/gem-semix.jpg
Champignon-Köpfe,Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,"gefüllt mit Frischkäsezubereitung, 100 g",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/champignon-k-pfe.jpg
