Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Gueltig_raw,Gueltig_von,Gueltig_bis
Tattoo-Kerzen,Home Creation,"€ 2,99",Kein vorheriger Preis,"€ 1,50 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Feine Pastete Hundenassfutter,Romeo,"€ 0,69",Kein vorheriger Preis,"€ 2,30 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Bio-Getreide-Pops,Mamia Bio,"€ 0,99",Kein vorheriger Preis,"€ 49,50 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Milch-Jumbo-Riegel,Choceur,"€ 1,69",Kein vorheriger Preis,"€ 11,27 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Spannbetttuch,Novitesse,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Vitalsnack Dental Sticks,Romeo,"€ 0,59",Kein vorheriger Preis,"€ 3,28 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Piccolinis Wednesday Bloody Margherita,Original Wagner,"€ 1,79","€ 3,49","€ 7,46 / kg -",10.10. - 11.10.,2025-10-10,2025-10-11
Strudel,Meine Kuchenwelt,"€ 2,29",Kein vorheriger Preis,"€ 5,72 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Zimmerpflanze,Gardenline,"€ 1,99",Kein vorheriger Preis,"€ 1,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Brioche Hot-Dog-Buns,American,"€ 1,89",Kein vorheriger Preis,"€ 7,00 / kg -",17.10. - 18.10.,2025-10-17,2025-10-18
O'Grady original Irische Butter,Milsani,"€ 2,25","€ 2,69",,15.09. - 20.09.,2025-09-15,2025-09-20
Halloween-Dekoration,Jes Collection,"€ 1,00",Kein vorheriger Preis,"€ 1,00 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Mini Käse Original Halloween Promotion,Babybel,"€ 3,99","€ 6,99","€ 13,30 / kg -",10.10. - 11.10.,2025-10-10,2025-10-11
