Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
3M,Maler-Kreppband-Set,"€ 3,49",,1 m = 0.03,"Für Abdeckarbeiten im Innenbereich Von Hand abreißbar Größen ca. 19, 38 und 50 mm x 50 m",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_446.jpg,cat_non_food,,ref_000272,obs_0000008008|obs_0000012562|obs_0000018980|obs_0000023208|obs_0000019799,obs_0000023817
K-BLUE BAY,Marinierte Garnelen,"€ 2,99",3.99,1 kg = 14.95,"geschält und blanchiert, in Knoblauch-Kräuter-Marinade, aufgetaut",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_134.jpg,"cat_fisch_meeresfruechte,diet_lactose_free",,ref_000273,obs_0000008600|obs_0000001969|obs_0000000056|obs_0000003853|obs_0000001313|obs_0000004280|obs_0000003288|obs_0000003417|obs_0000004707|obs_0000000369,obs_0000008600|obs_0000001969|obs_0000000056
GÜNTHART,Marzipan-Rübli,"€ 1,69",2.89,1 kg = 42.25,"zum kreativen Dekorieren von Kuchen, Muffins und Desserts",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_236.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,ref_000274,,
K-CLASSIC,Mascarpone,"€ 2,99",3.58,1 kg = 5.98) / (1 kg = 5.38)**,83 % Fett i. Tr.,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_162.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegetarian,sub_kaese,sub_milchprodukte,sub_sahne_creme,tag_ultra_processed",,ref_000275,obs_0000010925|obs_0000016564|obs_0000022755|obs_0000008451|obs_0000020925|obs_0000000537|obs_0000021148|obs_0000023265|obs_0000022333|obs_0000029934|obs_0000028595|obs_0000026994,obs_0000016564|obs_0000022755|obs_0000008451|obs_0000020925|obs_0000000537|obs_0000021148|obs_0000010925|obs_0000023265|obs_0000022333
THOMY,Mayonnaise oder Remoulade,"€ 1,79",2.29,1 l = 8.95,mit Freilandeiern,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_191.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,ref_000276,obs_0000010513|obs_0000006447|obs_0000027144|obs_0000014369|obs_0000023621|obs_0000001549|obs_0000014182|obs_0000010119|obs_0000010120,obs_0000010513
RESIDENZ,Mineralwasser,"€ 4,99",6.99,1 l = 0.42,versch. Sorten (+ 3.30 Pfand),Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_317.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000277,obs_0000011415|obs_0000026664|obs_0000026154|obs_0000008247|obs_0000012857|obs_0000029261|obs_0000011860|obs_0000008799|obs_0000008287|obs_0000014433|obs_0000026730|obs_0000032348|obs_0000024697|obs_0000023689|obs_0000029331|obs_0000029335|obs_0000026781|obs_0000031901|obs_0000025780|obs_0000014006|obs_0000007883|obs_0000009431|obs_0000009965|obs_0000019710|obs_0000024332|obs_0000031507|obs_0000031508|obs_0000007983|obs_0000026927|obs_0000010569|obs_0000026968|obs_0000013150|obs_0000025963|obs_0000025983|obs_0000003475|obs_0000027058|obs_0000018891|obs_0000031699|obs_0000031702|obs_0000027095|obs_0000025075|obs_0000026620|obs_0000027141|obs_0000022613|obs_0000027760|obs_0000029298|obs_0000028811|obs_0000007326|obs_0000006336|obs_0000017600,obs_0000026664|obs_0000026154|obs_0000008247|obs_0000012857|obs_0000029261|obs_0000011860|obs_0000008799|obs_0000008287|obs_0000014433|obs_0000026730|obs_0000032348|obs_0000024697|obs_0000023689|obs_0000029331|obs_0000011415|obs_0000029335|obs_0000026781|obs_0000031901|obs_0000025780|obs_0000014006|obs_0000007883|obs_0000009431|obs_0000009965|obs_0000019710|obs_0000024332|obs_0000031507|obs_0000031508|obs_0000007983|obs_0000026927|obs_0000010569|obs_0000026968|obs_0000013150|obs_0000025963|obs_0000025983|obs_0000003475|obs_0000027058|obs_0000018891|obs_0000031699|obs_0000031702|obs_0000027095|obs_0000025075|obs_0000026620
POPPIES,Mini-Donuts oder -Eclairs,"€ 2,00",,1 kg = 7.25 - 10.87,Donut-Mischung gefüllt oder ungefüllt oder Eclairs mit Vanillecreme-Füllung,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_177.jpg,"cat_tiefkuehl,tag_ultra_processed",,ref_000278,obs_0000011783|obs_0000014348|obs_0000009714|obs_0000007745|obs_0000027063|obs_0000022530|obs_0000022951|obs_0000016653|obs_0000025041|obs_0000010378|obs_0000011774|obs_0000013975|obs_0000014741|obs_0000024151|obs_0000016055,obs_0000011783|obs_0000014348
LINDT,Mini-Pralin s,"€ 4,99",,1 kg = 49.90) / (1 kg = 44.40)**,"Mischung aus 20 kleinen Köstlichkeiten, versch. Designs",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_273.jpg,"cat_knabbern_naschen,tag_ultra_processed",,ref_000279,obs_0000010560|obs_0000009049|obs_0000009500|obs_0000011835|obs_0000012306|obs_0000014421|obs_0000011212|obs_0000031861|obs_0000010378|obs_0000016653|obs_0000014741|obs_0000031858|obs_0000011774|obs_0000024151|obs_0000016055,obs_0000010560|obs_0000009049|obs_0000009500|obs_0000011835
BESTRON,Mini-Waffeleisen Osterei,"€ 7,99",UVP 14.99,Kein Mengenpreis,"Für Brüssler Waffeln mit Osterei-Motiv Hitzebeständiges Gehäuse Antihaftbeschichtete Platten (ca. Ø 11,5 cm) Betriebs- und Bereitschaftsanzeige Mit wärmeisoliertem Griff und Antirutschfüßen Platzsparende, senkrechte Aufbewahrung 550 W",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_431.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,ref_000280,obs_0000030781|obs_0000010378|obs_0000002278|obs_0000016653|obs_0000004375|obs_0000031009|obs_0000014741|obs_0000004802|obs_0000003146|obs_0000011774|obs_0000024151|obs_0000016055|obs_0000003948|obs_0000024529,
BESTRON,Mini-Waffeleisen Osterhase,"€ 7,99",UVP 14.99,Kein Mengenpreis,"Für Brüssler Waffeln mit Osterhasen-Motiv Hitzebeständiges Gehäuse Antihaftbeschichtete Platten (ca. Ø 11,5 cm) Betriebs- und Bereitschaftsanzeige Mit wärmeisoliertem Griff und Antirutschfüßen Platzsparende, senkrechte Aufbewahrung 550 W",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_430.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,ref_000281,obs_0000030781|obs_0000010378|obs_0000002278|obs_0000016653|obs_0000004375|obs_0000031009|obs_0000014741|obs_0000004802|obs_0000003146|obs_0000011774|obs_0000024151|obs_0000016055|obs_0000003948|obs_0000024529,
FERDI FUCHS,Mini-Würstchen,"€ 1,00",1.69,1 kg = 7.70 - 20.84,versch. Sorten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_120.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed",BLS-W211200,ref_000282,obs_0000012519|obs_0000013376|obs_0000021814|obs_0000023971|obs_0000016625|obs_0000023829|obs_0000015853|obs_0000010378|obs_0000016653|obs_0000014741|obs_0000008815|obs_0000029420|obs_0000009003|obs_0000005027|obs_0000027983|obs_0000028038|obs_0000011774|obs_0000024151|obs_0000016055|obs_0000028252,obs_0000012519|obs_0000005027|obs_0000013376|obs_0000021814|obs_0000023971
KNOPPERS,Minis,"€ 2,00",,1 kg = 10.00,Original,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_280.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,ref_000283,obs_0000011840|obs_0000021517|obs_0000021052|obs_0000018005|obs_0000014426|obs_0000018066|obs_0000023754|obs_0000010531|obs_0000023927|obs_0000014716|obs_0000018951|obs_0000001545|obs_0000009744|obs_0000004636|obs_0000025653|obs_0000016446|obs_0000013386|obs_0000031843|obs_0000020586|obs_0000025199|obs_0000004209|obs_0000019082|obs_0000004751|obs_0000011408|obs_0000032378|obs_0000001186|obs_0000001189|obs_0000025779|obs_0000003782|obs_0000005833|obs_0000025808|obs_0000006369|obs_0000004324|obs_0000004846|obs_0000030473|obs_0000013079|obs_0000003353|obs_0000031017|obs_0000023338|obs_0000003897|obs_0000019770|obs_0000004419|obs_0000000326|obs_0000032077|obs_0000016236|obs_0000012664|obs_0000021387|obs_0000000402|obs_0000003992|obs_0000019901,obs_0000021517|obs_0000021052|obs_0000011840|obs_0000018005|obs_0000014426|obs_0000018066|obs_0000023754|obs_0000010531|obs_0000023927|obs_0000014716
Gegrillte Champignons,mit Frischkäse,"€ 1,59",1.99,Kein Mengenpreis,mit Frischkäse,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_196.jpg,"cat_grundnahrung,sub_kaese,sub_milchprodukte,sub_pilze,tag_ultra_processed",,ref_000284,obs_0000016419|obs_0000016568|obs_0000020674|obs_0000024802|obs_0000018668|obs_0000020775|obs_0000020837|obs_0000022932|obs_0000000519|obs_0000021129|obs_0000002737|obs_0000017161|obs_0000017193|obs_0000009042|obs_0000023386|obs_0000019487|obs_0000015471|obs_0000003267|obs_0000009494|obs_0000026020|obs_0000017887|obs_0000016007|obs_0000016038|obs_0000026429|obs_0000018246|obs_0000022511|obs_0000028318,
Lammkeule,mit Knochen,"€ 18,90",21.90,Kein Mengenpreis,"mit Knochen, Fleischgenuss der Premiumklasse",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_132.jpg,"cat_fleisch_wurst,tag_ultra_processed",,ref_000285,obs_0000013006|obs_0000014278|obs_0000011284,obs_0000013006
KINDER,Mix Große Mischung,"€ 4,99",6.49,1 kg = 24.83,mit versch. Schokoladenspezialitäten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_298.jpg,"cat_knabbern_naschen,tag_ultra_processed",,ref_000286,obs_0000013994|obs_0000017502,
UHU,Montagekleber POLY MAX transparent,"€ 4,99",,1 kg = 43.40,"Zum Kleben, Montieren und Dichten Für fast alle Materialien und Oberflächen Anwendbar im Innen- und Außenbereich Sehr hohe Anfangshaftung (schon nach 10 sec) Sehr hohe Endfestigkeit (schon nach 4 h) Wasserfest und witterungsbeständig Temperaturbeständig von -40 bis +100 °C Überstreichbar nach Aushärtung Keine Schrumpfung, spaltüberbrückend Lösemittelfrei, säurefrei, geruchslos",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_456.jpg,"cat_non_food,tag_ultra_processed",,ref_000287,obs_0000012399|obs_0000011121,
UHU,Montagekleber POLY MAX weiß,"€ 5,49",,1 kg = 12.92,"Zum Kleben, Montieren und Dichten Für fast alle Materialien und Oberflächen Anwendbar im Innen- und Außenbereich Sehr hohe Anfangshaftung (schon nach 10 sec) Sehr hohe Endfestigkeit (schon nach 4 h) Wasserfest und witterungsbeständig Temperaturbeständig von -40 bis +100 °C Überstreichbar nach Aushärtung Keine Schrumpfung, spaltüberbrückend Lösemittelfrei, säurefrei, geruchslos",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_463.jpg,"cat_non_food,tag_ultra_processed",,ref_000288,obs_0000012399|obs_0000011121,
ZONIN,Montepulciano d Abruzzo Bardolino o Pinot Grigio DOC,"€ 4,99",,1 l = 6.66,"Italien, z. B. Montepulciano d'Abruzzo: Aroma reifer Beeren, passt zu rotem Fleisch und Geflügel",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_334.jpg,"cat_getraenke,tag_ultra_processed",,ref_000289,obs_0000011029|obs_0000012493|obs_0000014447|obs_0000012771|obs_0000000907|obs_0000031750|obs_0000031504|obs_0000012638|obs_0000021752,obs_0000011029|obs_0000012493|obs_0000014447
MONTORSI,Mortadella 4 Castelli,"€ 2,22",,1 kg = 18.50,"nach traditioneller Rezeptur, mit Speckwürfeln",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_108.jpg,"cat_fleisch_wurst,diet_lactose_free,diet_vegan,diet_vegetarian,sub_schwein,sub_wurst,tag_ultra_processed",,ref_000290,obs_0000009221|obs_0000011730,obs_0000009221|obs_0000011730
GALBANI,Mozzarella di Latte di Bufala,"€ 2,49",3.19,Abtropfgewicht 125 g (1 kg = 19.92,"Weichkäse aus echter Büffelmilch mit zart-cremigem Kern, 52 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_155.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,ref_000291,obs_0000010802|obs_0000026724|obs_0000009863|obs_0000026614|obs_0000015879|obs_0000004658|obs_0000004231|obs_0000021704|obs_0000003804|obs_0000030026|obs_0000000341|obs_0000021010|obs_0000016891|obs_0000014851|obs_0000016955|obs_0000025678|obs_0000031346|obs_0000025740|obs_0000021134|obs_0000016556|obs_0000021727|obs_0000022759|obs_0000010489|obs_0000020766|obs_0000000816|obs_0000022331|obs_0000008523|obs_0000020919,obs_0000010802
HOSTA,Mr Tom,"€ 1,11",1.59,1 kg = 9.25,"Erdnuss-Karamell-Riegel, Original oder Salted Caramel",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_277.jpg,"cat_knabbern_naschen,diet_vegan,diet_vegetarian,sub_nudeln",,ref_000292,obs_0000015297|obs_0000018341|obs_0000008458|obs_0000018331,
PARKSIDE,Multifunktionsspachtel,"€ 2,99",,Kein Mengenpreis,Klinge aus rostfreiem Edelstahl ca. 75 mm 2-Komponenten-Soft-Griff Mit Aufhängeloch 3 Jahre Garantie,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_461.jpg,cat_non_food,,ref_000293,obs_0000011084,obs_0000011084
PARKSIDE,Multifunktionstisch-Set,"€ 39,99",,Kein Mengenpreis,"3 Elemente einzeln und kombiniert verwendbar Stabile Alu-Rahmen-Konstruktion 4-stufig höhenverstellbar ca. 73/80/87/94 cm Platzsparend zusammenklappbar Jeweils mit Tragegriff Vielseitig einsetzbar (Tapezieren, Party etc.) Belastbarkeit pro Tisch max. 35 kg Größe je ca. 100 x 60 cm 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_432.jpg,cat_non_food,,ref_000294,obs_0000021280|obs_0000000548,obs_0000000548|obs_0000021280
PARKSIDE,Multischleifer PMS 220 A1,"€ 19,99",,Kein Mengenpreis,"Zum Schleifen von Holz, Metall und Lack Griff mit rutschhemmender Softgrip-Ausstattung 6-stufig einstellbare Schwingzahl Leerlaufschwingzahl 14.000 - 26.000 min-1 Schleiffläche 100 x 147 mm Schwingkreisdurchmesser 1,4 mm Einfacher Blattwechsel durch Kletthaftung Integrierte Absaugfunktion mit Staubfangbox Anschluss zur externen Staubabsaugung Netzkabel ca. 3 m Nennaufnahme 220 W Inkl. 4 Klett-Schleifblätter und Absaug-Adapter 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_448.jpg,cat_non_food,,ref_000295,,
BESTRON,Multizerkleinerer AKC200CO,"€ 11,99",14.99,Kein Mengenpreis,"Zum Schneiden, Hacken, Pürieren und Mischen Mit großem Impulsschalter 2 Edelstahlmesser Kunststoff-Mixbecher mit Spritzschutzdeckel Fassungsvermögen ca. 500 ml Rutschfester Boden Einzelteile spülmaschinengeeignet 400 W",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_429.jpg,cat_non_food,,ref_000296,obs_0000016669,
KÖLLN,Müsli,"€ 2,29",3.79,1 kg = 3.82 - 5.73,versch. Sorten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_219.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian,tag_whole_food",,ref_000297,obs_0000023326|obs_0000013095|obs_0000019370|obs_0000020189|obs_0000012529|obs_0000009982|obs_0000025355|obs_0000031548|obs_0000002050|obs_0000007436|obs_0000022166|obs_0000017820|obs_0000006825|obs_0000011817|obs_0000020523|obs_0000014642|obs_0000015927|obs_0000003142|obs_0000002247|obs_0000016583|obs_0000025170|obs_0000005717|obs_0000003198|obs_0000009950|obs_0000017251|obs_0000003434|obs_0000006640|obs_0000001429|obs_0000025641|obs_0000026622|obs_0000026732|obs_0000007899|obs_0000026246|obs_0000032258|obs_0000010062|obs_0000008538|obs_0000031472|obs_0000000674|obs_0000027569|obs_0000007422|obs_0000028134|obs_0000027371|obs_0000028185|obs_0000010549|obs_0000006100|obs_0000028133|obs_0000022150|obs_0000029566|obs_0000029870|obs_0000029874,obs_0000025355|obs_0000023326|obs_0000013095|obs_0000019370|obs_0000005717|obs_0000020189|obs_0000012529|obs_0000009982
FILIPPO BERIO,Natives Olivenöl extra,"€ 4,44",6.99,1 l = 13.98) / (1 l = 8.88)**,Classico oder Fruttato,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_194.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000298,obs_0000011797|obs_0000014377|obs_0000000536|obs_0000012829|obs_0000019511|obs_0000000095|obs_0000023170|obs_0000013510|obs_0000019662|obs_0000023758|obs_0000018692|obs_0000010521|obs_0000020844|obs_0000027007|obs_0000018843|obs_0000020465|obs_0000008239|obs_0000003111|obs_0000017475|obs_0000017005|obs_0000001216|obs_0000002281|obs_0000004963|obs_0000026996|obs_0000016773|obs_0000031162|obs_0000027079|obs_0000005151|obs_0000006632|obs_0000027146|obs_0000025722|obs_0000016006|obs_0000029880|obs_0000007876|obs_0000007403|obs_0000007466|obs_0000017308|obs_0000030133|obs_0000024064|obs_0000017778|obs_0000030148|obs_0000010807|obs_0000002622|obs_0000012892|obs_0000011892|obs_0000009355|obs_0000008890|obs_0000014026|obs_0000011039|obs_0000013613,obs_0000011797|obs_0000000536|obs_0000012829|obs_0000014377|obs_0000019511|obs_0000017475|obs_0000000095|obs_0000017005|obs_0000023170|obs_0000013510|obs_0000019662|obs_0000023758|obs_0000018692|obs_0000010521|obs_0000020844|obs_0000027007|obs_0000016773|obs_0000018843|obs_0000027079|obs_0000020465
Keine Marke,Nelken-Sprayrosenstrauß,"€ 5,99",,Kein Mengenpreis,versch. Farben,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_086.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,ref_000299,obs_0000011239|obs_0000012167,obs_0000011239|obs_0000012167
Keine Marke,Niederl Cocktailrispentomaten,"€ 2,49",2.99,1 kg = 4.98,"»Brioso«, Kl. I",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_078.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,ref_000300,obs_0000010830|obs_0000013411|obs_0000000693,obs_0000010830|obs_0000013411
Keine Marke,Niederl belg Rispentomaten lose,"€ 1,79",2.69,Kein Mengenpreis,Kl. I,Nein,Dieses Angebot findest du vom 16.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-16,2026-03-18,images_kaufland/kaufland_offer_782.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,ref_000301,obs_0000013344|obs_0000011681|obs_0000001302|obs_0000007733|obs_0000012522|obs_0000024202|obs_0000025540|obs_0000026054|obs_0000027717|obs_0000000876|obs_0000025266,obs_0000011681|obs_0000013344
Keine Marke,Niederl belg Tafelbirnen,"€ 1,79",1.99,Kein Mengenpreis,"Sorte laut Auszeichnung, Kl. I",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_064.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,ref_000302,obs_0000014195|obs_0000011218|obs_0000013411|obs_0000014260|obs_0000007819|obs_0000008158|obs_0000009930|obs_0000026640|obs_0000026754,obs_0000014195
VLY,No Milk Today Joghurt-Alternative,"€ 1,49",1.99,1 kg = 3.73,"auf Basis von Ackerbohnenprotein, Vanille, Heidelbeere oder Stracciatella, vegan",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_136.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte",,ref_000303,obs_0000007800,obs_0000007800
SAGROTAN,No Touch Nachfüller,"€ 2,59",3.25,1 l = 10.36,versch. Sorten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_386.jpg,cat_drogerie,,ref_000304,obs_0000014053|obs_0000010222|obs_0000001831|obs_0000031034|obs_0000021124|obs_0000019093|obs_0000020286|obs_0000017756|obs_0000019912,obs_0000014053|obs_0000010222
K-BLUE BAY,Norweg Lachsforellenfilet,"€ 13,99",,Kein Mengenpreis,mit Haut,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_133.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,tag_high_protein,tag_proteinreich",,ref_000305,obs_0000010902|obs_0000017411|obs_0000000699,obs_0000010902
K-CLASSIC,Nudeln,"€ 0,59",0.69,1 kg = 1.18,"Spaghetti, Fusilli, Penne Rigate oder Maccaroni, aus Hartweizengrieß, ohne Ei",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_211.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",BLS-C559000,ref_000306,obs_0000013531|obs_0000007521|obs_0000008230|obs_0000012296|obs_0000024622|obs_0000016515|obs_0000018569|obs_0000008433|obs_0000010539|obs_0000002383|obs_0000014960|obs_0000021112|obs_0000010977|obs_0000025369|obs_0000019388|obs_0000009209|obs_0000013370|obs_0000017699|obs_0000001448|obs_0000007624|obs_0000009805|obs_0000013958|obs_0000013962|obs_0000009954|obs_0000009980|obs_0000006443|obs_0000012915|obs_0000019139|obs_0000025293|obs_0000010978|obs_0000031541|obs_0000007230|obs_0000023625|obs_0000011384|obs_0000031876|obs_0000013532|obs_0000019958|obs_0000031663|obs_0000029576|obs_0000029699|obs_0000011386|obs_0000027800|obs_0000030127|obs_0000028463,obs_0000008230|obs_0000013108|obs_0000013531|obs_0000009521|obs_0000007521
K-CLASSIC,Nuss-Frucht-Mix oder Cashew-Cranberry-Mix,"€ 1,69",1.99,1 kg = 8.45,auch als Cashew-Cranberry-Mix,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_239.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000307,obs_0000010548|obs_0000001470|obs_0000002415|obs_0000001231|obs_0000001477|obs_0000001722|obs_0000000720,obs_0000010548
GIMCAT,Nutri Pockets,"€ 0,99",1.29,1 kg = 16.50,"Katzensnacks, mit Katzenminze oder Dental",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_400.jpg,"cat_drogerie,tag_ultra_processed",,ref_000308,,
K-CLASSIC,Nuts Royal,"€ 1,99",2.99,1 kg = 14.95) / (1 kg = 9.95)**,"Edelnuss-Mischung mit Mandeln, Haselnuss-, Cashew- und Walnusskernen",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_240.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000309,obs_0000009581|obs_0000013774|obs_0000010162|obs_0000014944|obs_0000021482|obs_0000015569|obs_0000016857|obs_0000023143|obs_0000017366|obs_0000016039,obs_0000013774|obs_0000010162
MILKA Schoko-Snack,oder OREO Milk-Snack,"€ 1,59",1.99,1 kg = 14.73,Riegel mit leckerer Milchcreme,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_143.jpg,"cat_molkerei_kaese,diet_vegetarian,tag_ultra_processed",,ref_000310,obs_0000017329|obs_0000013349|obs_0000023929|obs_0000016223|obs_0000014218,
