Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Flausch-Lounge-Set,UP2FASHION,"€ 14,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_099.jpg
Socken mit Wolle,UP2FASHION,"€ 2,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_100.jpg
Winter-Accessoires,UP2FASHION,"€ 12,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_101.jpg
Gefütterte Leggings,UP2FASHION,"€ 6,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_102.jpg
Basic-Langarm-Shirts,UP2FASHION,"€ 8,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_103.jpg
Plüsch-Hausschuhe,UP2FASHION,"€ 3,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_104.jpg
Kaschmir-Pullover,UP2FASHION,"€ 39,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_105.jpg
Langarm-Shirt,UP2FASHION,"€ 5,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_106.jpg
Yogamatte,CRANE,"€ 7,49",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_107.jpg
Kurzhantel,CRANE,"€ 6,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_108.jpg
Sportschuhe,CRANE,"€ 12,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_109.jpg
Handwärmer,Handwärmer,"€ 1,49",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_110.jpg
Fitnessband,CRANE,"€ 1,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_111.jpg
Quäse,Loose,"€ 2,29",,"2,99 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_112.jpg
Rustikal,Finn Crisp,"€ 1,49",,7.64,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_113.jpg
Fruchtsnacks,Farmer Naturals,"€ 2,49",,kg-Preis 99.60,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_114.jpg
This-is-not-mlk-Drink,Alpro,"€ 1,49",,"UVP
2,89 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_115.jpg
Kaffeepads,Dallmayr,"€ 1,99",,kg-Preis 17.77 bzw. 16.05,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_116.jpg
