Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Knackwurst,"€ 0,89",Kein Mengenpreis,"zart geräuchert, deftig gewürzt, 100 g",2026-01-12,2026-01-17,images_edeka/knackwurst.jpg
Delikatess Leberwurst,"€ 1,19",Kein Mengenpreis,"fein, im Fettdarm, 100 g",2026-01-12,2026-01-17,images_edeka/delikatess-leberwurst.jpg
Gelb- oder Bierwurst,"€ 0,99",Kein Mengenpreis,100 g,2026-01-12,2026-01-17,images_edeka/gelb-oder-bierwurst.jpg
Zwiebelmettwurst Vesperwürstchen,"€ 1,39",Kein Mengenpreis,"herzhaft deftig, mit kräftiger Zwiebelnote, 100 g",2026-01-12,2026-01-17,images_edeka/zwiebelmettwurst-vesperw-rstchen.jpg
Ochsenmaulsalat,"€ 1,59",Kein Mengenpreis,"Ochsenmaulfleisch in einer herzhaften Kräutervinaigrette mit Zwiebeln, Petersilie und Schnittlauch, 100 g",2026-01-12,2026-01-17,images_edeka/ochsenmaulsalat.jpg
Handl Tyrol Schinkenspeck g g A,"€ 2,59","1 kg = 28,78 €","verschiedene Sorten oder Leichtes Karree Je nach Verfügbarkeit des Marktes., 90 g Packung, (1 kg = 28,78 €)",2026-01-12,2026-01-17,images_edeka/handl-tyrol-schinkenspeck-g-g-a.jpg
EDEKA Bio Hinterkochschinken,"€ 2,49","1 kg = 24,90 €","100 g Packung, (1 kg = 24,90 €)",2026-01-12,2026-01-17,images_edeka/edeka-bio-hinterkochschinken.jpg
Aoste Stickado Longhetti,"€ 1,79",Kein Mengenpreis,verschiedene Sorten oder Duo Brot Je nach Verfügbarkeit des Marktes.,2026-01-12,2026-01-17,images_edeka/aoste-stickado-longhetti.jpg
Schweinesaft- Krustenbraten,"€ 0,75",Kein Mengenpreis,"aus der Schulter, 100 g",2026-01-12,2026-01-17,images_edeka/schweinesaft-krustenbraten.jpg
Gekochte Rippchen,"€ 0,79",Kein Mengenpreis,"geräuchert, ungeräuchert oder Kamm-Rippchen gekocht, 100 g",2026-01-12,2026-01-17,images_edeka/gekochte-rippchen.jpg
Putenschnitzel -brustbraten -steaks oder -gulasch,"€ 1,19",Kein Mengenpreis,100 g,2026-01-12,2026-01-17,images_edeka/putenschnitzel-brustbraten-steaks-oder-gulasch.jpg
Deutsches Suppenfleisch,"€ 1,19",Kein Mengenpreis,"mit Knochen, vom Jungbullen, 100 g",2026-01-12,2026-01-17,images_edeka/deutsches-suppenfleisch.jpg
Schweineschäufele,"€ 0,69",Kein Mengenpreis,"mit Schwarte, 100 g",2026-01-12,2026-01-17,images_edeka/schweinesch-ufele.jpg
Vordereisbein,"€ 0,29",Kein Mengenpreis,"frisch oder mild gepökelt, 100 g",2026-01-12,2026-01-17,images_edeka/vordereisbein.jpg
Bauernschätze Schweinekotelett,"€ 0,99",Kein Mengenpreis,"natur, 100 g",2026-01-12,2026-01-17,images_edeka/bauernsch-tze-schweinekotelett.jpg
Bauernschätze Putenunterkeule oder Putenflügel,"€ 0,69",Kein Mengenpreis,100 g,2026-01-12,2026-01-17,images_edeka/bauernsch-tze-putenunterkeule-oder-putenfl-gel.jpg
Bauernschätze Cordon Bleu,"€ 1,39",Kein Mengenpreis,"aus der Oberschale, natur, 100 g",2026-01-12,2026-01-17,images_edeka/bauernsch-tze-cordon-bleu.jpg
Kohlroulade,"€ 6,99","1 kg = 11,65 €","verschiedene Gewichte, auch in Bedienung erhältlich, z. B. 600 g SB-Packung, (1 kg = 11,65 €)",2026-01-12,2026-01-17,images_edeka/kohlroulade.jpg
Grillbratwurst,"€ 4,79","1 kg = 9,58 €","gebrüht, vom Schwein, 500 g SB-Packung, (1 kg = 9,58 €)",2026-01-12,2026-01-17,images_edeka/grillbratwurst.jpg
