Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Druckerpatrone 305,Hewlett Packard (HP),"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -","Schwarz, Details im Prospekt",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Clip Sesam Sticks,Ülker,"€ 0,99",Kein vorheriger Preis,"€ 4,95 / kg -",oder Pizza-Sticks knuspriges Snackgebäck je 4 x 50-g-Packg.,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Scheuermilch XXXL,Viss,"€ 1,95",Kein vorheriger Preis,"€ 2,60 / l -",Citrus oder Original je 750-ml-Fl.,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Speisekartoffeln,Keine Marke,"€ 2,49",Kein vorheriger Preis,"€ 1,00 / kg -","Dtsch. Speisekartoffeln versch. Kocheigenschaften, Sorten laut Auszeichnung, Qualität I je 2,5-kg-Sa...",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
WC Gel Kraft & Frische XXL,Domestos,"€ 1,85",Kein vorheriger Preis,"€ 1,85 / l -","Ocean oder Lime, gegen Bakterien und Kalkablagerungen je 1-l-Fl.",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Bier,Freiberger,"€ 8,99",Kein vorheriger Preis,"€ 0,90 / l -","oder Radler versch. Sorten, auch alkoholfrei (+ 3.10 Pfand) je Ka. 20 x 0,5-l-Fl.",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Quark Genuss,Exquisa,"€ 1,49",Kein vorheriger Preis,"€ 2,98 / kg -","nur 0,2 % Fett, versch. Sorten je 500-g-Becher",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Chicken Instant Noodles,Indomie,"€ 1,49",Kein vorheriger Preis,"€ 4,26 / kg -","Instant-Nudeln, versch. Sorten je 5 St. = 350 - 375-g-Packg",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Standmixer JB 1050 WH,Braun,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",Details im Prospekt,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
TWS-In-Ear-Kopfhörer TWE-48,Denver,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Taschenbuch,Keine Marke,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",Details im Prospekt,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Soundbar HT-SB100,Sharp,"€ 54,99",Kein vorheriger Preis,"€ 54,99 / Stk -",Details im Prospekt,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Juicy,Volvic,"€ 1,19",Kein vorheriger Preis,"€ 1,19 / l -","mit natürlichem Mineralwasser und Fruchtsaftkonzentrat, versch. Sorten (+ 0.25 Pfand) je 1-l-PET-Fl.",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Lachsfilet XXL,K-Classic,"€ 9,99",Kein vorheriger Preis,"€ 19,98 / kg -","ohne Haut, praktisch grätenfrei je 4 St. = 500-g-Großpackg.",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Knuspertaschen,Dreamies,"€ 2,99",Kein vorheriger Preis,"€ 16,61 / kg -","oder Whiskas Knuspertaschen Katzensnack, versch. Sorten je 120 - 180-g-Packg.",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Weinbrand 7 Sterne,Metaxa,"€ 13,79",Kein vorheriger Preis,"€ 19,70 / l -","griech. Branntweinspezialität, 40 Vol. % je 0,7-l-Fl.",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Kasseler Kotelett,K-Wertschätze,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / kg -","mit Knochen, goldgelb geräuchert je kg",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Schweinehackfleisch,K-Purland,"€ 2,22",Kein vorheriger Preis,"€ 4,44 / kg -",zum Braten je 500-g-Packg.,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Rinderhackfleisch,K-Purland,"€ 4,89",Kein vorheriger Preis,"€ 9,78 / kg -",zum Braten je 500-g-Packg.,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Büble Bier,Allgäuer Brauhaus,"€ 13,59",Kein vorheriger Preis,"€ 1,36 / l -","in der Bügelflasche (+ 4.50 Pfand) je Ka. 20 x 0,5-l-Fl.",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Feines Butter-Schmalz,Meggle,"€ 5,99",Kein vorheriger Preis,"€ 14,98 / kg -","zum Braten, Kochen und Backen je 400-g-Becher",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Trockenfutter,Whiskas,"€ 2,39",Kein vorheriger Preis,"€ 2,99 / kg -",für Katzen versch. Sorten je 800-g-Packg.,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Discreet Hygieneeinlagen,Always,"€ 9,99",Kein vorheriger Preis,"€ 0,21 / Stk -","bei Blasenschwäche, versch. Sorten je 48 - 72-St.-Packg",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Brenndauer,Keine Marke,"€ 0,99",Kein vorheriger Preis,"€ 0,99 / Stk -",Details im Prospekt.,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Taft Haarspray Halt 5,Schwarzkopf,"€ 2,99",Kein vorheriger Preis,"€ 11,96 / l -","oder Schaumfestiger Haarlack, -spray oder Schaumfestiger, versch. Sorten je 150 - 250-ml-Dose",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Dicke Rippe,K-Purland,"€ 5,29",Kein vorheriger Preis,"€ 5,29 / kg -","Brustrippe vom Schwein, für fleischig-saftige Ribs vom Grill oder Smoker je kg",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Frikadellen XXL,K-Classic,"€ 2,99","€ 0,30","€ 4,98 / kg -","verzehrfertig, aus Schweinefleisch je 600-g-Großpackg.",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Kids 3in1 Duschgel,Nivea,"€ 1,49",Kein vorheriger Preis,"€ 5,96 / l -","Shampoo & Spülung mit Apfel- oder Beerenduft, extra mild je 250-ml-Fl.",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Draught irisches Bier,Guinness,"€ 4,99",Kein vorheriger Preis,"€ 2,84 / l -","dunkles Bier aus Gerste und Hopfen mit cremiger Schaumkrone (+ 1.00 Pfand) je Packg. 4 x 0,44-l-Dose",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Wäscheklammern,Keine Marke,"€ 1,49",Kein vorheriger Preis,"€ 1,49 / Stk -",Details im Prospekt,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Salatsieb -Set,Keine Marke,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / Stk -",Details im Prospekt.,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Kaffeelikör,Kahlua,"€ 12,99",Kein vorheriger Preis,"€ 18,56 / l -","Mexik. Kaffeelikör hergestellt aus Zuckerrohrdestillat, feinem ArabicaKaffee und süßer Vanille, 16 V...",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Damen-Socken 10er-Pack,Keine Marke,"€ 5,99",Kein vorheriger Preis,"€ 0,60 / Stk -",Details im Prospekt.,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Flüssigseife,Bevola,"€ 0,88",Kein vorheriger Preis,"€ 0,88 / l -",versch. Sorten je 1-l-Nachfüllbeutel,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Queso Manchego,Don Bernardo,"€ 2,49",Kein vorheriger Preis,"€ 24,90 / kg -","span. Hartkäse aus 100 % Schafsmilch, geschmeidig, pikant, 50 % Fett i. Tr. je 100 g",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Tomato Frito,Heinz,"€ 0,99",Kein vorheriger Preis,"€ 2,83 / kg -","passiert, stückig oder Basilikum je 350 - 390-g-Packg.",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Taschenlampe LCM2A5,Energizer,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / Stk -",Details im Prospekt,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Kräftig-Würzig,Appenzeller Switzerland,"€ 1,99",Kein vorheriger Preis,"€ 19,90 / kg -","schweiz. Schnittkäse aus Rohmilch, 4 - 5 Monate gereift, mit Kräutersulz behandelt, 48 % Fett i. Tr....",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
