Produkt,Marke,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Dorade Royal,K-BLUE BAY,"€ 11,08",12.99,entspr. z. B. für eine 450-g-Packg. 4.99,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_107.jpg
Kabeljauloin,Keine Marke,"€ 2,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_108.jpg
Pangasiusfilet,Keine Marke,"€ 0,99",1.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_109.jpg
Scholle,Keine Marke,"€ 1,79",2.29,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_110.jpg
Smoky-Rauchmatjesfilet,Keine Marke,"€ 1,39",1.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_111.jpg
Greek Style Joghurt,MÖVENPICK,"€ 1,79",2.29,1 kg = 4.48,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_112.jpg
Activia 3 5 Fett,DANONE,"€ 2,89",,1 kg = 3.15,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_113.jpg
High Protein Skyr,EHRMANN,"€ 1,49",1.99,1 kg = 3.32,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_114.jpg
Frucht Knusper,BERCHTESGADENER LAND,"€ 0,59",0.79,1 kg = 3.94,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_115.jpg
Mix-in Joghurt XXL,NESTL,"€ 3,79",,1 kg = 5.27,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_117.jpg
