Produkt,Marke,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Staubmagnet-Nachfülltücher mit Duft,SWIFFER,"€ 4,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_371.jpg
Spülbürste,Keine Marke,"€ 1,11",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_372.jpg
Bodenwischer-Ersatzbezüge,NESPOLI,"€ 2,22",UVP 3.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_373.jpg
Seifenschale,LIV BO,"€ 2,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_375.jpg
Toilettenpapierhalter,LIV BO,"€ 2,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_376.jpg
Haken,LIV BO,"€ 2,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_377.jpg
Behälter,LIV BO,"€ 2,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_378.jpg
Staubmagnet XXL Starterset,SWIFFER,"€ 4,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_379.jpg
Bodenreinigungstücher feucht,SWIFFER,"€ 4,99",UVP 6.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_380.jpg
Starter-Set,SWIFFER,"€ 7,99",UVP 14.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_381.jpg
Bodentücher mit Duft,SWIFFER,"€ 7,99",UVP 14.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_382.jpg
Staubmagnet-Tücher mit Duft,SWIFFER,"€ 7,99",UVP 14.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_383.jpg
Komplett-Set ULTRAMAX,VILEDA,"€ 19,99",UVP 47.29,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_384.jpg
2-in-1-Ersatz-Wischbezug ULTRAMAX,VILEDA,"€ 5,99",UVP 16.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_385.jpg
2-in-1-Ersatz-Wischbezug TURBO,VILEDA,"€ 4,99",UVP 12.39,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_386.jpg
2-in-1-Kehrset,VILEDA,"€ 3,99",UVP 8.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_387.jpg
Sprühwischer 1-2-SPRAYmax,VILEDA,"€ 19,99",UVP 35.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_388.jpg
Ersatz-Wischbezug 1-2-SPRAYmax,VILEDA,"€ 5,99",UVP 17.59,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_389.jpg
Besen DuActiva,VILEDA,"€ 6,99",UVP 16.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_390.jpg
Ersatz-Wischbezug ULTRAMAX Care,VILEDA,"€ 7,99",UVP 16.79,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_391.jpg
Komplett-Set ULTRAMAX TURBO XL,VILEDA,"€ 34,99",UVP 91.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_392.jpg
Lunchbox flach,Keine Marke,"€ 2,22",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_393.jpg
Klarsichtbox,Keine Marke,"€ 1,11",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_394.jpg
Spülschüssel,Keine Marke,"€ 1,11",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_395.jpg
Suppentütenbox,Keine Marke,"€ 1,11",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_396.jpg
Trinkbecher-Set,Keine Marke,"€ 1,11",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_397.jpg
Folienabroller,Keine Marke,"€ 1,11",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_398.jpg
Cerealiendose,Keine Marke,"€ 3,33",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_399.jpg
Lunchbox,Keine Marke,"€ 2,22",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_400.jpg
Cerealiendosen-Set,Keine Marke,"€ 4,44",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_401.jpg
Rührschüssel-Set,Keine Marke,"€ 3,33",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_402.jpg
Küchenorganizer,SPICE SOUL,"€ 2,69",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_403.jpg
Küchenorganizer mit Fächern,SPICE SOUL,"€ 2,69",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_404.jpg
Küchenorganizer mit Griffen,SPICE SOUL,"€ 2,69",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_405.jpg
Mess- Mixbecher,Keine Marke,"€ 2,22",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_406.jpg
Frischhaltedosen-Set,Keine Marke,"€ 2,22",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_407.jpg
Knäckebrotbox,Keine Marke,"€ 2,22",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_408.jpg
Toastbrotbox,Keine Marke,"€ 2,22",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_409.jpg
Vorratsdose 400 ml,CLICK N STORE,"€ 1,29",UVP 2.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_410.jpg
Vorratsdose 1 400 ml,CLICK N STORE,"€ 1,99",UVP 4.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_411.jpg
Vorratsdose 2 000 ml,CLICK N STORE,"€ 2,29",UVP 5.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_412.jpg
Aufschnittdosen-Kombi,Keine Marke,"€ 2,22",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_414.jpg
Damen-Badepantoletten,OYANDA,"€ 1,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_415.jpg
Herren-Retroboxer NFL,Keine Marke,"€ 7,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_416.jpg
Herren-Retroshorts,DONNEY,"€ 9,99",UVP 24.90,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_417.jpg
Herren-Sweathose NFL,LOBSTER LEMONADE,"€ 14,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_418.jpg
Herren-T-Shirt NFL,LOBSTER LEMONADE,"€ 6,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_419.jpg
Tennissocken NFL,Keine Marke,"€ 4,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_421.jpg
Herren-Tennissocken,DONNAY,"€ 6,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_422.jpg
Herren-Badepantoletten,TOWNLAND,"€ 1,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_423.jpg
3D-Konturenkissen NFL,Keine Marke,"€ 3,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_425.jpg
Fleecedecke NFL,Keine Marke,"€ 9,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_426.jpg
Renforc -Bettwäsche-Set NFL,Keine Marke,"€ 14,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_427.jpg
Konturenteppich NFL,Keine Marke,"€ 7,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_428.jpg
Handtücher,DYCKHOFF,"€ 6,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_429.jpg
Duschtuch,DYCKHOFF,"€ 6,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_430.jpg
Duschvorhang,DYCKHOFF,"€ 4,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_431.jpg
XL-Badteppich,DYCKHOFF,"€ 14,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_432.jpg
Gästetücher,DYCKHOFF,"€ 1,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_433.jpg
Waschhandschuhe,DYCKHOFF,"€ 0,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_434.jpg
Mikrofaser-Bademantel,DYCKHOFF,"€ 14,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_435.jpg
Kinder-Mikrofaser-Bademantel,DYCKHOFF,"€ 9,99",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_436.jpg
Müslischale NFL,Keine Marke,"€ 6,99",7.99,1 kg = 85.25,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_453.jpg
Bierkrug NFL,Keine Marke,"€ 7,99",9.99,1 kg = 97.44,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_454.jpg
Tasse NFL,Keine Marke,"€ 4,99",5.99,1 kg = 49.90,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_455.jpg
American Football NFL Junior Throwback,WILSON,"€ 17,99",UVP 24.95,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_459.jpg
Scheiben-Frostschutz,NIGRIN,"€ 9,99",UVP 20.99,1 l = 2.00,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_460.jpg
Motorenöl 5W-40,NIGRIN,"€ 39,99",,1 l = 6.67,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_461.jpg
Motorenöl 10W-40,NIGRIN,"€ 24,99",,1 l = 4.17,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_462.jpg
Motorenöl 5W-30 LL III,NIGRIN,"€ 39,99",,1 l = 6.67,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_463.jpg
Hustenbonbons zuckerfrei,EM-EUKAL,"€ 4,47",5.96,1 kg = 14.94,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_584.jpg
Vodka,ABSOLUT,"€ 10,99",,1 l = 15.70,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_585.jpg
Extra,KERRYGOLD,"€ 1,49",,1 kg = 5.96,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_586.jpg
Span Zitronen,Keine Marke,"€ 0,99",1.49,1 kg = 1.98,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_588.jpg
Kasseler Kotelett,K-PURLAND,"€ 5,49",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_589.jpg
Schmelzkäsezubereitung,NORDGUT,"€ 1,25",1.59,1 kg = 6.25,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_594.jpg
Studentenfutter,K-CLASSIC,"€ 1,79",2.29,1 kg = 8.95,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_595.jpg
Waschmittel,WEISSER RIESE,"€ 7,99",9.75,pro Anwendung = 0.16,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_596.jpg
Dtsch niederl Zwiebeln rot,Keine Marke,"€ 0,99",1.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_597.jpg
Kellerbier oder Naturradler,MÖNCHSHOF,"€ 13,99",,1 l = 1.40,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_598.jpg
Deodorant Bodyspray,AXE,"€ 3,33",3.95,1 l = 22.20,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_599.jpg
Linsen- oder Popchips,FUNNY-FRISCH,"€ 1,39",,1 kg = 15.45 - 17.38,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_602.jpg
Happy Day,RAUCH,"€ 1,99",2.69,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_603.jpg
Spezi oder Limo,PAULANER,"€ 0,59",,1 l = 1.79,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_604.jpg
Dtsch ital Tafeläpfel XXL,Keine Marke,"€ 3,99",,1 kg = 0.80,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_605.jpg
Dtsch Rispentomaten,Keine Marke,"€ 2,99",3.99,1 kg = 4.60,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_607.jpg
Käsestangen,CHEESTRINGS,"€ 1,75",2.29,1 kg = 21.88,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_613.jpg
Suppenliebe,KNORR,"€ 2,67",3.56,1 l = 0.67 - 1.34,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_614.jpg
Dinkelvollkornbrötchen,Keine Marke,"€ 0,33",0.45,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_615.jpg
Heringsfilets in Sauce,K-CLASSIC,"€ 1,49",1.99,1 kg = 3.73,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_617.jpg
