Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Fahrrad-Smartphone-Halterung,RIDE GO,"€ 3,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_054.jpg,cat_non_food
Standluftpumpe,RIDE GO,"€ 3,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_055.jpg,cat_non_food
City-Sattel,RIDE GO,"€ 4,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_056.jpg,cat_non_food
Fahrradkorb,RIDE GO,"€ 6,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_057.jpg,cat_non_food
Fahrrad-Gepäcktasche,RIDE GO,"€ 12,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_058.jpg,cat_non_food
Fahrrad-Sattelbezug Trekking,RIDE GO,"€ 4,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_059.jpg,cat_non_food
Toolbag Set,RIDE GO,"€ 5,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_060.jpg,cat_non_food
Fahrradschloss,RIDE GO,"€ 4,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_061.jpg,cat_non_food
Speichenreflektoren,RIDE GO,"€ 3,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_062.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Fahrrad-Spiralkabelschloss,RIDE GO,"€ 2,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_063.jpg,cat_non_food
LED-Premium-Fahrradlampen,RIDE GO,"€ 12,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_064.jpg,cat_non_food
Erdbeer- oder Rhabarberpflanzen,Gardenline,"€ 1,59",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_065.jpg,"cat_non_food,diet_lactose_free,diet_vegan,diet_vegetarian"
Ratschen-Set,RIDE GO,"€ 3,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_066.jpg,cat_non_food
Wiederaufladbarer Kompressor,RIDE GO,"€ 19,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_067.jpg,"cat_non_food,diet_lactose_free,diet_vegan,diet_vegetarian"
Hyazinthe im Glas,Gardenline,"€ 1,89",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_068.jpg,"cat_non_food,diet_vegetarian"
