Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Cr me Fra che,Bioland,"€ 0,87",,"1,09 €",,Nein,,,,images_lidl/lidl_offer_141.jpg,cat_molkerei_kaese
Käse für den Ofen,Milbona,"€ 1,79",,1 kg = 9.94,,Nein,,,,images_lidl/lidl_offer_142.jpg,cat_molkerei_kaese
Food in a Bottle,Tasty,"€ 1,59",,"1,99 €",,Nein,,,,images_lidl/lidl_offer_143.jpg,"cat_getraenke,tag_ultra_processed"
Haltbare Schlagsahne,Milbona,"€ 0,75",,"0,89 €",,Nein,,,,images_lidl/lidl_offer_144.jpg,cat_molkerei_kaese
Fettarmer Kefir,Milbona,"€ 0,65",,"0,79 €",,Nein,,,,images_lidl/lidl_offer_145.jpg,cat_molkerei_kaese
Käsescheiben,Bioland,"€ 1,59",,1 kg = 7.95,,Nein,,,,images_lidl/lidl_offer_146.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte"
Schmelzkäsescheiben,Milbona,"€ 1,69",,"1,99 €",,Nein,,,,images_lidl/lidl_offer_147.jpg,cat_molkerei_kaese
Cheddar,Milbona,"€ 2,39",,1 kg = 13.66,,Nein,,,,images_lidl/lidl_offer_148.jpg,cat_molkerei_kaese
Maasdamer,Milbona,"€ 1,59",,1 kg = 7.95,,Nein,,,,images_lidl/lidl_offer_149.jpg,cat_molkerei_kaese
Kräuter Quark,Milbona,"€ 0,95",,1 kg = 3.17,,Nein,,,,images_lidl/lidl_offer_150.jpg,cat_molkerei_kaese
Schmelzkäse,Milbona,"€ 1,59",,1 kg = 7.95,,Nein,,,,images_lidl/lidl_offer_151.jpg,cat_molkerei_kaese
Käsescheiben,Milbona,"€ 0,99",,1 kg = 6.60,,Nein,,,,images_lidl/lidl_offer_152.jpg,cat_molkerei_kaese
Reine Buttermilch,Milbona,"€ 0,59",,1 kg = 1.18,,Nein,,,,images_lidl/lidl_offer_153.jpg,cat_molkerei_kaese
Laktosefreie Schlagsahne,Milbona,"€ 0,99",,1 kg = 4.95,,Nein,,,,images_lidl/lidl_offer_154.jpg,cat_molkerei_kaese
Parmigiano Reggiano,Milbona,"€ 3,29",,1 kg = 26.32,,Nein,,,,images_lidl/lidl_offer_155.jpg,cat_molkerei_kaese
Kräuter- Knoblauchbutter,Milbona,"€ 1,19",,1 kg = 11.90,,Nein,,,,images_lidl/lidl_offer_156.jpg,cat_molkerei_kaese
Single Malt Irish Whiskey 10 Jahre,Bushmills,"€ 24,99",,"UVP
32,99 €",,Nein,,,,images_lidl/lidl_offer_157.jpg,cat_getraenke
Single Malt Scotch Whisky 12 Jahre,Highland Park,"€ 33,33",,"UVP
52,99 €",,Nein,,,,images_lidl/lidl_offer_158.jpg,cat_getraenke
Double Cask Highland Single Malt Scotch Whisky 12 Jahre,The Macallan,"€ 69,99",,"UVP
79,90 €",,Nein,,,,images_lidl/lidl_offer_159.jpg,cat_getraenke
Islay Single Malt Scotch Whisky 30 Jahre,Ben Bracken,"€ 119,00",,"169,00 €",,Nein,,,,images_lidl/lidl_offer_160.jpg,"cat_getraenke,diet_vegetarian"
Portwein Late Bottled Vintage 2020,Armilar,"€ 11,99",,"14,99 €",,Nein,,,,images_lidl/lidl_offer_161.jpg,cat_getraenke
Reserva Exclusiva Rum,Botucal,"€ 29,99",,"UVP
39,99 €",,Nein,,,,images_lidl/lidl_offer_162.jpg,cat_getraenke
Riccardi Chianti Classico DOCG Riserva Rotwein trocken,Casato dei Medici,"€ 7,99",,"9,99 €",,Nein,,,,images_lidl/lidl_offer_163.jpg,"cat_getraenke,diet_vegetarian,tag_ultra_processed"
Syrah Garnacha Rotwein,Sansibar Deluxe,"€ 6,99",,"9,99 €",,Nein,,,,images_lidl/lidl_offer_164.jpg,cat_fisch_meeresfruechte
Riesling QbA Weißwein trocken,Maybach,"€ 9,99",,"UVP
15,99 €",,Nein,,,,images_lidl/lidl_offer_165.jpg,cat_getraenke
Prestige Ros Champagner brut,Taittinger,"€ 49,99",,"UVP
64,99 €",,Nein,,,,images_lidl/lidl_offer_166.jpg,cat_getraenke
Cr mant de Loire ros AOP Schaumwein,Blanc Foussy,"€ 8,99",,1 l = 11.99,,Nein,,,,images_lidl/lidl_offer_167.jpg,cat_getraenke
Vernaccia di San Gimignano DOCG Weißwein trocken,Corte alle Mura,"€ 29,99",,"41,94 €",,Nein,,,,images_lidl/lidl_offer_168.jpg,cat_getraenke
Lachsfiletportionen XXL,Ocean Sea,"€ 9,99",,1 kg = 16.65,,Nein,,,,images_lidl/lidl_offer_169.jpg,"cat_fisch_meeresfruechte,diet_lactose_free,tag_high_protein,tag_proteinreich"
Norwegischer Räucherlachs XXL,Nautica,"€ 4,29",,1 kg = 19.50,,Nein,,,,images_lidl/lidl_offer_170.jpg,"cat_fisch_meeresfruechte,tag_high_protein,tag_proteinreich"
MSC Fischstäbchen XXL,Ocean Sea,"€ 3,99",,1 kg = 4.43,,Nein,,,,images_lidl/lidl_offer_171.jpg,"cat_fisch_meeresfruechte,sub_tk_fertiggerichte,tag_ultra_processed"
MSC Alaska-Seelachs Portionsfilets XXL,Ocean Sea,"€ 4,79",,1 kg = 4.99,,Nein,,,,images_lidl/lidl_offer_172.jpg,"cat_fisch_meeresfruechte,tag_proteinreich,tag_ultra_processed"
Taschki Pelmeni Vareniki,Dovgan,"€ 6,66",,1 kg = 4.44,,Nein,,,,images_lidl/lidl_offer_173.jpg,"cat_tiefkuehl,sub_tk_fertiggerichte"
Chicken Nuggets XXL,Chef Select,"€ 4,49",,1 kg = 6.91,,Nein,,,,images_lidl/lidl_offer_174.jpg,"cat_fleisch_wurst,diet_lactose_free,sub_gefluegel,sub_tk_fertiggerichte,tag_ultra_processed"
Kashkaval XXL,Milbona,"€ 8,79",,1 kg = 5.86,,Nein,,,,images_lidl/lidl_offer_175.jpg,cat_molkerei_kaese
Delikatess Kochschinken,Dulano,"€ 4,49",,1 kg = 11.23,,Nein,,,,images_lidl/lidl_offer_176.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed"
Tortilla Wraps XXL,Grafschafter,"€ 1,89",,1 kg = 2.55,,Nein,,,,images_lidl/lidl_offer_177.jpg,"cat_drogerie,tag_ultra_processed"
Gouda Jung XXL,Milbona,"€ 5,49",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_178.jpg,cat_molkerei_kaese
Delikatess Schinkenwürfel XXL,Dulano,"€ 2,09",,1 kg = 7.46/11.61,,Nein,,,,images_lidl/lidl_offer_179.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_proteinreich,tag_ultra_processed"
Delikatess Edelsalami XXL,Dulano,"€ 1,49",,1 kg = 8.76,,Nein,,,,images_lidl/lidl_offer_180.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed"
Mozzarella XXL,Milbona,"€ 1,49",,1 kg = 5.96,,Nein,,,,images_lidl/lidl_offer_181.jpg,cat_molkerei_kaese
Flips XXL,Snack Day,"€ 0,99",,1 kg = 3.96/6.60,,Nein,,,,images_lidl/lidl_offer_182.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Prinzenrolle Schoko,DeBeukelaer,"€ 1,69",,1 kg = 3.76,,Nein,,,,images_lidl/lidl_offer_183.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Kong Strong Energy Drink XXL,Kong Strong Energy Drink XXL,"€ 0,49",,1 l = 0.98,,Nein,,,,images_lidl/lidl_offer_184.jpg,"cat_getraenke,tag_ultra_processed"
Duplo,Duplo,"€ 3,29",,1 kg = 16.43,,Nein,,,,images_lidl/lidl_offer_185.jpg,cat_non_food
Haltbare Vollmilch,Milbona,"€ 9,50",,"11,40 €",,Nein,,,,images_lidl/lidl_offer_186.jpg,cat_molkerei_kaese
Schoko-Bons XXL,Kinder,"€ 6,99",,1 kg = 13.98,,Nein,,,,images_lidl/lidl_offer_187.jpg,cat_knabbern_naschen
Frischkäse,Petrella,"€ 1,49",,"UVP
2,19 €",,Nein,,,,images_lidl/lidl_offer_188.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,sub_wurst,tag_ultra_processed"
Tortilla Chips XXL,Snack Day,"€ 1,49",,1 kg = 3.97,,Nein,,,,images_lidl/lidl_offer_189.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Nussmix XXL,Alesto,"€ 3,99",,1 kg = 13.30,,Nein,,,,images_lidl/lidl_offer_190.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Erdnüsse im Teigmantel XXL,Alesto,"€ 1,29",,1 kg = 5.16,,Nein,,,,images_lidl/lidl_offer_191.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_high_protein,tag_proteinreich,tag_ultra_processed"
Waschmittel flüssig XXL,Formil,"€ 8,99",,1 WL = 0.09,,Nein,,,,images_lidl/lidl_offer_192.jpg,cat_drogerie
Discreet Hygiene-Einlagen,Always,"€ 7,99",,"UVP
8,95 €",,Nein,,,,images_lidl/lidl_offer_193.jpg,cat_drogerie
Taft Haarlack,Schwarzkopf,"€ 4,45",,"UVP
5,99 €",,Nein,,,,images_lidl/lidl_offer_194.jpg,cat_drogerie
Supersoft Premium Toilettenpapier XXL,Floraly s,"€ 5,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_195.jpg,cat_drogerie
Slipeinlagen,Always,"€ 3,29",,"3,85 €",,Nein,,,,images_lidl/lidl_offer_196.jpg,cat_drogerie
Katzenstreu XXL,Coshida,"€ 3,95",,0.49 €/l,,Nein,,,,images_lidl/lidl_offer_197.jpg,"cat_tiernahrung,tag_ultra_processed"
Bierfass mit Zapfhahn,Desperados,"€ 15,99",,"UVP
18,99 €",,Nein,,,,images_lidl/lidl_offer_198.jpg,"cat_getraenke,diet_vegetarian"
Premium Pils Bierfass mit Zapfhahn,Bitburger,"€ 8,99",,"UVP
11,49 €",,Nein,,,,images_lidl/lidl_offer_199.jpg,cat_getraenke
Feuchte Allzwecktücher XXL,W5,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_200.jpg,cat_non_food
Spaghettitops,Esmara,"€ 9,99",,"12,99 €",,Nein,,,,images_lidl/lidl_offer_201.jpg,cat_non_food
Men Sneakersocken,Esmara Esmara Men,"€ 3,99",,"4,99 €",,Nein,,,,images_lidl/lidl_offer_202.jpg,cat_non_food
Esmara Esmara Men Socken,Esmara,"€ 14,99",,"19,99 €",,Nein,,,,images_lidl/lidl_offer_203.jpg,cat_non_food
Slips,Esmara,"€ 8,99",,"11,99 €",,Nein,,,,images_lidl/lidl_offer_204.jpg,cat_non_food
Men T-Shirts,Esmara,"€ 13,49",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_205.jpg,cat_non_food
Webboxer,Esmara Men,"€ 12,99",,"16,99 €",,Nein,,,,images_lidl/lidl_offer_206.jpg,cat_non_food
Men Achselhemden,Esmara,"€ 12,99",,"16,99 €",,Nein,,,,images_lidl/lidl_offer_207.jpg,cat_non_food
Kinder-Boxer,Lupilu,"€ 9,99",,"12,99 €",,Nein,,,,images_lidl/lidl_offer_208.jpg,cat_non_food
Men Boxer,Esmara,"€ 14,99",,"22,99 €",,Nein,,,,images_lidl/lidl_offer_209.jpg,cat_non_food
Partygschirr Becher,Silvercrest,"€ 4,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_210.jpg,cat_non_food
Geschirrtücher,W5,"€ 5,99",,"7,99 €",,Nein,,,,images_lidl/lidl_offer_211.jpg,cat_drogerie
Folienrollen für Vakuumierer,Silvercrest,"€ 6,99",,"9,99 €",,Nein,,,,images_lidl/lidl_offer_212.jpg,cat_non_food
Microfibre Colours-Allzwecktücher XXL,Vileda,"€ 3,99",,"UVP
9,95 €",,Nein,,,,images_lidl/lidl_offer_213.jpg,cat_drogerie
Frischhaltedosen-Set,Livarno Home,"€ 2,99",,"4,99 €",,Nein,,,,images_lidl/lidl_offer_214.jpg,cat_non_food
Knopfzellen,Tronic,"€ 3,99",,"9,99 €",,Nein,,,,images_lidl/lidl_offer_215.jpg,cat_non_food
Universal-Wandfarbe,Alpina,"€ 24,99",,"UVP
49,99 €",,Nein,,,,images_lidl/lidl_offer_216.jpg,cat_drogerie
Akkus,Tronic,"€ 6,99",,"12,99 €",,Nein,,,,images_lidl/lidl_offer_217.jpg,cat_non_food
Schrumpfschlauch-Sortiment XXL,PARKSIDE,"€ 7,99",,"9,99 €",,Nein,,,,images_lidl/lidl_offer_218.jpg,cat_non_food
Wärmegürtel Wärmepflaster XXL Regelschmerz-Wärmepflaster,Sensiplast,"€ 3,49",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_219.jpg,cat_non_food
Pinsel-Set,PARKSIDE,"€ 9,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_220.jpg,cat_non_food
Aluminium-Gartentisch,Livarno Home,"€ 139,00",,"169,00 €",,Nein,,,,images_lidl/lidl_offer_221.jpg,cat_non_food
Aluminium-Stapelsessel,Livarno,"€ 29,99",,"34,99 €",,Nein,,,,images_lidl/lidl_offer_222.jpg,cat_non_food
Aluminium-Klappsessel,Livarno,"€ 34,99",,"39,99 €",,Nein,,,,images_lidl/lidl_offer_223.jpg,cat_non_food
