Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
ganzes Kaninchen,Keine Marke,"€ 8,88",Kein vorheriger Preis,7.72 / kg,tiefgekühlt,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_074.png
Würstchen Dog,Keine Marke,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_075.png
Börekstick Spinat-Feta,Keine Marke,"€ 0,59","€ 0,69",Kein Mengenpreis,Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_076.png
Schnittbrötchen,Keine Marke,"€ 1,33","€ 1,33",Kein Mengenpreis,Einzelpreis: 0.19 Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_077.png
Käse-Laugen Breze,Keine Marke,"€ 0,89","€ 0,99",Kein Mengenpreis,,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_078.png
Krapfen,Keine Marke,"€ 2,22","€ 2,70",4.93 - 5.29 / kg,"versch. Sorten, 6er Tray",Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_079.png
Peperoni Baguette,Keine Marke,"€ 1,19",Kein vorheriger Preis,3.97 / kg,Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_080.png
Bauernbrot,Keine Marke,"€ 0,99",Kein vorheriger Preis,1.98 / kg,Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_081.png
Bio-Weizenbrot,Keine Marke,"€ 1,49","€ 1,79",2.98 / kg,,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_082.png
Lindt Weihnachtsmann,Keine Marke,"€ 2,99","€ 3,99",42.71 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_083.png
Lindt Lindor Präsentpackung,Keine Marke,"€ 7,99","€ 12,99",31.96 - 32.09 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_084.png
Lindt Weihnachtsbeutel,Keine Marke,"€ 3,99","€ 4,99",39.50 - 44.33 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_085.png
Toblerone,Keine Marke,"€ 1,69",Kein vorheriger Preis,16.90 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_086.png
