Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Pangasiusfilets,Keine Marke,"€ 2,79","€ 3,24",5.87 / kg,"tiefgekühlt einzeln entnehmbar, ohne Haut, praktisch grätenfrei",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_093.png
iglo Fertiggerichte,Keine Marke,"€ 2,99","€ 3,99",6.64 - 7.04 / kg,"tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_094.png
Weideglück Fruchtjoghurt Grieß- oder Milchpudding,Keine Marke,"€ 2,22",Kein vorheriger Preis,2.22 - 2.78 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_095.png
Ehrmann High Protein Pancakes,Keine Marke,"€ 2,49",Kein vorheriger Preis,15.56 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_096.png
Bärenmarke Frischer Kakao,Keine Marke,"€ 1,49",Kein vorheriger Preis,Kein Mengenpreis,gekühlt,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_097.png
Camembert mit Protein,Keine Marke,"€ 0,88","€ 1,09",7.04 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_098.png
Dr Oetker Wölkchen,Keine Marke,"€ 0,59",Kein vorheriger Preis,4.72 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_099.png
Camembert oder Briespitze,Keine Marke,"€ 1,99",Kein vorheriger Preis,9.95 - 11.06 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_100.png
Gemüse Pinsa,Keine Marke,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_101.png
Vitalbrot,Keine Marke,"€ 1,49","€ 1,99",2.98 / kg,Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_102.png
Buchweizenbrot,Keine Marke,"€ 1,29",Kein vorheriger Preis,2.48 / kg,leicht herber und nussiger GeschmackGilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_103.png
Weizenmischbrot,Keine Marke,"€ 1,49","€ 1,85",Kein Mengenpreis,Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_104.png
Weltmeister- Sonnenblumen- und Kürbiskernbrötchen,Keine Marke,"€ 1,39","€ 1,17",Kein Mengenpreis,Einzelpreis: 0.39 - 0.49 Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_105.png
