Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Einheit,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
LIV&BO®,LED-Deko-Figuren »Rentiere«,14.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_435.jpg
EMSA,Thermobecher »Travel Mug Essential«,12.99,UVP33.99,,-61%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_436.jpg
BIRKMANN,Ausstech-Set »Tanne«,4.99,UVP7.95,,-37%,je 2-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_437.jpg
LIV&BO®,LED-Lichtervorhang mit 440 farbigen LEDs,14.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_438.jpg
,mit 440 kaltweißen LEDs,14.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_439.jpg
LIV&BO®,LED-Lichterschlauch mit 200 LEDs,8.99,12.99,,-30%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_440.jpg
LIV&BO®,LED-Lichterbaum,19.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_441.jpg
KAISER,Springform »Gourmet«,4.99,UVP18.99,,-73%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_442.jpg
LIV&BO®,LED-Lichtervorhang mit 440 warmweißen LEDs,14.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_443.jpg
LIV&BO®,LED-Deko-Figur »Pinguin«,14.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_444.jpg
