Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
Trauben hell,Keine Marke,"€ 2,0",Kein vorheriger Preis,3.98 / kg,"Brasilien/Peru, Kl. I, kernlos",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_022.png,0
Gurken,Keine Marke,"€ 0,8",Kein vorheriger Preis,Kein Mengenpreis,"Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_025.png,0
Cocktail Rispentomaten,Keine Marke,"€ 1,7",Kein vorheriger Preis,3.38 / kg,"Marokko/Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_026.png,0
Paprika-Mix,Keine Marke,"€ 1,7",Kein vorheriger Preis,3.38 / kg,"Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_027.png,0
Kohlrabi,Keine Marke,"€ 0,56",Kein vorheriger Preis,Kein Mengenpreis,"Italien, Kl. I",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_024.png,0
Champignon braun,Keine Marke,"€ 1,49",Kein vorheriger Preis,3.78 / kg,"Polen, Kl. I",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_028.png,0
Dr. Oetker Ristorante Pizza,Keine Marke,"€ 3,49",Kein vorheriger Preis,4.47 - 5.45 / kg,"tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_011.png,0
"Kaiser-, Mohn- oder Sesambrötchen",Keine Marke,"€ 1,33","€ 1,33",Kein Mengenpreis,Einzelpreis: 0.19,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_013.png,0
Käfer Caffè,Keine Marke,"€ 12,0",Kein vorheriger Preis,Kein Mengenpreis,"ganze Kaffeebohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_014.png,0
Küchentücher,Keine Marke,"€ 4,0",Kein vorheriger Preis,Kein Mengenpreis,3-lagig,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_016.png,0
