Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Einheit,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
VITAKRAFT,Katzen-Snacks,"€ 1,69",1.99,1 kg = 18.78 - 22.54,-15%,je 5 - 6 St. = 75 - 90-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_309.jpg,0
PELY,Gefrierbeutel,"€ 0,99",1.39,Kein Mengenpreis,-28%,je Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_310.jpg,0
PHILIPS,Bodenstaubsauger »FC8240/09«,"€ 69,99",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_348.jpg,0
ENERGIZER,Knopfzellen CR2025,"€ 1,99",UVP12.29,Kein Mengenpreis,-83%,je 4-St.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_349.jpg,0
PHILIPS,"LED-Filament-Birnen E27 7 W, 806 lm, 2.700 K","€ 2,99",,Kein Mengenpreis,nur,je 3-St.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_350.jpg,0
CANON,WLAN-Multifunktionsdrucker »PIXMA TS3350«,"€ 49,99",UVP85.00,Kein Mengenpreis,-41%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_351.jpg,0
GRUNDIG,TWS-In-Ear-Kopfhörer »27071«/»27072«,"€ 7,99",UVP16.99,Kein Mengenpreis,-52%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_352.jpg,0
K-CLASSIC,Toilettenpapier Soft,"€ 2,75",,Kein Mengenpreis,nur,je Packg. = 3 x 100 Blatt,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_316.jpg,0
WEISSER RIESE,Waschmittel,"€ 6,99",,pro Anwendung = 0.14,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_317.jpg,0
BRUNO BANANI,Deospray,"€ 2,79",3.75,1 l = 18.60,-25%,je 150-ml-Dose,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_318.jpg,0
DER GENERAL,Allzweckreiniger,"€ 1,59",1.95,1 l = 2.12,-18%,je 750-ml-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_319.jpg,0
DR. BEST,Zahnbürste Hoch-Tief,"€ 1,59",1.95,Kein Mengenpreis,-18%,je 1-St.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_320.jpg,0
WC-ENTE,WC-Reiniger,"€ 1,89",2.25,1 l = 2.52,-16%,je 750-ml-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_321.jpg,0
SENSODYNE,Zahncreme,"€ 3,49",,1 l = 46.54,nur,je 75-ml-Tube,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_323.jpg,0
OLD SPICE,Deospray oder -stick,"€ 2,99",3.45,1 l = 19.94 - 59.80,-13%,je 50 - 150-ml-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_325.jpg,0
DUSCHDAS,Duschgel XXXL,"€ 2,49",,1 l = 3.69,nur,je 3 x 225-ml-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_326.jpg,0
PURINA GOURMET,Perle,"€ 0,49",,1 kg = 5.77,nur,je 85-g-Beutel,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_327.jpg,0
PRIL,Geschirrspülmittel,"€ 1,39",,1 l = 2.06 - 3.09,nur,je 450 - 675-ml-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_329.jpg,0
DE'LONGHI,Entkalker »EcoDecalk«,"€ 6,99",UVP12.99,1 l = 13.98,-46%,je 500-ml-Flasche,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_362.jpg,0
VALE,Android-Tablet »V10A-4128«,"€ 89,99",UVP149.00,Kein Mengenpreis,-39%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_363.jpg,0
PHILIPS,6-in-1-Multigroomer »MG3710/15«,"€ 17,99",UVP32.99,Kein Mengenpreis,-45%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_364.jpg,0
PHILIPS,Dampfglätter Series 1000 »STH1010/10«,"€ 19,99",UVP34.99,Kein Mengenpreis,-42%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_365.jpg,0
PHILIPS,"LED-Reflektoren GU10 4,7 W","€ 2,99",,Kein Mengenpreis,nur,je 3-St.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_367.jpg,0
SEVERIN,2-in-1-Mikrowelle »MW 7781«,"€ 49,99",UVP99.99,Kein Mengenpreis,-50%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_368.jpg,0
ONE FOR ALL,TV-Wandhalterung »WM2410«,"€ 5,99",UVP21.99,Kein Mengenpreis,-72%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_335.jpg,0
DE'LONGHI,Wasserfilter »DLS C002«,"€ 5,99",UVP9.99,Kein Mengenpreis,-40%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_336.jpg,0
DENVER,Wildtierkamera »WCS-5023«,"€ 29,99",UVP89.95,Kein Mengenpreis,-66%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_338.jpg,0
PHILIPS,"LED-Kerzen E14 4,9 W","€ 2,99",,Kein Mengenpreis,nur,je 3-St.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_339.jpg,0
ENERGIZER,Knopfzellen CR2032,"€ 1,99",UVP12.29,Kein Mengenpreis,-83%,je 4-St.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_341.jpg,0
TEFAL,Kontaktgrill »Inicio Compact GC270D«,"€ 34,99",UVP64.99,Kein Mengenpreis,-46%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_343.jpg,0
HISENSE,Party-Lautsprecher »Party Storm 1«,"€ 189,00",UVP399.00,Kein Mengenpreis,-52%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_344.jpg,0
PHILIPS,Dampfbügeleisen »DST1030«,"€ 14,99",24.99,Kein Mengenpreis,-40%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_345.jpg,0
ONE FOR ALL,TV-Wandhalterung »WM2660«,"€ 29,99",UVP89.99,Kein Mengenpreis,-66%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_346.jpg,0
HISENSE,QLED-Smart-TV »58E77Q«,"€ 349,00",UVP749.00,Kein Mengenpreis,-53%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_347.jpg,0
SILIT,Bratpfanne »Talis« Größe ca. Ø 24 cm,"€ 24,99",UVP37.99,Kein Mengenpreis,-34%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_379.jpg,0
BRITA,Wasserflter-Kartuschen »MAXTRA PRO Extra Kalksch.«,"€ 49,99",UVP77.49,Kein Mengenpreis,-35%,je 12-St.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_380.jpg,0
LEIFHEIT,"Isolierflasche »Coco« 0,5 l","€ 9,99",UVP18.99,Kein Mengenpreis,-47%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_381.jpg,0
SOEHNLE,Digitale Personenwaage »Style Sense Compact 100«,"€ 9,99",UVP17.99,Kein Mengenpreis,-44%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_382.jpg,0
LEONARDO,Thermogläser »Trentino« für Latte macchiato,"€ 7,99",UVP15.95,Kein Mengenpreis,-49%,je 2-St.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_383.jpg,0
Keine Marke,Pumpisolierkanne »Airpot«,"€ 19,99",39.99,Kein Mengenpreis,-50%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_384.jpg,0
SILIT,Bratpfanne »Talis« Größe ca. Ø 28 cm,"€ 29,99",UVP54.99,Kein Mengenpreis,-45%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_385.jpg,0
ROWENTA,Haartrockner Express Style »CV1810«,"€ 9,99",UVP29.99,Kein Mengenpreis,-66%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_353.jpg,0
WMF,Wasserkocher »Bueno«,"€ 27,99",UVP49.99,Kein Mengenpreis,-44%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_354.jpg,0
KENWOOD,Doppel-Heißluftfritteuse »HFM20.000MB«,"€ 69,99",UVP149.00,Kein Mengenpreis,-53%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_355.jpg,0
EMERIO,Raclette-Grill »RG-120656«,"€ 14,99",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_356.jpg,0
BRAUN,Herrenrasierer Series 5 »51-M1000s«,"€ 69,99",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_357.jpg,0
HISENSE,2.1-Soundbar »HS2000«,"€ 69,99",UVP129.00,Kein Mengenpreis,-45%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_358.jpg,0
PHILIPS,"LED-Filament-Kerzen E14 4,3 W, 470 lm, 2.700 K","€ 2,99",,Kein Mengenpreis,nur,je 3-St.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_359.jpg,0
PHILIPS,Haarschneider »HC3505/15«,"€ 14,99",UVP26.99,Kein Mengenpreis,-44%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_360.jpg,0
DENVER,Powerbank »PBS-10010«,"€ 7,99",UVP24.95,Kein Mengenpreis,-67%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_361.jpg,0
CAT,Trolley »Peoria« Gr. L,"€ 49,99",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_396.jpg,0
MY PROJECT®,Autoscheiben-Innenreiniger,"€ 1,29",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_397.jpg,0
CAT,Herren-Thermo-Arbeitssocken,"€ 4,99",UVP13.00,Kein Mengenpreis,-61%,je 2 Paar,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_398.jpg,0
MY PROJECT®,Leichtlauf-Motorenöl 10W-40 »Power«,"€ 14,99",24.99,1 l = 3.00,-40%,je 5-l-Kanister,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_399.jpg,0
MY PROJECT®,Beheizbare Sitzauflage »UASB 12 C2«,"€ 14,99",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_400.jpg,0
NIKE,Herren-Sweathoodie,"€ 34,99",UVP54.95,Kein Mengenpreis,-36%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_401.jpg,0
MY PROJECT®,Motorenöl 15W-40 »Universal«,"€ 14,99",18.99,1 l = 3.00,-21%,je 5-l-Kanister,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_402.jpg,0
DENVER,Mini-LED-Beamer »PR-2500K«,"€ 44,99",UVP99.95,Kein Mengenpreis,-54%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_369.jpg,0
PHILIPS,Rotationsrasierer »S1134/00«,"€ 24,99",UVP39.99,Kein Mengenpreis,-37%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_370.jpg,0
PHILIPS,SENSEO® Kaffeepadmaschine »HD6553/50«,"€ 39,99",UVP84.99,Kein Mengenpreis,-52%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_372.jpg,0
CASO,Profi-Partypfanne »1491«,"€ 19,99",UVP44.99,Kein Mengenpreis,-55%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_373.jpg,0
DE’LONGHI,Kaffeevollautomat Magnifica S »ECAM12.121B«,"€ 222,00",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_374.jpg,0
PHILIPS,LED-Birnen E27 8 W,"€ 2,99",,Kein Mengenpreis,nur,je 3-St.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_375.jpg,0
PHILIPS,Rasierer One Blade »QP2724/17«,"€ 24,99",UVP39.99,Kein Mengenpreis,-37%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_376.jpg,0
LEONARDO,Thermogläser »Trentino« für Tee,"€ 7,99",UVP15.95,Kein Mengenpreis,-49%,je 2-St.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_377.jpg,0
SILIT,Wok-Pfanne Größe ca. Ø 32 cm,"€ 24,99",UVP49.99,Kein Mengenpreis,-50%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_378.jpg,0
MY PROJECT®,Mobile Autostarthilfe mit Powerbank »MPMAP 12000«,"€ 29,99",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_407.jpg,0
NIKE,Herren-Sweathose,"€ 29,99",UVP44.95,Kein Mengenpreis,-33%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_408.jpg,0
WALSER,Kfz-Verbandtasche,"€ 4,99",12.99,Kein Mengenpreis,-61%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_409.jpg,0
MY PROJECT®,Scheibenklar Frostschutz -50 °C,"€ 6,99",9.99,1 l = 1.40,-30%,MyProject_DIY_Auto,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_410.jpg,0
MY PROJECT®,Baby-Autospiegel,"€ 5,99",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_411.jpg,0
MY PROJECT®,Kühlerfrostschutz G11 Konzentrat,"€ 2,99",4.99,Kein Mengenpreis,-40%,je 1-l-Flasche,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_412.jpg,0
NIKE,Rucksack,"€ 14,99",UVP32.99,Kein Mengenpreis,-54%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_414.jpg,0
CAT,Herren-Thermoshirt Langarm,"€ 9,99",UVP24.00,Kein Mengenpreis,-58%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_415.jpg,0
MY PROJECT®,Anti-Marder-Spray,"€ 3,99",,1 l = 9.98,nur,je 400-ml-Dose,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_416.jpg,0
MY PROJECT®,Eiskratzer,"€ 1,29",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_417.jpg,0
NIKE,Tennissocken,"€ 9,99",UVP12.95,Kein Mengenpreis,-22%,je 3 Paar,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_418.jpg,0
LEIFHEIT,Isolierflasche »Coco« 1 l,"€ 12,99",UVP26.99,Kein Mengenpreis,-51%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_388.jpg,0
SILIT,Besteck-Garnitur »Midi«,"€ 29,99",UVP51.89,Kein Mengenpreis,-42%,je 30-teilig,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_391.jpg,0
LEIFHEIT,Isolierkanne »Bolero«,"€ 7,99",UVP14.99,Kein Mengenpreis,-46%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_393.jpg,0
BRITA,Wasserfilter-Kartuschen »MAXTRA PRO PURE PERFORM.«,"€ 44,99",UVP73.89,Kein Mengenpreis,-39%,je 12-St.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_394.jpg,0
CAT,Herren-Boxershorts,"€ 6,99",14.99,Kein Mengenpreis,-53%,je 2-St.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_395.jpg,0
NIKE,Damen-Sweathoodie,"€ 34,99",UVP59.99,Kein Mengenpreis,-41%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_424.jpg,0
CAT,Herren-Arbeitssocken,"€ 4,99",UVP12.00,Kein Mengenpreis,-58%,je 3 Paar,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_426.jpg,0
CARTREND,Vollgarage,"€ 19,99",UVP49.99,Kein Mengenpreis,-60%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_427.jpg,0
MY PROJECT®,AdBlue®,"€ 3,99",8.99,1 l = 0.80,-55%,je 5-l-Kanister,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_428.jpg,0
MY PROJECT®,Parkscheibe,"€ 1,29",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_431.jpg,0
NIKE,Damen-Sweathose,"€ 29,99",UVP49.99,Kein Mengenpreis,-40%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_432.jpg,0
MY PROJECT®,Starthilfe-Spray,"€ 3,99",,1 l = 9.98,nur,je 400-ml-Dose,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_433.jpg,0
CAT,Herren-Thermohose,"€ 9,99",UVP24.00,Kein Mengenpreis,-58%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_434.jpg,0
MY PROJECT®,Scheibenklar Frostschutz -30 °C,"€ 5,99",7.99,1 l = 1.20,-25%,je 5-l-Kanister,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_435.jpg,0
NIKE,Sporttasche,"€ 17,99",UVP32.99,Kein Mengenpreis,-45%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_436.jpg,0
CAT,Herren-Arbeitshose,"€ 34,99",UVP64.99,Kein Mengenpreis,-46%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_439.jpg,0
CAT,Herren-Sweatjacke,"€ 44,99",UVP69.99,Kein Mengenpreis,-35%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_440.jpg,0
CAT,Herren-Steppweste,"€ 39,99",UVP59.99,Kein Mengenpreis,-33%,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_403.jpg,0
MY PROJECT®,Hochtemperaturlack Schwarz matt,"€ 3,99",,1 l = 9.98,nur,je 400-ml-Dose,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_404.jpg,0
UHU,Luftentfeuchter- Nachfüllbeutel,"€ 1,99",5.99,1 kg = 4.43,-66%,je 450-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_405.jpg,0
MY PROJECT®,Scheiben-Enteiser- Nachfüllflasche,"€ 1,99",2.99,Kein Mengenpreis,-33%,je 1-l-Flasche,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_406.jpg,0
MY PROJECT®,Eiskratzer mit Bürste,"€ 1,29",,Kein Mengenpreis,nur,je,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_445.jpg,0
MY PROJECT®,Reifen-Pannenspray,"€ 3,99",,1 l = 7.98,nur,je 500-ml-Dose,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_446.jpg,0
