Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
Bücklinge,Keine Marke,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,"rund oder ausgenommen, geräuchert, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/b-cklinge.jpg,0
Dorade,Keine Marke,"€ 1,59",Kein vorheriger Preis,Kein Mengenpreis,"weißes, aromatisch festes und schmackhaftes Fleisch, natur oder mariniert, pfannenfertig, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/dorade.jpg,0
Rot- oder Weißgelegter,Keine Marke,"€ 1,29",Kein vorheriger Preis,Kein Mengenpreis,"nach überlieferter Rezeptur, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/rot-oder-wei-gelegter.jpg,0
Bauernschätze Wacholderschinken,Keine Marke,"€ 2,19",Kein vorheriger Preis,Kein Mengenpreis,"gegart, saftig, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/bauernsch-tze-wacholderschinken.jpg,0
Weißwürstchen,Keine Marke,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,"milder Geschmack, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/wei-w-rstchen.jpg,0
Knoblauch- oder Kornsalami,Keine Marke,"€ 1,69",Kein vorheriger Preis,Kein Mengenpreis,100 g,Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/knoblauch-oder-kornsalami.jpg,0
iglo Schlemmer Filet,Keine Marke,"€ 2,79",Kein vorheriger Preis,"1 kg = 7,34 €","verschiedene Sorten, tiefgefroren, 380 g Packung, (1 kg = 7,34 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/iglo-schlemmer-filet.jpg,0
Gut & Günstig Walnuss-Kerne,Keine Marke,"€ 3,00",Kein vorheriger Preis,"1 kg = 15,00 €","naturbelassen, 200 g Packung, (1 kg = 15,00 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gut-g-nstig-walnuss-kerne.jpg,0
Geflügelfrikadellen,Keine Marke,"€ 1,19",Kein vorheriger Preis,Kein Mengenpreis,"herzhaft, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/gefl-gelfrikadellen.jpg,0
"Hähnchenbrustpastete ""Tex Mex""",Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,"mit exotischen Gewürzen verfeinert und goldbraun gebacken, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/h-hnchenbrustpastete-tex-mex.jpg,0
Debrecziner,Keine Marke,"€ 1,49",Kein vorheriger Preis,Kein Mengenpreis,"herzhaft gewürzt, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/debrecziner.jpg,0
Heidefrühstück,Keine Marke,"€ 1,39",Kein vorheriger Preis,Kein Mengenpreis,"eine herzhafte Spezialität aus der Lüneburger Heide, im Geleemantel, für eine deftige Brotzeit, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/heidefr-hst-ck.jpg,0
Wildkräuter- oder Senfschinken,Keine Marke,"€ 1,69",Kein vorheriger Preis,Kein Mengenpreis,"mit einer Kruste aus Senfkörnern, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/wildkr-uter-oder-senfschinken.jpg,0
Räucherbauchfleisch,Keine Marke,"€ 1,39",Kein vorheriger Preis,Kein Mengenpreis,"ohne Rippen, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/r-ucherbauchfleisch.jpg,0
"Bier-, Gelb-, Paprika-, Schinken- oder Jagdwurst",Keine Marke,"€ 2,49",Kein vorheriger Preis,"1 kg = 9,96 €","250 g Stück, (1 kg = 9,96 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/bier-gelb-paprika-schinken-oder-jagdwurst.jpg,0
Stadtwurst,Keine Marke,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,"rot oder weiß, pikant gewürzt im Ring, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/stadtwurst.jpg,0
Delikatess Kassler Leberwurst,Keine Marke,"€ 1,19",Kein vorheriger Preis,Kein Mengenpreis,100 g,Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/delikatess-kassler-leberwurst.jpg,0
Ochsenmaulsalat,Keine Marke,"€ 1,59",Kein vorheriger Preis,Kein Mengenpreis,"Ochsenmaulfleisch in einer herzhaften Kräutervinaigrette mit Zwiebeln, Petersilie und Schnittlauch, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/ochsenmaulsalat.jpg,0
Rügenwalder Mühle Teewurst,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 11,92 €","verschiedene Sorten, 125 g Becher, (1 kg = 11,92 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/r-genwalder-m-hle-teewurst.jpg,0
Rügenwalder Mühle Pommersche Leberwurst,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 11,92 €","verschiedene Sorten, 125 g Becher, (1 kg = 11,92 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/r-genwalder-m-hle-pommersche-leberwurst.jpg,0
Wiltmann Bio Salami,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 24,88 €","verschiedene Sorten, 80 g Packung, (1 kg = 24,88 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/wiltmann-bio-salami.jpg,0
Houdek Kabanos,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 13,27 €","verschiedene Sorten, 150 g Packung, (1 kg = 13,27 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/houdek-kabanos.jpg,0
Hackfleisch gemischt,Keine Marke,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,"Schwein und Rind, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/hackfleisch-gemischt.jpg,0
Schweinekammbraten,Keine Marke,"€ 0,66",Kein vorheriger Preis,Kein Mengenpreis,"ohne Knochen auch in Scheiben erhältlich, 100 g = 0,79 € (gewürzt, 100 g = 0,89 €), 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/schweinekammbraten.jpg,0
Deutsches Suppenfleisch,Keine Marke,"€ 1,19",Kein vorheriger Preis,Kein Mengenpreis,"mit Knochen, vom Jungbullen, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/deutsches-suppenfleisch.jpg,0
Rinderzunge,Keine Marke,"€ 1,19",Kein vorheriger Preis,Kein Mengenpreis,"gepökelt oder gepökelt und geräuchert, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/rinderzunge.jpg,0
"Putenschnitzel, -brustbraten, -steaks oder -gulasch",Keine Marke,"€ 1,29",Kein vorheriger Preis,Kein Mengenpreis,"auch in gewürzt erhältlich, 100 g = 1,39 €, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/putenschnitzel-brustbraten-steaks-oder-gulasch.jpg,0
