Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Original,Leerdammer,"€ 1,11",,"pro Einheit = 1,11","holl. Schnittkäse, 45% Fett i.Tr., je 100-g-",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_091.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,tag_ultra_processed",bamberg,,ref_000240,obs_0000006283|obs_0000008777|obs_0000033975|obs_0000034575|obs_0000028516|obs_0000028630|obs_0000028730|obs_0000020611|obs_0000012423|obs_0000026772|obs_0000026832|obs_0000028896|obs_0000035052|obs_0000027005|obs_0000027048|obs_0000021000|obs_0000021117|obs_0000008906|obs_0000015051|obs_0000021430|obs_0000025547|obs_0000033763|obs_0000017384|obs_0000013325|obs_0000019505|obs_0000031800|obs_0000025705|obs_0000009334|obs_0000015502|obs_0000027791|obs_0000021758|obs_0000009525|obs_0000021868|obs_0000017799|obs_0000026035|obs_0000022184|obs_0000020181|obs_0000034561|obs_0000009987|obs_0000028429|obs_0000016167|obs_0000020298|obs_0000010117|obs_0000014249|obs_0000018547|obs_0000002394|obs_0000016774|obs_0000017161|obs_0000003478|obs_0000022055,obs_0000028730|obs_0000018547|obs_0000020611|obs_0000012423|obs_0000006283|obs_0000026772|obs_0000026832|obs_0000028896|obs_0000035052|obs_0000002394|obs_0000027005|obs_0000027048|obs_0000021000|obs_0000008777|obs_0000021117|obs_0000008906|obs_0000015051|obs_0000021430|obs_0000025547|obs_0000033763|obs_0000017384|obs_0000013325|obs_0000019505|obs_0000031800|obs_0000025705|obs_0000009334|obs_0000015502|obs_0000027791|obs_0000033975|obs_0000021758|obs_0000021868|obs_0000017799|obs_0000003478|obs_0000026035|obs_0000022055|obs_0000022184|obs_0000020181|obs_0000034561|obs_0000028429|obs_0000034575|obs_0000016167|obs_0000020298|obs_0000028516|obs_0000010117|obs_0000014249|obs_0000028630
Schweine-Bratwurst,REWE Bio,"€ 5,99",,"1 kg = 19,97","grob, je 300-g-Pckg.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_106.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,sub_schwein,sub_wurst,tag_whole_food",bamberg,BLS-U065100,ref_000241,obs_0000028609|obs_0000006701|obs_0000026247|obs_0000030880|obs_0000006539|obs_0000007634,obs_0000028609
Hähnchen Bucket Chicken Nuggets oder Chicken Tenders,Keine Marke,"€ 5,55",,"1 kg = 14,61","Hähnchenbrustfilet-Stücke in Cornflakes-Panade, je 380-g-Pckg.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_104.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,sub_gefluegel,sub_tk_fertiggerichte,tag_high_protein,tag_proteinreich,tag_ultra_processed,tag_whole_food",bamberg,,ref_000242,obs_0000027865|obs_0000029176|obs_0000000509|obs_0000034184|obs_0000011493|obs_0000013038|obs_0000018649|obs_0000020238|obs_0000020417|obs_0000021057|obs_0000021236|obs_0000021927|obs_0000021968|obs_0000022059|obs_0000025151|obs_0000026980|obs_0000028252|obs_0000028385|obs_0000023578,
Butcher s Barbecue Schweine-Hüftsteaks,Keine Marke,"€ 3,33",,"1 kg = 11,10","in versch. Marinaden, je 300-g-Pckg.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_103.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegetarian,sub_schwein,tag_whole_food",bamberg,,ref_000243,obs_0000031569,
Rinder-Leber,Keine Marke,"€ 6,90",,"pro Einheit = 6,90","SB-verpackt, je 1-kg-",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_101.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_rind,tag_ultra_processed,tag_whole_food",bamberg,BLS-V531100,ref_000244,obs_0000002641|obs_0000002964|obs_0000003456,
Rinder-Brust,REWE Regional,"€ 17,90",,"pro Einheit = 17,90","ohne Knochen, SB-verpackt, je 1-kg-",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_100.jpg,"cat_molkerei_kaese,diet_vegan,sub_rind,tag_whole_food",bamberg,BLS-U209100,ref_000245,obs_0000028467|obs_0000028528|obs_0000028645,obs_0000028467|obs_0000028528|obs_0000028645
Butcher s Barbecue Hähnchen-Minuten-Schnitzel,Keine Marke,"€ 13,33",,"pro Einheit = 13,33","in versch. Marinaden, SB-verpackt, je 1-kg-",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_099.jpg,"cat_molkerei_kaese,sub_gefluegel",bamberg,,ref_000246,obs_0000000700|obs_0000001521|obs_0000005251,
Chicken Nuggets,Keine Marke,"€ 5,99",,"pro Einheit = 5,99",je 1000-g-Pckg.,Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_102.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_gefluegel,sub_tk_fertiggerichte,tag_ultra_processed,tag_whole_food",bamberg,,ref_000247,obs_0000027865|obs_0000029176|obs_0000000509|obs_0000034184|obs_0000011493|obs_0000013038|obs_0000020238|obs_0000020417|obs_0000021057|obs_0000021236|obs_0000021927|obs_0000022059|obs_0000025151|obs_0000026980|obs_0000007602|obs_0000009447|obs_0000009912|obs_0000013137|obs_0000014916|obs_0000015749|obs_0000028498|obs_0000028611|obs_0000029165|obs_0000032589|obs_0000012280|obs_0000034807|obs_0000002753|obs_0000003555|obs_0000008364|obs_0000009626|obs_0000014459|obs_0000016942|obs_0000017874|obs_0000019764|obs_0000026469|obs_0000018297|obs_0000022443|obs_0000018122|obs_0000022399|obs_0000023578|obs_0000023581|obs_0000017782|obs_0000018617,obs_0000000509|obs_0000034184|obs_0000007602|obs_0000009447|obs_0000009912|obs_0000011493|obs_0000013038|obs_0000013137|obs_0000014916|obs_0000015749|obs_0000020238|obs_0000020417|obs_0000021057|obs_0000021236|obs_0000021927|obs_0000022059|obs_0000025151|obs_0000026980|obs_0000027865|obs_0000028498|obs_0000028611|obs_0000029165|obs_0000029176|obs_0000032589
Käserei Champignon Cambozola oder Rougette,Keine Marke,"€ 1,79",,"pro Einheit = 1,79","Weichkäse, versch. Sorten, je 100-g-",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_097.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_kaese,sub_milchprodukte,sub_pilze,tag_ultra_processed,tag_whole_food",bamberg,,ref_000248,obs_0000029829|obs_0000030874|obs_0000031959|obs_0000032606|obs_0000005909|obs_0000034358,obs_0000029829|obs_0000030874|obs_0000031959|obs_0000032606
Schweine-Braten,REWE Regional,"€ 7,90",,"pro Einheit = 7,90","aus der Nuss, SB-verpackt, je 1-kg-",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_093.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_vegan,sub_schwein,tag_whole_food",bamberg,BLS-U065100,ref_000249,obs_0000029223|obs_0000030905|obs_0000029647|obs_0000030222|obs_0000031566|obs_0000029617,
Schweizer Emmentaler AOP,Keine Marke,"€ 1,99",,"pro Einheit = 1,99","Hartkäse, mind. 45% Fett i.Tr., je 100-g-",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_098.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,tag_whole_food",bamberg,,ref_000250,obs_0000010637|obs_0000012330|obs_0000015396|obs_0000030876|obs_0000032193|obs_0000001559|obs_0000002340|obs_0000003417|obs_0000009063|obs_0000010030|obs_0000018426|obs_0000018479|obs_0000022007|obs_0000022237|obs_0000025531|obs_0000031831|obs_0000031880,obs_0000010637|obs_0000012330|obs_0000015396|obs_0000030876|obs_0000032193
