Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Brotaufstrich,Popp,"€ 1,11",,"1 kg = 7,40","1 kg = 7,40",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_070.jpg,"cat_sonstiges,diet_vegan,diet_vegetarian,sub_huelsenfruechte",,BLS-S131100,ref_000070,obs_0000034334|obs_0000034763|obs_0000018403|obs_0000010497|obs_0000008458|obs_0000010510|obs_0000015391|obs_0000012207|obs_0000031930|obs_0000013124|obs_0000031182|obs_0000023659|obs_0000014956|obs_0000013042|obs_0000013999|obs_0000010939|obs_0000008542|obs_0000018920|obs_0000013818|obs_0000009622|obs_0000014255|obs_0000008633|obs_0000032207|obs_0000030806|obs_0000019544|obs_0000030811|obs_0000034274|obs_0000011500|obs_0000029804|obs_0000007196|obs_0000019379|obs_0000006143|obs_0000007745|obs_0000014568|obs_0000034818|obs_0000029842|obs_0000005571|obs_0000006122|obs_0000023016|obs_0000031998,obs_0000010497|obs_0000008458|obs_0000010510|obs_0000023318|obs_0000034334|obs_0000015391|obs_0000012207|obs_0000031930|obs_0000013124|obs_0000034763|obs_0000031182|obs_0000018403|obs_0000023659|obs_0000014956|obs_0000013042,,
Forelle,Meine Lieblinge,"€ 1,99",,"1 kg = 26,53","1 kg = 26,53",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_071.jpg,"cat_fisch_meeresfruechte,diet_lactose_free,tag_high_protein,tag_proteinreich",,BLS-T422100,ref_000071,obs_0000034141|obs_0000020898|obs_0000007046|obs_0000020079|obs_0000007610|obs_0000009595|obs_0000025693|obs_0000010047,obs_0000020898|obs_0000007046|obs_0000020079|obs_0000034141|obs_0000007610|obs_0000009595|obs_0000025693|obs_0000010047,,
Daily Salatschale,tegut,"€ 2,99",,"1 kg = 9,97","1 kg = 9,97",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_072.jpg,"cat_obst_gemuese,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food",,,ref_000072,obs_0000034338|obs_0000034551|obs_0000034140,obs_0000034338,,
Bio-Fleischsalat oder Geflügelsalat,Alnatura,"€ 2,22",,"pro Einheit = 2,49","pro Einheit = 2,49",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_073.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_gefluegel,sub_salate,sub_wurst,tag_ultra_processed,tag_whole_food",,,ref_000073,obs_0000009137|obs_0000033969|obs_0000010665|obs_0000027847|obs_0000012215|obs_0000028813|obs_0000028926|obs_0000030455,,,
Smoky Rauchmatjesfilet,Smoky Rauchmatjesfilet,"€ 1,99",,"pro Einheit = 1,99","pro Einheit = 1,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,,"cat_fisch_meeresfruechte,diet_lactose_free",,,ref_000074,obs_0000034337|obs_0000034761|obs_0000011874|obs_0000015375,obs_0000034337|obs_0000011874|obs_0000034761|obs_0000015375,,
Fleischkäse Brötchen,Fleischkäse Brötchen,"€ 2,00",,"pro Einheit = 2,00","pro Einheit = 2,00",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_075.jpg,"cat_fleisch_wurst,diet_vegetarian,sub_kaese,sub_milchprodukte,sub_schwein,sub_wurst,tag_ultra_processed",,BLS-Y025022,ref_000075,obs_0000034938|obs_0000033949|obs_0000034341|obs_0000007220|obs_0000033734|obs_0000034760|obs_0000034142|obs_0000034554,,,
Dillhappen,Dillhappen,"€ 1,99",,"pro Einheit = 2,49","pro Einheit = 2,49",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_076.jpg,"cat_non_food,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000076,obs_0000005402|obs_0000007035,obs_0000005402|obs_0000007035,,
Weizenbrötchen,Weizenbrötchen,"€ 1,50",,"1 kg = 2,31","1 kg = 2,31",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_077.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,BLS-B511000,ref_000077,obs_0000034146|obs_0000033956|obs_0000034350|obs_0000034771|obs_0000033748|obs_0000034558|obs_0000019915|obs_0000006062|obs_0000006063|obs_0000034943|obs_0000027409|obs_0000028000|obs_0000031710|obs_0000014552|obs_0000002587|obs_0000003165|obs_0000032634,obs_0000034146|obs_0000033956|obs_0000019915|obs_0000006062|obs_0000006063|obs_0000034350|obs_0000034771|obs_0000033748|obs_0000034943|obs_0000034558,,
Bio-Dinkelvollkornbrot,Herzberger,"€ 3,49",,"pro Einheit = 3,99","pro Einheit = 3,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_078.jpg,"cat_grundnahrung,diet_vegetarian,tag_whole_food",,,ref_000078,obs_0000008270|obs_0000011080,obs_0000008270|obs_0000010692|obs_0000011080,,
Kraft Kerni,Lieken Urkorn,"€ 1,79",,"1 kg = 3,58","1 kg = 3,58",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_079.jpg,cat_grundnahrung,,,ref_000079,,obs_0000034145,,
