Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Fleischsalat nach Metzger Art,Keine Marke,"€ 0,89",,"1 kg = 8,90","1 kg = 8,90","fein geschnittene Schinkenwurst mit Gewürzgurken und einer cremig-klassischen Salatmayonnaise, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/fleischsalat-nach-metzger-art.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food",,,ref_000085,obs_0000006695|obs_0000005237|obs_0000006529|obs_0000028813|obs_0000033969|obs_0000027847|obs_0000030455|obs_0000028926|obs_0000010665|obs_0000009137|obs_0000012215,obs_0000006695|obs_0000005237|obs_0000006529,,
Weißwürstchen,Keine Marke,"€ 0,99",,"1 kg = 9,90","1 kg = 9,90","milder Geschmack, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/wei-w-rstchen.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_wurst,tag_ultra_processed,tag_whole_food",,BLS-W211200,ref_000086,obs_0000006342|obs_0000006856|obs_0000007615|obs_0000007624|obs_0000007422,obs_0000006342|obs_0000006856|obs_0000007615,,
Italienischer Rohschinken al Asparago,Keine Marke,"€ 2,99",,"1 kg = 29,90","1 kg = 29,90","mit grünem Spargel, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/italienischer-rohschinken-al-asparago.jpg,"cat_fleisch_wurst,diet_vegan,diet_vegetarian,sub_schwein,sub_wurst,tag_ultra_processed",,,ref_000087,obs_0000031618|obs_0000017419|obs_0000018745,,,
Bauernsalami,Keine Marke,"€ 1,49",,"1 kg = 14,90","1 kg = 14,90","herzhaft gewürzt, ca. 200 g Stücke, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/bauernsalami.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_wurst,tag_ultra_processed,tag_whole_food",,,ref_000088,obs_0000006335|obs_0000030432|obs_0000029544,obs_0000006335,,
Mini Salami Herzchen,Keine Marke,"€ 2,99",,"pro Einheit = 2,99","pro Einheit = 2,99",100 g,Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/mini-salami-herzchen.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_tk_fertiggerichte,sub_wurst,tag_ultra_processed,tag_whole_food",,,ref_000089,obs_0000025064|obs_0000028448|obs_0000006338|obs_0000007424|obs_0000007617|obs_0000028517|obs_0000028632|obs_0000012328|obs_0000010316|obs_0000016602|obs_0000008425|obs_0000006379|obs_0000002285|obs_0000026898|obs_0000016755|obs_0000031198|obs_0000002611|obs_0000014932|obs_0000019030|obs_0000023205|obs_0000010932|obs_0000021226|obs_0000011010|obs_0000025355|obs_0000017184|obs_0000002957|obs_0000017375|obs_0000017530|obs_0000003239|obs_0000019666|obs_0000003307|obs_0000025934|obs_0000034176|obs_0000026024|obs_0000028273|obs_0000005781|obs_0000018128|obs_0000007987|obs_0000016216|obs_0000008039|obs_0000020407|obs_0000016328|obs_0000010234,,,
Wolf Berner Würstchen,Keine Marke,"€ 2,49",,"1 kg = 9,96","1 kg = 9,96","8/3er mit Emmentaler und umwickelt mit gegartem Bauchspeck, verschiedene Sorten, 250 g Packung, (1 kg = 9,96 €)",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/wolf-berner-w-rstchen.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_wurst,tag_ultra_processed,tag_whole_food",,BLS-W211200,ref_000090,obs_0000009369|obs_0000009557,,,
Aufschnittplatte,Friki Geflügel,"€ 1,59",,"1 kg = 10,60","1 kg = 10,60","150 g Packung, (1 kg = 10,60 €)",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/friki-gefl-gel-aufschnittplatte.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_wurst,tag_ultra_processed",,,ref_000091,obs_0000015767|obs_0000030654|obs_0000013082,,x,
Salami,Wiltmann,"€ 1,29",,"pro Einheit = 1,29","pro Einheit = 1,29",verschiedene Sorten Ausgenommen Bio Salami 80 g.,Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/wiltmann-salami.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_wurst,tag_ultra_processed,tag_whole_food",,,ref_000092,obs_0000007240|obs_0000032369|obs_0000005239|obs_0000030892|obs_0000007432|obs_0000029476|obs_0000029549|obs_0000006872|obs_0000005975|obs_0000002611|obs_0000010316|obs_0000014932|obs_0000019030|obs_0000028273|obs_0000005781|obs_0000023205|obs_0000003239|obs_0000019666|obs_0000016602|obs_0000008425|obs_0000021226|obs_0000003307|obs_0000002285|obs_0000011010|obs_0000025355|obs_0000026898|obs_0000017184|obs_0000007987|obs_0000025934|obs_0000008039|obs_0000016755|obs_0000034176|obs_0000002957|obs_0000020407|obs_0000016328|obs_0000017375|obs_0000031198|obs_0000010234,obs_0000007240|obs_0000032369|obs_0000005239|obs_0000030892|obs_0000011010|obs_0000007432|obs_0000029476|obs_0000029549,x,
Schweineschäufele,Keine Marke,"€ 0,65",,"1 kg = 6,50","1 kg = 6,50","mit Schwarte, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/schweinesch-ufele.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_schwein,tag_ultra_processed,tag_whole_food",,BLS-U687000,ref_000093,obs_0000027698|obs_0000007245|obs_0000005431,obs_0000027698|obs_0000007245|obs_0000005431,,
Deutscher Sauerbraten,Keine Marke,"€ 1,55",,"1 kg = 15,50","1 kg = 15,50","aus dem Rinderbug, vom Jungbullen, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/deutscher-sauerbraten.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000094,obs_0000007243|obs_0000006192|obs_0000005616|obs_0000008745,obs_0000007243|obs_0000006192|obs_0000005616,,
